lib,condition,files
PreD1,Lib1,PreD,../../read_alignment_star/nfur_diapause_CK/Lib1_UniquelyMapped.bam
PreD2,Lib2,PreD,../../read_alignment_star/nfur_diapause_CK/Lib2_UniquelyMapped.bam
PreD3,Lib3,PreD,../../read_alignment_star/nfur_diapause_CK/Lib3_UniquelyMapped.bam
D3d1,Lib11,D3d,../../read_alignment_star/nfur_diapause_CK/Lib11_UniquelyMapped.bam
D3d2,Lib12,D3d,../../read_alignment_star/nfur_diapause_CK/Lib12_UniquelyMapped.bam
D3d3,Lib24,D3d,../../read_alignment_star/nfur_diapause_CK/Lib24_UniquelyMapped.bam
D6d1,Lib14,D6d,../../read_alignment_star/nfur_diapause_CK/Lib14_UniquelyMapped.bam
D6d2,Lib15,D6d,../../read_alignment_star/nfur_diapause_CK/Lib15_UniquelyMapped.bam
D6d3,Lib16,D6d,../../read_alignment_star/nfur_diapause_CK/Lib16_UniquelyMapped.bam
D1m1,Lib18,D1m,../../read_alignment_star/nfur_diapause_CK/Lib18_UniquelyMapped.bam
D1m2,Lib19,D1m,../../read_alignment_star/nfur_diapause_CK/Lib19_UniquelyMapped.bam
D1m3,Lib26,D1m,../../read_alignment_star/nfur_diapause_CK/Lib26_UniquelyMapped.bam
NonD1,Lib21,NonD,../../read_alignment_star/nfur_diapause_CK/Lib21_UniquelyMapped.bam
NonD2,Lib22,NonD,../../read_alignment_star/nfur_diapause_CK/Lib22_UniquelyMapped.bam
NonD3,Lib23,NonD,../../read_alignment_star/nfur_diapause_CK/Lib23_UniquelyMapped.bam
