lib,condition,files
st11_1,SRR6246050,stage11,/Volumes/Mybook_3/RNA-seq/read_alignment_star/amphi_fungen/medaka/SRR6246050_UniquelyMapped.bam
st11_2,SRR6246051,stage11,/Volumes/Mybook_3/RNA-seq/read_alignment_star/amphi_fungen/medaka/SRR6246051_UniquelyMapped.bam
st11_3,SRR6246052,stage11,/Volumes/Mybook_3/RNA-seq/read_alignment_star/amphi_fungen/medaka/SRR6246052_UniquelyMapped.bam
st13_1,SRR6246053,stage13,/Volumes/Mybook_3/RNA-seq/read_alignment_star/amphi_fungen/medaka/SRR6246053_UniquelyMapped.bam
st13_2,SRR6246054,stage13,/Volumes/Mybook_3/RNA-seq/read_alignment_star/amphi_fungen/medaka/SRR6246054_UniquelyMapped.bam
st13_3,SRR6246055,stage13,/Volumes/Mybook_3/RNA-seq/read_alignment_star/amphi_fungen/medaka/SRR6246055_UniquelyMapped.bam
st16_1,SRR6246056,stage16,/Volumes/Mybook_3/RNA-seq/read_alignment_star/amphi_fungen/medaka/SRR6246056_UniquelyMapped.bam
st16_2,SRR6246057,stage16,/Volumes/Mybook_3/RNA-seq/read_alignment_star/amphi_fungen/medaka/SRR6246057_UniquelyMapped.bam
st16_3,SRR6246058,stage16,/Volumes/Mybook_3/RNA-seq/read_alignment_star/amphi_fungen/medaka/SRR6246058_UniquelyMapped.bam
st19_1,SRR6246059,stage19,/Volumes/Mybook_3/RNA-seq/read_alignment_star/amphi_fungen/medaka/SRR6246059_UniquelyMapped.bam
st19_2,SRR6246060,stage19,/Volumes/Mybook_3/RNA-seq/read_alignment_star/amphi_fungen/medaka/SRR6246060_UniquelyMapped.bam
st19_3,SRR6246061,stage19,/Volumes/Mybook_3/RNA-seq/read_alignment_star/amphi_fungen/medaka/SRR6246061_UniquelyMapped.bam
st25_1,SRR6246062,stage25,/Volumes/Mybook_3/RNA-seq/read_alignment_star/amphi_fungen/medaka/SRR6246062_UniquelyMapped.bam
st25_2,SRR6246063,stage25,/Volumes/Mybook_3/RNA-seq/read_alignment_star/amphi_fungen/medaka/SRR6246063_UniquelyMapped.bam
st25_3,SRR6246064,stage25,/Volumes/Mybook_3/RNA-seq/read_alignment_star/amphi_fungen/medaka/SRR6246064_UniquelyMapped.bam
st32_1,SRR6246065,stage32,/Volumes/Mybook_3/RNA-seq/read_alignment_star/amphi_fungen/medaka/SRR6246065_UniquelyMapped.bam
st32_2,SRR6246066,stage32,/Volumes/Mybook_3/RNA-seq/read_alignment_star/amphi_fungen/medaka/SRR6246066_UniquelyMapped.bam
st32_3,SRR6246067,stage32,/Volumes/Mybook_3/RNA-seq/read_alignment_star/amphi_fungen/medaka/SRR6246067_UniquelyMapped.bam
