"","finalGene","nfur.all.pval_1","nfur.all.fdr_1","nfur.all.fg_1","nfur.all.bg_1","nfur.all.FC_1","nfur.all.logFC_1","nfur.all.Escore_1","nfur.all.clusterId_1","aaul.all.pval_1","aaul.all.fdr_1","aaul.all.fg_1","aaul.all.bg_1","aaul.all.FC_1","aaul.all.logFC_1","aaul.all.Escore_1","aaul.all.clusterId_1","ast.all.pval_1","ast.all.fdr_1","ast.all.fg_1","ast.all.bg_1","ast.all.FC_1","ast.all.logFC_1","ast.all.Escore_1","ast.all.clusterId_1","olat.all.pval_1","olat.all.fdr_1","olat.all.fg_1","olat.all.bg_1","olat.all.FC_1","olat.all.logFC_1","olat.all.Escore_1","olat.all.clusterId_1","drer.all.pval_1","drer.all.fdr_1","drer.all.fg_1","drer.all.bg_1","drer.all.FC_1","drer.all.logFC_1","drer.all.Escore_1","drer.all.clusterId_1"
"ARNT(HIF1B)","ARNT(HIF1B)",0.01,0.0144,11.18,9.33,1.04213135068154,0.0179224610758418,0,77,1,1,7.98,8.1,0.898061288305191,-0.0466940238399532,0,77,1,1,6.84,8.11,0.843403205918619,-0.0739647524910398,0,77,0.01,0.1227,8.78,7.85,1.11847133757962,0.04862485916085,0,77,1,1,8.92,8.72,1.02293577981651,0.00984836944355583,0,77
"ARNTL","ARNTL",1e-05,0,24.32,19.94,1.21965897693079,0.0862384166250604,0.431192083125302,13,1,1,17.19,17.22,0.998257839721254,-0.000757270430583491,0,13,1,1,17.42,17.73,0.982515510434292,-0.00766058492927339,0,13,0.1,0.2196,21.09,18.14,1.16262403528115,0.0654392970154099,0.0654392970154099,13,1,1,14.42,17.46,0.825887743413517,-0.0830789789861407,0,13
"ATF1","ATF1",0.001,0.0014,10.27,8.03,1.27895392278954,0.106854898318597,0.320564694955792,97,0.1,0.1978,9.72,8.32,1.16826923076923,0.0675429386355507,0.0675429386355507,97,1,0.8101,8.78,8.42,1.04275534441805,0.018182424406453,0,97,1,0.8786,8.55,8.49,1.00706713780919,0.00305842448421999,0,97,1,1,7.55,8.33,0.906362545018007,-0.0426980497775994,0,97
"ATF2","ATF2",1e-05,0,6.12,4,1.53,0.184691430817599,0.923457154087994,96,0.1,0.2707,4.57,3.71,1.23180592991914,0.0905422904548044,0.0905422904548043,96,1,0.6694,4.1,3.71,1.10512129380054,0.0434099471046896,0,96,1,0.9176,3.76,3.78,0.994708994708995,-0.00230395490956436,0,96,1,1,2.75,3.55,0.774647887323944,-0.110895659224831,0,96
"ATF3","ATF3",0.001,0.0012,7.18,5.29,1.35727788279773,0.132668772207115,0.398006316621344,17,1,1,5.44,5.89,0.923599320882852,-0.0345163950889217,0,17,1,0.8783,6.12,5.98,1.02341137123746,0.0100502381571503,0,17,1,0.6671,6.39,5.64,1.13297872340426,0.0542217541750579,0,17,1,1,5.72,5.42,1.05535055350553,0.0233967422546372,0,17
"BACH1","BACH1",0.1,0.0977,0.8,0.48,1.66666666666667,0.221848749616356,0.221848749616356,17,1,0.8983,0.51,0.41,1.24390243902439,0.0947863193782009,0,17,1,0.7201,0.58,0.44,1.31818181818182,0.11997531707675,0,17,1,0.7838,0.57,0.45,1.26666666666667,0.102662341897148,0,17,1,1,0.23,0.31,0.741935483870968,-0.12963385781668,0,17
"BACH2","BACH2",0.001,5e-04,2.71,1.53,1.77124183006536,0.248277860056807,0.744833580170421,17,0.1,0.3172,1.89,1.37,1.37956204379562,0.139741237016837,0.139741237016837,17,0.1,0.3048,2.02,1.48,1.36486486486486,0.135089654051666,0.135089654051666,17,1,0.6994,1.71,1.34,1.27611940298507,0.105891312027346,0,17,1,1,1.14,1,1.14,0.0569048513364726,0,17
"BATF","BATF",0.001,6e-04,7.13,5.14,1.38715953307393,0.14212641085659,0.426379232569769,17,1,1,5.44,5.86,0.928327645051195,-0.0322987163199107,0,17,1,0.7487,6.48,6.07,1.06754530477759,0.0283863147953357,0,17,1,0.6261,6.5,5.52,1.17753623188406,0.0709742789136567,0,17,1,1,5.49,5.18,1.05984555984556,0.0252425847048589,0,17
"BHLHE40","BHLHE40",0.01,0.0209,4.58,3.45,1.32753623188406,0.123046382930595,0.24609276586119,13,1,1,2.39,2.78,0.859712230215827,-0.0656468949699386,0,13,1,0.8783,2.74,2.63,1.04182509505703,0.0177948143306301,0,13,1,0.8531,2.85,2.74,1.04014598540146,0.0170942971881222,0,13,1,1,1.6,2.63,0.608365019011407,-0.215835765833833,0,13
"bHLHE41","bHLHE41",0.1,0.0598,14.21,12.61,1.1268834258525,0.0518789913543882,0.0518789913543882,13,1,1,10.37,11.25,0.921777777777778,-0.0353737660583404,0,13,1,1,10.3,11.17,0.922112802148612,-0.0352159484104368,0,13,1,0.6261,11.86,10.59,1.11992445703494,0.0491887289207587,0,13,1,1,9.61,10.69,0.898971000935454,-0.0462543175402327,0,13
"CDX2","CDX2",0.01,0.0168,6.44,5.06,1.27272727272727,0.104735350520013,0.209470701040026,103,1,1,10.22,11.3,0.904424778761062,-0.0436275476847258,0,103,1,1,10.3,10.89,0.945821854912764,-0.0241906550506027,0,103,0.1,0.4499,11.06,9.42,1.17409766454352,0.0697042241758021,0.069704224175802,103,1,1,10.98,11.01,0.997275204359673,-0.00118497885767864,0,103
