"","finalGene","Paralogs.pval_1","Paralogs.fdr_1","Paralogs.fg_1","Paralogs.bg_1","Paralogs.FC_1","Paralogs.logFC_1","Paralogs.Escore_1","Paralogs.clusterId_1","Singleton.pval_1","Singleton.fdr_1","Singleton.fg_1","Singleton.bg_1","Singleton.FC_1","Singleton.logFC_1","Singleton.Escore_1","Singleton.clusterId_1"
"ARNT(HIF1B)","ARNT(HIF1B)",0.01,0.0144,11.18,9.33,1.04213135068154,0.0179224610758418,0,77,0.1,0.2213,11.33,9.36,1.11696583671106,0.0480398900764257,0,77
"ATF1","ATF1",0.001,0.0014,10.27,8.03,1.27895392278954,0.106854898318597,0.320564694955792,97,1,0.8266,8.85,9.01,0.982241953385128,-0.00778152028123753,0,97
"ATF2","ATF2",1e-05,0,6.12,4,1.53,0.184691430817599,0.923457154087994,96,1,0.886,4.25,4.56,0.932017543859649,-0.0305759126141235,0,96
"ATF3","ATF3",0.001,0.0012,7.18,5.29,1.35727788279773,0.132668772207115,0.398006316621344,17,0.1,0.1561,7.43,5.6,1.32678571428571,0.122800786754375,0.122800786754375,17
"ATF7","ATF7",1e-06,0,8.14,5.31,1.53295668549906,0.185529883807732,1.11317930284639,98,1,0.7106,6.37,6.1,1.04426229508197,0.0188095973245834,0,98
"BACH1","BACH1",0.1,0.0977,0.8,0.48,1.66666666666667,0.221848749616356,0.221848749616356,17,0.1,0.2389,1.06,0.52,2.03846153846154,0.309302521629971,0.309302521629971,17
"BHLHE40","BHLHE40",0.01,0.0209,4.58,3.45,1.32753623188406,0.123046382930595,0.24609276586119,13,0.1,0.1459,5.49,3.88,1.41494845360825,0.150740618855885,0.150740618855885,13
"CDX2","CDX2",0.01,0.0168,6.44,5.06,1.27272727272727,0.104735350520013,0.209470701040026,103,1,0.9551,5.66,6.38,0.887147335423198,-0.0520042475328908,0,103
"CDX4","CDX4",0.01,0.0252,9.05,7.52,1.20345744680851,0.0804307386135611,0.160861477227122,32,1,0.7633,9.2,9.06,1.01545253863135,0.00665962966874214,0,32
"CEBPB","CEBPB",0.01,0.0233,6.07,4.8,1.26458333333333,0.10194745369967,0.203894907399341,165,1,0.4795,6.37,5.52,1.15398550724638,0.0622003546061516,0,165
"CREB1","CREB1",0.001,0.0039,4.63,3.27,1.41590214067278,0.151033238357667,0.453099715073001,66,1,1,2.83,3.82,0.740837696335079,-0.130276927387418,0,66
"CRX","CRX",0.1,0.0804,21.5,19.74,1.08915906788247,0.0370913115819875,0.0370913115819875,37,1,0.6528,22.12,21.36,1.03558052434457,0.0151838742761418,0,37
"DLX3","DLX3",0.001,0.0038,5.69,4.17,1.36450839328537,0.134976211421314,0.404928634263941,43,1,0.6414,5.84,5.37,1.08752327746741,0.0364385614128439,0,43
"E2F3","E2F3",0.1,0.0874,5.06,4.17,1.21342925659472,0.0840144618660416,0.0840144618660416,5,1,0.9551,3.36,3.94,0.852791878172589,-0.0691569444357301,0,5
"EGR1","EGR1",1e-09,0,12.67,8.47,1.49586776859504,0.174893204552734,1.57403884097461,19,1,0.3921,8.32,7.13,1.16690042075736,0.0670337964388584,0,19
"EGR2","EGR2",0.01,0.0142,2.45,1.61,1.52173913043478,0.182340208332683,0.364680416665366,19,1,0.4098,1.95,1.4,1.39285714285714,0.14390657568428,0,19
