"","finalGene","nfur.all.pval_1","nfur.all.fdr_1","nfur.all.fg_1","nfur.all.bg_1","nfur.all.FC_1","nfur.all.logFC_1","nfur.all.Escore_1","nfur.all.clusterId_1","nfur.pos.sel.pval_1","nfur.pos.sel.fdr_1","nfur.pos.sel.fg_1","nfur.pos.sel.bg_1","nfur.pos.sel.FC_1","nfur.pos.sel.logFC_1","nfur.pos.sel.Escore_1","nfur.pos.sel.clusterId_1"
"ARNT(HIF1B)","ARNT(HIF1B)",1e-05,0,11.09,9.17,1.05298416565164,0.0224218404905005,0.0224218404905005,77,0.1,0.2697,8.27,8.17,1.01223990208078,0.00528345302013116,0,77
"ARNTL","ARNTL",1e-10,0,23.95,20.19,1.18623080733036,0.0741691988069427,0.741691988069427,13,1,0.3826,21.73,19.84,1.09526209677419,0.0395180585023647,0,13
"ATF1","ATF1",1e-04,2e-04,9.64,8.13,1.18573185731857,0.0739864883087626,0.29594595323505,97,0.1,0.1312,10.77,8.35,1.28982035928144,0.11052922781438,0.11052922781438,97
"ATF2","ATF2",0.01,0.0037,5.05,4.19,1.20525059665871,0.081077355152366,0.162154710304732,96,0.1,0.0837,6.35,4.25,1.49411764705882,0.174384795241664,0.174384795241664,96
"ATF3","ATF3",1e-08,0,7.1,5.25,1.35238095238095,0.131099045313118,1.04879236250495,17,0.001,0.0055,9.42,5.66,1.6643109540636,0.221234471604606,0.663703414813817,17
"ATF4","ATF4",0.01,0.0028,3.63,2.88,1.26041666666667,0.100514137276882,0.201028274553763,140,1,0.3236,3.85,2.86,1.34615384615385,0.129094696379458,0,140
"ATF7","ATF7",1e-04,0,6.93,5.54,1.25090252707581,0.097223469883377,0.388893879533508,98,0.01,0.0362,8.46,5.63,1.50266429840142,0.176861968187677,0.353723936375355,98
"BACH1","BACH1",1e-04,3e-04,0.96,0.53,1.81132075471698,0.257995363438779,1.03198145375512,17,1e-04,0.0011,2.31,0.54,4.27777777777778,0.631218220069176,2.5248728802767,17
"BACH2","BACH2",1e-10,0,2.92,1.61,1.81366459627329,0.258556975416569,2.58556975416569,17,0.001,0.0046,4.04,1.69,2.3905325443787,0.378494660496931,1.13548398149079,17
"BATF","BATF",1e-09,0,7.02,5.04,1.39285714285714,0.14390657568428,1.29515918115852,17,0.001,0.0069,9.04,5.45,1.65871559633028,0.219771928198721,0.659315784596162,17
"BHLHE40","BHLHE40",0.001,8e-04,4.53,3.59,1.26183844011142,0.101003753434513,0.303011260303538,13,0.1,0.0616,5.38,3.34,1.61077844311377,0.207035808854825,0.207035808854825,13
"bHLHE41","bHLHE41",0.001,0.0013,14.38,12.81,1.12256049960968,0.0502097563021775,0.150629268906532,13,1,0.3304,14.04,12.24,1.14705882352941,0.059585689984244,0,13
"CDX2","CDX2",1e-04,1e-04,6.55,5.26,1.24524714828897,0.095255555838044,0.381022223352176,103,1,0.585,6.35,5.78,1.09861591695502,0.0408458868714466,0,103
"CDX4","CDX4",1e-05,0,9.64,7.81,1.23431498079385,0.0914260000255304,0.457130000127652,32,1,0.3079,9.81,8.18,1.19926650366748,0.0789157037086255,0,32
"CEBPB","CEBPB",1e-06,0,6.43,4.91,1.30957230142566,0.117129480801254,0.702776884807521,165,1,0.4766,5.77,5,1.154,0.0622058088197126,0,165
"CLOCK","CLOCK",1e-07,0,7.95,6.06,1.31188118811881,0.117894504490184,0.825261531431289,13,0.1,0.1581,7.69,5.75,1.33739130434783,0.126258495111801,0.126258495111801,13
"CREB1","CREB1",0.001,0.0022,4.15,3.33,1.24624624624625,0.0956038632057728,0.286811589617318,66,1,0.3788,4.23,3.32,1.27409638554217,0.105202283671006,0,66
"CRX","CRX",0.1,0.0595,21.09,20.02,1.05344655344655,0.0226125065961865,0.0226125065961865,37,1,0.5853,22.69,21.77,1.04225999081305,0.0179760668438417,0,37
"CTCF","CTCF",1e-41,0,4.61,1.68,2.74404761904762,0.438391643663785,17.9740573902152,83,0.1,0.1091,3.08,1.75,1.76,0.24551266781415,0.24551266781415,83
"CTCFL","CTCFL",1e-23,0,5.07,2.56,1.98046875,0.296767994021486,6.82566386249418,83,0.01,0.0362,4.62,2.58,1.7906976744186,0.253022269592895,0.506044539185791,83
"DDIT3","DDIT3",0.1,0.08,2.73,2.34,1.16666666666667,0.0669467896306132,0.0669467896306132,141,1,0.368,3.08,2.28,1.35087719298246,0.13061586949999,0,141
"DLX3","DLX3",0.001,4e-04,5.66,4.57,1.23851203501094,0.0929002311184212,0.278700693355263,43,0.001,0.0048,8.27,4.71,1.75583864118896,0.24448460242365,0.733453807270951,43
"E2F3","E2F3",0.1,0.0828,4.53,4.04,1.12128712871287,0.0497168369022269,0.0497168369022269,5,1,1,2.88,3.72,0.774193548387097,-0.111150452122667,0,5
"E2F6","E2F6",0.1,0.042,3.63,3.11,1.16720257234727,0.0671462360092751,0.067146236009275,5,0.1,0.1355,4.42,2.9,1.52413793103448,0.183024271450136,0.183024271450136,5
"EBOX_promoter","EBOX_promoter",1e-07,0,1.67,0.9,1.85555555555556,0.268473961708258,1.87931773195781,13,1,0.4434,1.35,0.92,1.46739130434783,0.166545941149451,0,13
"EGR1","EGR1",1e-13,0,10.83,7.83,1.38314176245211,0.140866694567377,1.8312670293759,19,0.01,0.0138,10.58,6.95,1.52230215827338,0.182500863109053,0.365001726218106,19
"EGR2","EGR2",0.01,0.0053,2.05,1.53,1.33986928104575,0.127062430238155,0.254124860476311,19,1,0.8309,1.35,1.4,0.964285714285714,-0.0157942671832319,0,19
"ERRG(NR)","ERRG(NR)",1e-07,0,10.42,8.33,1.25090036014406,0.0972227175567181,0.680559022897026,155,1,0.4434,9.62,8.49,1.13309776207303,0.0542673817938602,0,155
"ESRRA(NR)","ESRRA(NR)",1e-08,0,23.3,20.1,1.1592039800995,0.0641598636055301,0.513278908844241,170,0.001,0.0048,26.35,20.05,1.3142144638404,0.118666242592364,0.355998727777093,170
"ESRRB(NR)","ESRRB(NR)",0.001,4e-04,8.6,7.25,1.18620689655172,0.074160444672574,0.222481334017722,154,0.1,0.1951,9.23,7.26,1.27134986225895,0.104265080325818,0.104265080325818,154
"ETS1","ETS1",0.1,0.0595,3.7,3.42,1.02777777777778,0.0118992232997078,0,24,0.1,0.0782,4.23,3.37,1.20664206642066,0.0815784617858804,0,24
"FOS","FOS",1e-06,0,8.02,6.25,1.2832,0.108294350940088,0.649766105640529,17,0.1,0.0932,9.04,6.59,1.37177541729894,0.137283015881353,0.137283015881353,17
"FOSL1","FOSL1",1e-07,0,5.93,4.36,1.36009174311927,0.133568204095676,0.934977428669735,17,0.001,0.009,7.88,4.64,1.69827586206897,0.230008236934674,0.690024710804023,17
"FOSL2","FOSL2",1e-06,0,4.03,2.81,1.3406862745098,0.127327163243551,0.763962979461305,17,0.001,0.0041,5.96,2.94,1.66744730679157,0.222052118611833,0.444104237223665,17
"FOXA1","FOXA1",1e-13,0,0.46,0.55,0.836363636363636,-0.0776048578126698,0,28,0.1,0.2255,0.77,0.59,1.14823008849558,0.0600289230370758,0,28
"FOXA2","FOXA2",1e-15,0,10.9,7.75,1.23390557939914,0.0912819279996303,0.638973495997412,30,0.1,0.1387,10.38,8.04,1.20333680917623,0.080387201649049,0.080387201649049,30
"FOXA3","FOXA3",1e-05,0,4.09,2.94,1.39115646258503,0.143375977595184,0.716879887975922,29,1,0.3913,4.23,3.35,1.26268656716418,0.101295560338197,0,29
"FOXD3","FOXD3",1e-09,0,10.54,8.07,1.30607187112763,0.115967076154457,1.04370368539012,30,0.1,0.2255,10.96,8.95,1.22458100558659,0.0879875188324385,0.0879875188324385,30
"FOXF1","FOXF1",1e-12,0,12.09,9.05,1.33591160220994,0.125777721655569,1.50933265986682,30,0.1,0.0871,12.88,9.92,1.29838709677419,0.113404190869615,0.113404190869615,30
"FOXK1","FOXK1",1e-22,0,15.91,11.37,1.39929639401935,0.145909714958847,3.21001372909463,30,0.01,0.0551,15.58,11.99,1.29941618015013,0.113748270237697,0.227496540475394,30
"FOXK2","FOXK2",1e-15,0,10.25,7.22,1.4196675900277,0.152186667822134,2.28280001733201,30,0.1,0.261,9.23,7.52,1.22739361702128,0.0889838604342698,0.0889838604342698,30
"FOXL2","FOXL2",1e-12,0,11.02,8.17,1.34883720930233,0.129959537983351,1.55951445580021,30,0.1,0.1634,11.35,9.02,1.25831485587583,0.0997893239871998,0.0997893239871998,30
"FOXM1","FOXM1",1e-10,0,11.06,8.4,1.31666666666667,0.119475840906798,1.19475840906798,30,1,0.3519,10.77,9.23,1.16684723726977,0.0670140022720695,0,30
"FOXO1","FOXO1",1e-18,0,25.99,20.89,1.24413595021541,0.0948678395207039,1.70762111137267,94,0.001,0.0044,27.69,21.2,1.3061320754717,0.115987094816823,0.347961284450469,94
"FOXO3","FOXO3",1e-20,0,12.46,8.62,1.44547563805104,0.160010776498438,3.20021552996876,30,0.01,0.0131,13.08,9.01,1.45172031076582,0.161882953009186,0.323765906018371,30
"FOXP1","FOXP1",1e-13,0,7.77,5.32,1.46052631578947,0.164509386505866,2.13862202457626,30,0.01,0.0351,8.27,5.45,1.51743119266055,0.181109007275904,0.362218014551808,30
"GATA4","GATA4",0.1,0.0619,9.25,8.51,1.08695652173913,0.0362121726544447,0.0362121726544447,30,1,0.4765,10.19,9.17,1.11123227917121,0.0458048483364053,0,30
