"","GOID","Ontology.ATAC","Pvalue.ATAC","Term.ATAC","lipid.related"
"1","GO:0000003","BP",0.275334074856404,"reproduction",FALSE
"2","GO:0000012","BP",0.185295924883214,"single strand break repair",FALSE
"3","GO:0000018","BP",0.646805062567905,"regulation of DNA recombination",FALSE
"4","GO:0000022","BP",0.233889917356196,"mitotic spindle elongation",FALSE
"5","GO:0000030","MF",0.440643437915273,"mannosyltransferase activity",FALSE
"6","GO:0000038","BP",0.0441955645664726,"very long-chain fatty acid metabolic process",TRUE
"7","GO:0000041","BP",0.952331265118417,"transition metal ion transport",FALSE
"8","GO:0000070","BP",0.890235390638486,"mitotic sister chromatid segregation",FALSE
"9","GO:0000075","BP",0.295839606631805,"cell cycle checkpoint",FALSE
"10","GO:0000077","BP",0.506077960867442,"DNA damage checkpoint",FALSE
"11","GO:0000079","BP",0.680443972447025,"regulation of cyclin-dependent protein serine/threonine kinase activity",FALSE
"12","GO:0000082","BP",0.087568975308337,"G1/S transition of mitotic cell cycle",FALSE
"13","GO:0000083","BP",0.0413981917183867,"regulation of transcription involved in G1/S transition of mitotic cell cycle",FALSE
"14","GO:0000086","BP",0.993257811289336,"G2/M transition of mitotic cell cycle",FALSE
"15","GO:0000104","MF",0.0984912483987429,"succinate dehydrogenase activity",FALSE
"16","GO:0000118","CC",0.010717033332475,"histone deacetylase complex",FALSE
"17","GO:0000122","BP",2.01651165857554e-08,"negative regulation of transcription by RNA polymerase II",FALSE
"18","GO:0000123","CC",0.878287363123071,"histone acetyltransferase complex",FALSE
"19","GO:0000132","BP",0.655877660905413,"establishment of mitotic spindle orientation",FALSE
"20","GO:0000139","CC",0.586946180043656,"Golgi membrane",FALSE
"21","GO:0000145","CC",0.354059449597827,"exocyst",FALSE
"22","GO:0000147","BP",0.185295924883214,"actin cortical patch assembly",FALSE
"23","GO:0000149","MF",0.684887841957004,"SNARE binding",FALSE
"24","GO:0000151","CC",0.46654916011527,"ubiquitin ligase complex",FALSE
"25","GO:0000164","CC",0.220955376590935,"protein phosphatase type 1 complex",FALSE
