"","GOID","Ontology.ATAC","Pvalue.ATAC","Term.ATAC","lipid.related"
"1","GO:0000038","BP",0.0441955645664726,"very long-chain fatty acid metabolic process",TRUE
"2","GO:0000083","BP",0.0413981917183867,"regulation of transcription involved in G1/S transition of mitotic cell cycle",FALSE
"3","GO:0000118","CC",0.010717033332475,"histone deacetylase complex",FALSE
"4","GO:0000122","BP",2.01651165857554e-08,"negative regulation of transcription by RNA polymerase II",FALSE
"5","GO:0000165","BP",0.00134196417190042,"MAPK cascade",FALSE
"6","GO:0000228","CC",2.59182531651751e-05,"nuclear chromosome",FALSE
"7","GO:0000271","BP",0.0246504381011919,"polysaccharide biosynthetic process",FALSE
"8","GO:0000785","CC",1.29290240353876e-05,"chromatin",FALSE
"9","GO:0000790","CC",1.90263044749814e-06,"nuclear chromatin",FALSE
"10","GO:0000902","BP",0.00136576042167962,"cell morphogenesis",FALSE
"11","GO:0000904","BP",7.76429585167561e-05,"cell morphogenesis involved in differentiation",FALSE
"12","GO:0000976","MF",6.04549551785199e-10,"transcription regulatory region sequence-specific DNA binding",FALSE
"13","GO:0000977","MF",1.24363277274022e-08,"RNA polymerase II transcription regulatory region sequence-specific DNA binding",FALSE
"14","GO:0000978","MF",2.10218094414082e-07,"RNA polymerase II cis-regulatory region sequence-specific DNA binding",FALSE
"15","GO:0000981","MF",1.18749881268942e-10,"DNA-binding transcription factor activity, RNA polymerase II-specific",FALSE
"16","GO:0000987","MF",1.4004280238956e-08,"cis-regulatory region sequence-specific DNA binding",FALSE
"17","GO:0001067","MF",6.42527513635698e-10,"regulatory region nucleic acid binding",FALSE
"18","GO:0001085","MF",0.00501467661537233,"RNA polymerase II transcription factor binding",FALSE
"19","GO:0001102","MF",0.0393944729039808,"RNA polymerase II activating transcription factor binding",FALSE
"20","GO:0001216","MF",2.5942268911221e-07,"DNA-binding transcription activator activity",FALSE
"21","GO:0001217","MF",0.0230383472496385,"DNA-binding transcription repressor activity",FALSE
"22","GO:0001221","MF",0.0128721211914238,"transcription cofactor binding",FALSE
"23","GO:0001222","MF",0.0417021889581192,"transcription corepressor binding",FALSE
"24","GO:0001223","MF",0.0484762010072812,"transcription coactivator binding",FALSE
"25","GO:0001227","MF",0.0225550486789592,"DNA-binding transcription repressor activity, RNA polymerase II-specific",FALSE
"26","GO:0001228","MF",2.31948870477787e-07,"DNA-binding transcription activator activity, RNA polymerase II-specific",FALSE
"27","GO:0001501","BP",5.79153573544372e-06,"skeletal system development",FALSE
"28","GO:0001503","BP",0.00629737296039037,"ossification",FALSE
"29","GO:0001525","BP",0.0261604839343062,"angiogenesis",FALSE
"30","GO:0001540","MF",0.036142251738057,"amyloid-beta binding",FALSE
"31","GO:0001568","BP",0.00441207902512708,"blood vessel development",FALSE
"32","GO:0001649","BP",0.000393795044900152,"osteoblast differentiation",FALSE
"33","GO:0001654","BP",3.93055737012726e-05,"eye development",FALSE
"34","GO:0001655","BP",6.60248717993084e-07,"urogenital system development",FALSE
"35","GO:0001656","BP",0.00426051044888615,"metanephros development",FALSE
"36","GO:0001657","BP",0.00568222928656967,"ureteric bud development",FALSE
"37","GO:0001658","BP",0.0184842661496406,"branching involved in ureteric bud morphogenesis",FALSE
"38","GO:0001659","BP",0.0209976775735907,"temperature homeostasis",FALSE
"39","GO:0001667","BP",0.000108164100013238,"ameboidal-type cell migration",FALSE
"40","GO:0001702","BP",0.0169379916811742,"gastrulation with mouth forming second",FALSE
"41","GO:0001704","BP",0.000535954758099204,"formation of primary germ layer",FALSE
"42","GO:0001706","BP",0.000379555885012816,"endoderm formation",FALSE
"43","GO:0001707","BP",0.000344049044219359,"mesoderm formation",FALSE
"44","GO:0001708","BP",2.84015374670857e-05,"cell fate specification",FALSE
"45","GO:0001709","BP",5.61352086512632e-05,"cell fate determination",FALSE
"46","GO:0001711","BP",2.91144912712664e-06,"endodermal cell fate commitment",FALSE
"47","GO:0001714","BP",6.63081069498369e-05,"endodermal cell fate specification",FALSE
"48","GO:0001755","BP",0.00121457008557292,"neural crest cell migration",FALSE
"49","GO:0001756","BP",0.010653483073085,"somitogenesis",FALSE
"50","GO:0001763","BP",0.00416457983058772,"morphogenesis of a branching structure",FALSE
"51","GO:0001764","BP",0.00836182604239171,"neuron migration",FALSE
"52","GO:0001822","BP",3.42714336129755e-07,"kidney development",FALSE
"53","GO:0001823","BP",0.00831757188605723,"mesonephros development",FALSE
"54","GO:0001837","BP",0.00298183560122295,"epithelial to mesenchymal transition",FALSE
"55","GO:0001838","BP",0.00385704179916467,"embryonic epithelial tube formation",FALSE
"56","GO:0001841","BP",0.00311581167833679,"neural tube formation",FALSE
"57","GO:0001872","MF",0.040622984188158,"(1->3)-beta-D-glucan binding",FALSE
"58","GO:0001889","BP",0.00218565515725658,"liver development",FALSE
"59","GO:0001932","BP",0.00123111964018555,"regulation of protein phosphorylation",FALSE
"60","GO:0001933","BP",0.00963531548346614,"negative regulation of protein phosphorylation",FALSE
"61","GO:0001934","BP",0.0086688847214092,"positive regulation of protein phosphorylation",FALSE
"62","GO:0001935","BP",0.0159879517946915,"endothelial cell proliferation",FALSE
"63","GO:0001936","BP",0.0152757475469319,"regulation of endothelial cell proliferation",FALSE
"64","GO:0001938","BP",0.0478503241707342,"positive regulation of endothelial cell proliferation",FALSE
"65","GO:0001942","BP",0.00102573237192297,"hair follicle development",FALSE
"66","GO:0001944","BP",0.00290796279911726,"vasculature development",FALSE
"67","GO:0001947","BP",0.016253620145492,"heart looping",FALSE
"68","GO:0001967","BP",0.0456494461726092,"suckling behavior",FALSE
"69","GO:0001975","BP",0.0351830548901558,"response to amphetamine",FALSE
"70","GO:0002009","BP",0.000182502016466076,"morphogenesis of an epithelium",FALSE
"71","GO:0002011","BP",0.00959878194059322,"morphogenesis of an epithelial sheet",FALSE
"72","GO:0002062","BP",0.0086967950820109,"chondrocyte differentiation",FALSE
"73","GO:0002064","BP",0.00495158329497794,"epithelial cell development",FALSE
"74","GO:0002065","BP",0.000147237561178285,"columnar/cuboidal epithelial cell differentiation",FALSE
"75","GO:0002066","BP",0.00530541112615861,"columnar/cuboidal epithelial cell development",FALSE
"76","GO:0002067","BP",4.64544768503589e-05,"glandular epithelial cell differentiation",FALSE
"77","GO:0002068","BP",0.00171897091114709,"glandular epithelial cell development",FALSE
"78","GO:0002072","BP",0.00174970024676459,"optic cup morphogenesis involved in camera-type eye development",FALSE
"79","GO:0002085","BP",0.00630190716106512,"inhibition of neuroepithelial cell differentiation",FALSE
"80","GO:0002088","BP",0.000658458593770907,"lens development in camera-type eye",FALSE
"81","GO:0002089","BP",0.00102732321191251,"lens morphogenesis in camera-type eye",FALSE
"82","GO:0002244","BP",0.0391960058134247,"hematopoietic progenitor cell differentiation",FALSE
"83","GO:0002320","BP",0.000855007142281592,"lymphoid progenitor cell differentiation",FALSE
"84","GO:0002328","BP",0.000624175947077768,"pro-B cell differentiation",FALSE
"85","GO:0002367","BP",0.0475011238671934,"cytokine production involved in immune response",FALSE
"86","GO:0002368","BP",0.0401496307603072,"B cell cytokine production",FALSE
"87","GO:0002376","BP",0.032466884291358,"immune system process",FALSE
"88","GO:0002380","BP",0.0401496307603072,"immunoglobulin secretion involved in immune response",FALSE
"89","GO:0002520","BP",0.0236501864627609,"immune system development",FALSE
"90","GO:0002521","BP",0.0414630064244019,"leukocyte differentiation",FALSE
"91","GO:0002536","BP",0.0236730710406464,"respiratory burst involved in inflammatory response",FALSE
"92","GO:0002573","BP",0.0144597126916912,"myeloid leukocyte differentiation",FALSE
"93","GO:0002674","BP",0.0236730710406464,"negative regulation of acute inflammatory response",FALSE
"94","GO:0002682","BP",0.0335648786216681,"regulation of immune system process",FALSE
"95","GO:0002683","BP",0.0116000433404263,"negative regulation of immune system process",FALSE
"96","GO:0002761","BP",0.0243759361137901,"regulation of myeloid leukocyte differentiation",FALSE
"97","GO:0002762","BP",0.012278556486948,"negative regulation of myeloid leukocyte differentiation",FALSE
"98","GO:0002792","BP",0.0295584215370007,"negative regulation of peptide secretion",FALSE
"99","GO:0002903","BP",0.0456494461726092,"negative regulation of B cell apoptotic process",FALSE
"100","GO:0003002","BP",2.7231692680292e-05,"regionalization",FALSE
"101","GO:0003007","BP",0.0003859484866211,"heart morphogenesis",FALSE
"102","GO:0003096","BP",0.0105950372496891,"renal sodium ion transport",FALSE
"103","GO:0003128","BP",0.00137566499401156,"heart field specification",FALSE
"104","GO:0003129","BP",0.00630190716106512,"heart induction",FALSE
"105","GO:0003130","BP",0.00393980860181467,"BMP signaling pathway involved in heart induction",FALSE
"106","GO:0003133","BP",0.00393980860181467,"endodermal-mesodermal cell signaling",FALSE
"107","GO:0003134","BP",0.00393980860181467,"endodermal-mesodermal cell signaling involved in heart induction",FALSE
"108","GO:0003139","BP",0.00108726284555452,"secondary heart field specification",FALSE
"109","GO:0003143","BP",0.00208018099648034,"embryonic heart tube morphogenesis",FALSE
"110","GO:0003148","BP",0.0223650841771995,"outflow tract septum morphogenesis",FALSE
"111","GO:0003149","BP",0.00730385972823936,"membranous septum morphogenesis",FALSE
"112","GO:0003151","BP",0.000145205253395237,"outflow tract morphogenesis",FALSE
"113","GO:0003154","BP",0.0134407470382668,"BMP signaling pathway involved in determination of left/right symmetry",FALSE
"114","GO:0003156","BP",0.000113590070034917,"regulation of animal organ formation",FALSE
"115","GO:0003158","BP",0.0305282101466554,"endothelium development",FALSE
"116","GO:0003159","BP",0.0139102269661954,"morphogenesis of an endothelium",FALSE
"117","GO:0003170","BP",0.00783615443182321,"heart valve development",FALSE
"118","GO:0003171","BP",0.0492606111374517,"atrioventricular valve development",FALSE
"119","GO:0003176","BP",0.028342431139742,"aortic valve development",FALSE
"120","GO:0003179","BP",0.00214595035904145,"heart valve morphogenesis",FALSE
"121","GO:0003180","BP",0.0184358600401925,"aortic valve morphogenesis",FALSE
"122","GO:0003181","BP",0.025246965573467,"atrioventricular valve morphogenesis",FALSE
"123","GO:0003197","BP",0.000563393905021779,"endocardial cushion development",FALSE
"124","GO:0003198","BP",0.00477863674823629,"epithelial to mesenchymal transition involved in endocardial cushion formation",FALSE
