"","GOID","Term","Pvalue.RNA","Pvalue.ATAC","Ontology","lipid.related"
"1","GO:0000002","mitochondrial genome maintenance",0.650183798587034,0.316046506040126,"BP",FALSE
"2","GO:0000003","reproduction",1.02630909715213e-06,0.016762559747282,"BP",FALSE
"3","GO:0000012","single strand break repair",NA,0.534575216127631,"BP",FALSE
"4","GO:0000014","single-stranded DNA endodeoxyribonuclease activity",0.960242982091935,0.914629403121481,"MF",FALSE
"5","GO:0000015","phosphopyruvate hydratase complex",0.214265411661522,0.276728706196564,"CC",FALSE
"6","GO:0000016","lactase activity",0.180849320292961,NA,"MF",FALSE
"7","GO:0000018","regulation of DNA recombination",0.999982776476928,0.600226778128758,"BP",FALSE
"8","GO:0000019","regulation of mitotic recombination",0.97975250626865,0.588714411525042,"BP",FALSE
"9","GO:0000022","mitotic spindle elongation",0.293346157622783,0.682534780264239,"BP",FALSE
"10","GO:0000023","maltose metabolic process",0.569994106150772,NA,"BP",FALSE
"11","GO:0000026","alpha-1,2-mannosyltransferase activity",0.810186608387173,0.433180185834857,"MF",FALSE
"12","GO:0000027","ribosomal large subunit assembly",0.999993689187641,0.959836328273424,"BP",FALSE
"13","GO:0000028","ribosomal small subunit assembly",0.993035638755752,0.959794429322279,"BP",FALSE
"14","GO:0000030","mannosyltransferase activity",0.999715873447515,0.543069100646126,"MF",FALSE
"15","GO:0000033","alpha-1,3-mannosyltransferase activity",NA,0.433180185834857,"MF",FALSE
"16","GO:0000035","acyl binding",0.567980908320593,0.530915362683787,"MF",FALSE
"17","GO:0000036","acyl carrier activity",NA,0.172402027685709,"MF",FALSE
"18","GO:0000038","very long-chain fatty acid metabolic process",0.0292704442698139,0.517598188425066,"BP",TRUE
"19","GO:0000041","transition metal ion transport",0.0593109633652278,0.188448627075816,"BP",FALSE
"20","GO:0000045","autophagosome assembly",0.243279806451923,0.975740665856969,"BP",FALSE
"21","GO:0000048","peptidyltransferase activity",0.215195609757575,NA,"MF",FALSE
"22","GO:0000049","tRNA binding",0.999997416458424,0.944691659723832,"MF",FALSE
"23","GO:0000050","urea cycle",0.871762683465478,0.848940365953915,"BP",FALSE
"24","GO:0000052","citrulline metabolic process",0.582841703213278,0.817503850971286,"BP",FALSE
"25","GO:0000054","ribosomal subunit export from nucleus",0.998931803748176,0.817495083868002,"BP",FALSE
"26","GO:0000055","ribosomal large subunit export from nucleus",0.97975250626865,0.588714411525042,"BP",FALSE
"27","GO:0000056","ribosomal small subunit export from nucleus",0.967547118198981,0.534575216127631,"BP",FALSE
"28","GO:0000062","fatty-acyl-CoA binding",0.831852092317956,0.193008311906205,"MF",TRUE
"29","GO:0000064","L-ornithine transmembrane transporter activity",0.00598047085372796,0.476443028633252,"MF",FALSE
"30","GO:0000070","mitotic sister chromatid segregation",0.999999998219447,0.996908123768865,"BP",FALSE
"31","GO:0000075","cell cycle checkpoint",0.9991785192894,0.137303422263172,"BP",FALSE
"32","GO:0000076","DNA replication checkpoint",0.995551725004995,NA,"BP",FALSE
"33","GO:0000077","DNA damage checkpoint",0.997113476871558,0.203801473076629,"BP",FALSE
"34","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity",0.320007718143513,0.247207392704621,"BP",FALSE
"35","GO:0000082","G1/S transition of mitotic cell cycle",0.169768915302812,0.0389228862938372,"BP",FALSE
"36","GO:0000083","regulation of transcription involved in G1/S transition of mitotic cell cycle",0.139937737058595,0.658572158204718,"BP",FALSE
"37","GO:0000086","G2/M transition of mitotic cell cycle",0.993012842578872,0.969563027358768,"BP",FALSE
"38","GO:0000095","S-adenosyl-L-methionine transmembrane transporter activity",NA,0.172402027685709,"MF",FALSE
"39","GO:0000096","sulfur amino acid metabolic process",0.66725589542439,0.994582272906635,"BP",FALSE
"40","GO:0000097","sulfur amino acid biosynthetic process",0.894699234984427,0.98438521167071,"BP",FALSE
"41","GO:0000098","sulfur amino acid catabolic process",0.401444640739121,0.898627241364946,"BP",FALSE
"42","GO:0000099","sulfur amino acid transmembrane transporter activity",0.999255729417383,0.914629403121481,"MF",FALSE
"43","GO:0000101","sulfur amino acid transport",0.992266151051915,NA,"BP",FALSE
"44","GO:0000103","sulfate assimilation",0.124130237649974,NA,"BP",FALSE
"45","GO:0000104","succinate dehydrogenase activity",NA,0.61180227581695,"MF",FALSE
"46","GO:0000105","histidine biosynthetic process",0.077550971690302,NA,"BP",FALSE
"47","GO:0000109","nucleotide-excision repair complex",0.982521793342275,0.100491545017264,"CC",FALSE
"48","GO:0000110","nucleotide-excision repair factor 1 complex",0.936722725782021,0.611451932863736,"CC",FALSE
"49","GO:0000117","regulation of transcription involved in G2/M transition of mitotic cell cycle",0.211003556544717,0.139662495600761,"BP",FALSE
"50","GO:0000118","histone deacetylase complex",0.308449649289045,0.00196122629725527,"CC",FALSE
"51","GO:0000120","RNA polymerase I transcription regulator complex",NA,0.432873562791726,"CC",FALSE
"52","GO:0000122","negative regulation of transcription by RNA polymerase II",5.75584197300957e-11,2.16536476802297e-23,"BP",FALSE
"53","GO:0000123","histone acetyltransferase complex",0.931855430831542,0.0577140463815883,"CC",FALSE
"54","GO:0000124","SAGA complex",0.995027769282177,0.722688682791482,"CC",FALSE
"55","GO:0000125","PCAF complex",0.703569494421625,0.611451932863736,"CC",FALSE
"56","GO:0000126","transcription factor TFIIIB complex",0.631624190947311,NA,"CC",FALSE
"57","GO:0000132","establishment of mitotic spindle orientation",0.946186299774879,0.405416450835903,"BP",FALSE
"58","GO:0000137","Golgi cis cisterna",0.428561560127155,NA,"CC",FALSE
"59","GO:0000138","Golgi trans cisterna",0.204258385755878,0.342471476826275,"CC",FALSE
"60","GO:0000139","Golgi membrane",0.0784502918585746,0.738162745468849,"CC",FALSE
"61","GO:0000145","exocyst",0.85671193999198,0.981166233034362,"CC",FALSE
"62","GO:0000146","microfilament motor activity",0.353205888682466,0.82053731437346,"MF",FALSE
"63","GO:0000147","actin cortical patch assembly",0.019049438801961,0.534575216127631,"BP",FALSE
"64","GO:0000149","SNARE binding",0.633714919517671,0.925799754292933,"MF",FALSE
"65","GO:0000150","recombinase activity",0.669706343579139,NA,"MF",FALSE
"66","GO:0000151","ubiquitin ligase complex",0.999048060763976,0.476340146394064,"CC",FALSE
"67","GO:0000152","nuclear ubiquitin ligase complex",0.852513115527649,0.753426533084588,"CC",FALSE
"68","GO:0000153","cytoplasmic ubiquitin ligase complex",0.99267463631812,0.154910690819603,"CC",FALSE
"69","GO:0000154","rRNA modification",0.999995881248379,0.99204296536332,"BP",FALSE
"70","GO:0000159","protein phosphatase type 2A complex",0.0231739469560502,0.192458761583768,"CC",FALSE
"71","GO:0000164","protein phosphatase type 1 complex",0.204258385755878,0.137304331311993,"CC",FALSE
"72","GO:0000165","MAPK cascade",0.000821590594363308,0.0036616969579361,"BP",FALSE
"73","GO:0000166","nucleotide binding",0.000276492027158777,0.829138920309759,"MF",FALSE
"74","GO:0000171","ribonuclease MRP activity",0.810186608387173,NA,"MF",FALSE
"75","GO:0000172","ribonuclease MRP complex",0.870826504740555,NA,"CC",FALSE
"76","GO:0000175","3-5-exoribonuclease activity",0.998649298517533,0.954778533085666,"MF",FALSE
"77","GO:0000176","nuclear exosome (RNase complex)",0.998138324758012,NA,"CC",FALSE
"78","GO:0000177","cytoplasmic exosome (RNase complex)",0.999747309764992,0.94138509147905,"CC",FALSE
"79","GO:0000178","exosome (RNase complex)",0.999281157065571,0.992689871621292,"CC",FALSE
"80","GO:0000182","rDNA binding",NA,0.0789052816641349,"MF",FALSE
"81","GO:0000183","rDNA heterochromatin assembly",0.999982576135096,0.807369821986684,"BP",FALSE
"82","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",0.999999999983298,0.995504268005048,"BP",FALSE
"83","GO:0000185","activation of MAPKKK activity",0.00730112346081131,0.138776696867545,"BP",FALSE
"84","GO:0000186","activation of MAPKK activity",0.00373802945392295,0.788832871437887,"BP",FALSE
"85","GO:0000187","activation of MAPK activity",0.000387715345599472,0.448176893443166,"BP",FALSE
"86","GO:0000188","inactivation of MAPK activity",0.576583901337341,0.0459691960369806,"BP",FALSE
"87","GO:0000209","protein polyubiquitination",0.97705307942487,0.4313214169083,"BP",FALSE
"88","GO:0000210","NAD+ diphosphatase activity",NA,0.172402027685709,"MF",FALSE
"89","GO:0000212","meiotic spindle organization",0.995257082729814,0.722460693802039,"BP",FALSE
"90","GO:0000215","tRNA 2-phosphotransferase activity",0.669706343579139,NA,"MF",FALSE
"91","GO:0000217","DNA secondary structure binding",0.988079107453542,0.761476965862413,"MF",FALSE
"92","GO:0000220","vacuolar proton-transporting V-type ATPase, V0 domain",0.106921398328788,0.20707655472378,"CC",FALSE
"93","GO:0000221","vacuolar proton-transporting V-type ATPase, V1 domain",0.566143281032689,NA,"CC",FALSE
"94","GO:0000225","N-acetylglucosaminylphosphatidylinositol deacetylase activity",NA,0.172402027685709,"MF",FALSE
"95","GO:0000226","microtubule cytoskeleton organization",0.68058614814262,0.629339873454416,"BP",FALSE
"96","GO:0000228","nuclear chromosome",1.95784074132298e-05,2.34423931219926e-13,"CC",FALSE
"97","GO:0000235","astral microtubule",0.711037761571538,NA,"CC",FALSE
"98","GO:0000242","pericentriolar material",0.990800973400207,0.694822053366859,"CC",FALSE
"99","GO:0000243","commitment complex",0.733102216988422,NA,"CC",FALSE
"100","GO:0000245","spliceosomal complex assembly",0.694318121355398,0.490466113534987,"BP",FALSE
"101","GO:0000249","C-22 sterol desaturase activity",0.669706343579139,0.315088551111282,"MF",FALSE
"102","GO:0000250","lanosterol synthase activity",NA,0.172402027685709,"MF",FALSE
"103","GO:0000253","3-keto sterol reductase activity",0.633884551701196,0.346337024465536,"MF",FALSE
"104","GO:0000254","C-4 methylsterol oxidase activity",0.465053975987417,NA,"MF",FALSE
"105","GO:0000257","nitrilase activity",0.42527783193605,NA,"MF",FALSE
"106","GO:0000266","mitochondrial fission",0.144015502916422,0.671054121220255,"BP",FALSE
"107","GO:0000268","peroxisome targeting sequence binding",0.979304467719199,0.346337024465536,"MF",FALSE
"108","GO:0000270","peptidoglycan metabolic process",0.891826642328553,NA,"BP",FALSE
"109","GO:0000271","polysaccharide biosynthetic process",0.0490384921688653,0.0103214872110544,"BP",FALSE
"110","GO:0000272","polysaccharide catabolic process",0.0134392991279169,0.354202789081987,"BP",FALSE
"111","GO:0000276","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",0.916734600657933,0.412737185435653,"CC",FALSE
"112","GO:0000278","mitotic cell cycle",0.992165295569115,0.457985268894329,"BP",FALSE
"113","GO:0000280","nuclear division",0.999988846697752,0.98450192958565,"BP",FALSE
"114","GO:0000281","mitotic cytokinesis",0.577655471197891,0.392407041230305,"BP",FALSE
"115","GO:0000287","magnesium ion binding",0.0698380257217304,0.0604451274129104,"MF",FALSE
"116","GO:0000288","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",0.888854836970232,0.10198962176802,"BP",FALSE
"117","GO:0000289","nuclear-transcribed mRNA poly(A) tail shortening",0.281940490263642,0.0910564646787893,"BP",FALSE
"118","GO:0000290","deadenylation-dependent decapping of nuclear-transcribed mRNA",0.912622871885471,0.290948836839286,"BP",FALSE
"119","GO:0000291","nuclear-transcribed mRNA catabolic process, exonucleolytic",0.998546066657691,0.912487798020374,"BP",FALSE
"120","GO:0000293","ferric-chelate reductase activity",0.633884551701196,NA,"MF",FALSE
"121","GO:0000294","nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay",0.390498831347745,0.43272784962892,"BP",FALSE
"122","GO:0000295","adenine nucleotide transmembrane transporter activity",0.12865845432291,0.501590905940288,"MF",FALSE
"123","GO:0000298","endopolyphosphatase activity",0.38874581396307,NA,"MF",FALSE
"124","GO:0000301","retrograde transport, vesicle recycling within Golgi",0.671078615971987,0.314724123356556,"BP",FALSE
"125","GO:0000302","response to reactive oxygen species",0.0248351728170183,0.365240970631283,"BP",FALSE
"126","GO:0000303","response to superoxide",0.308162904995835,0.871644728240633,"BP",FALSE
"127","GO:0000305","response to oxygen radical",0.251184839263776,0.884536674522435,"BP",FALSE
"128","GO:0000306","extrinsic component of vacuolar membrane",0.213306391034593,0.779677205804497,"CC",FALSE
"129","GO:0000307","cyclin-dependent protein kinase holoenzyme complex",0.623475995749631,0.381002402879581,"CC",FALSE
"130","GO:0000308","cytoplasmic cyclin-dependent protein kinase holoenzyme complex",0.360003960949283,NA,"CC",FALSE
"131","GO:0000309","nicotinamide-nucleotide adenylyltransferase activity",0.810186608387173,0.433180185834857,"MF",FALSE
"132","GO:0000313","organellar ribosome",NA,0.992969074584474,"CC",FALSE
"133","GO:0000314","organellar small ribosomal subunit",NA,0.995857472496209,"CC",FALSE
"134","GO:0000315","organellar large ribosomal subunit",0.999999999999812,0.913374721715792,"CC",FALSE
"135","GO:0000320","re-entry into mitotic cell cycle",0.211003556544717,0.139662495600761,"BP",FALSE
"136","GO:0000322","storage vacuole",0.987927097183904,NA,"CC",FALSE
"137","GO:0000323","lytic vacuole",1.61066194943795e-05,0.825086130797788,"CC",FALSE
"138","GO:0000334","3-hydroxyanthranilate 3,4-dioxygenase activity",NA,0.172402027685709,"MF",FALSE
"139","GO:0000338","protein deneddylation",0.993294809772049,0.0533248443079049,"BP",FALSE
"140","GO:0000339","RNA cap binding",0.817139815401501,0.461204558621754,"MF",FALSE
"141","GO:0000340","RNA 7-methylguanosine cap binding",0.781835498465406,0.443870927014599,"MF",FALSE
"142","GO:0000346","transcription export complex",0.999560940152701,0.210658796360003,"CC",FALSE
"143","GO:0000347","THO complex",NA,0.34591782782984,"CC",FALSE
"144","GO:0000354","cis assembly of pre-catalytic spliceosome",0.671078615971987,NA,"BP",FALSE
"145","GO:0000375","RNA splicing, via transesterification reactions",0.999996485094477,0.880532679584875,"BP",FALSE
"146","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",0.999995512663245,0.861440378848118,"BP",FALSE
"147","GO:0000380","alternative mRNA splicing, via spliceosome",0.210603344951005,0.099859987899501,"BP",FALSE
"148","GO:0000381","regulation of alternative mRNA splicing, via spliceosome",0.0517789737628613,0.143674956124003,"BP",FALSE
"149","GO:0000387","spliceosomal snRNP assembly",0.999999998862783,0.999086699530351,"BP",FALSE
"150","GO:0000388","spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)",0.426472770440719,NA,"BP",FALSE
"151","GO:0000390","spliceosomal complex disassembly",NA,0.314724123356556,"BP",FALSE
"152","GO:0000393","spliceosomal conformational changes to generate catalytic conformation",0.96442994091982,NA,"BP",FALSE
"153","GO:0000394","RNA splicing, via endonucleolytic cleavage and ligation",0.99995517432428,0.376545835951491,"BP",FALSE
"154","GO:0000395","mRNA 5-splice site recognition",0.636357684924528,NA,"BP",FALSE
"155","GO:0000398","mRNA splicing, via spliceosome",0.999995512663245,0.861440378848118,"BP",FALSE
"156","GO:0000400","four-way junction DNA binding",0.979977656090973,0.622312661674203,"MF",FALSE
"157","GO:0000403","Y-form DNA binding",0.872051210693323,NA,"MF",FALSE
"158","GO:0000405","bubble DNA binding",0.993167849595806,0.476443028633252,"MF",FALSE
"159","GO:0000406","double-strand/single-strand DNA junction binding",0.567980908320593,NA,"MF",FALSE
"160","GO:0000407","phagophore assembly site",0.764004671904564,0.17490988407821,"CC",FALSE
"161","GO:0000413","protein peptidyl-prolyl isomerization",0.242013984416608,0.810608739816349,"BP",FALSE
"162","GO:0000414","regulation of histone H3-K36 methylation",0.434466041396524,0.240280725077919,"BP",FALSE
"163","GO:0000415","negative regulation of histone H3-K36 methylation",0.390498831347745,0.43272784962892,"BP",FALSE
"164","GO:0000416","positive regulation of histone H3-K36 methylation",0.891826642328553,0.530416300971639,"BP",FALSE
"165","GO:0000421","autophagosome membrane",0.0672333971339897,0.993189765717721,"CC",FALSE
"166","GO:0000422","autophagy of mitochondrion",0.602626111852992,0.731983553617472,"BP",FALSE
"167","GO:0000423","mitophagy",0.99795828542505,0.316046506040126,"BP",FALSE
