"","GOID","Term","Pvalue.RNA","Pvalue.ATAC","Ontology","lipid.related"
"reproduction","GO:0000003","reproduction",1.02630909715213e-06,0.016762559747282,"BP",FALSE
"negative regulation of transcription by RNA polymerase II","GO:0000122","negative regulation of transcription by RNA polymerase II",5.75584197300957e-11,2.16536476802297e-23,"BP",FALSE
"MAPK cascade","GO:0000165","MAPK cascade",0.000821590594363308,0.0036616969579361,"BP",FALSE
"nuclear chromosome","GO:0000228","nuclear chromosome",1.95784074132298e-05,2.34423931219926e-13,"CC",FALSE
"polysaccharide biosynthetic process","GO:0000271","polysaccharide biosynthetic process",0.0490384921688653,0.0103214872110544,"BP",FALSE
"chromatin","GO:0000785","chromatin",1.69518282383846e-09,4.36412130233848e-15,"CC",FALSE
"nuclear chromatin","GO:0000790","nuclear chromatin",3.85841403317623e-14,6.16298390469055e-18,"CC",FALSE
"cell morphogenesis","GO:0000902","cell morphogenesis",2.10904838764376e-20,6.56857471506278e-22,"BP",FALSE
"cell morphogenesis involved in differentiation","GO:0000904","cell morphogenesis involved in differentiation",8.27744116516992e-17,2.98105201162849e-23,"BP",FALSE
"transcription regulatory region sequence-specific DNA binding","GO:0000976","transcription regulatory region sequence-specific DNA binding",4.35569999326952e-09,4.18350785912492e-22,"MF",FALSE
"RNA polymerase II transcription regulatory region sequence-specific DNA binding","GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding",4.9058928363635e-10,1.32895152160132e-19,"MF",FALSE
"RNA polymerase II cis-regulatory region sequence-specific DNA binding","GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",8.60548504562946e-13,6.28374190219003e-15,"MF",FALSE
"DNA-binding transcription factor activity, RNA polymerase II-specific","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",1.90521428705087e-18,2.62901289489247e-27,"MF",FALSE
"cis-regulatory region sequence-specific DNA binding","GO:0000987","cis-regulatory region sequence-specific DNA binding",1.65731097407492e-13,2.37282339478442e-16,"MF",FALSE
"regulatory region nucleic acid binding","GO:0001067","regulatory region nucleic acid binding",4.24154963983674e-09,5.58223250597114e-22,"MF",FALSE
"RNA polymerase II transcription factor binding","GO:0001085","RNA polymerase II transcription factor binding",0.0221704955548796,4.48296903246378e-07,"MF",FALSE
"response to acid chemical","GO:0001101","response to acid chemical",2.19089137742416e-06,0.0176059210084878,"BP",FALSE
"RNA polymerase II activating transcription factor binding","GO:0001102","RNA polymerase II activating transcription factor binding",0.0191548547444089,0.0335230788790991,"MF",FALSE
"DNA-binding transcription activator activity","GO:0001216","DNA-binding transcription activator activity",3.11145787151066e-13,1.26480066843637e-14,"MF",FALSE
"DNA-binding transcription repressor activity","GO:0001217","DNA-binding transcription repressor activity",0.00051406441798183,1.19248151517336e-08,"MF",FALSE
"transcription cofactor binding","GO:0001221","transcription cofactor binding",0.00489419012210727,0.000261810807986924,"MF",FALSE
"DNA-binding transcription repressor activity, RNA polymerase II-specific","GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific",0.000427663496764331,1.00820143087327e-08,"MF",FALSE
"DNA-binding transcription activator activity, RNA polymerase II-specific","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific",2.33043268733635e-13,7.6503382105372e-15,"MF",FALSE
"skeletal system development","GO:0001501","skeletal system development",6.2187896414181e-09,9.12501806027583e-11,"BP",FALSE
"cartilage condensation","GO:0001502","cartilage condensation",0.0024488662152279,0.0105589450527543,"BP",FALSE
