GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	enrichment	padj
GO:0009653	5.15756408010051e-37	1.68537619063064	857.982044813771	1159	4983	anatomical structure morphogenesis	1.03594629929599	6.0395075377977e-33
GO:0007399	3.42017032093341e-35	1.70959859284772	715.587673739922	992	4156	nervous system development	1.27466533768218	2.00250972290651e-31
GO:0048731	3.01262236401393e-34	1.58142481821559	1344.22352475639	1665	7807	system development	0.606291473747281	1.1759269294201e-30
GO:0007275	3.97656692034064e-33	1.5638740491356	1467.5057130138	1786	8523	multicellular organism development	0.545672489905877	1.16413996592972e-29
GO:0048856	3.23883362370263e-32	1.55232882259456	1559.79517237968	1875	9059	anatomical structure development	0.507079828119206	7.58534834671156e-29
GO:0006357	7.57048231426564e-32	1.79854618076048	472.12257011426	697	2742	regulation of transcription by RNA polymerase II	2.05746975087264	1.47750579833418e-28
GO:0048699	2.32355111293897e-29	1.75197140338041	478.837661374091	695	2781	generation of neurons	1.99442821084823	3.88696907607363e-26
GO:0006366	9.82767189356697e-29	1.72721146052778	498.982935153584	716	2898	transcription by RNA polymerase II	1.8921337911346	1.43852547342086e-25
GO:0032502	4.43205591244416e-28	1.50482900672398	1637.62135826285	1931	9511	developmental process	0.473767747533165	5.76659719274679e-25
GO:0022008	1.20898339158393e-27	1.70260207897426	508.969481129742	723	2956	neurogenesis	1.83639042446637	1.35669514358026e-24
GO:0030182	1.27443608705234e-27	1.75461653761252	437.34184102488	639	2540	neuron differentiation	2.19820912641825	1.35669514358026e-24
GO:0030154	5.17200918186532e-27	1.52335199184411	1061.84532818915	1331	6167	cell differentiation	0.776722239592149	5.04701895997024e-24
GO:0048869	2.98506722324899e-26	1.51198851766377	1076.13641984469	1342	6250	cellular developmental process	0.7624793088	2.68885670648043e-23
GO:0045944	5.18881949839159e-25	1.89279861829008	277.729287233516	436	1613	positive regulation of transcription by RNA polymerase II	3.71923256830257	4.34007688044039e-22
GO:0051254	1.60026365691129e-24	1.73778287777413	390.680565860415	571	2269	positive regulation of RNA metabolic process	2.46151619903888	1.24927249482875e-21
GO:0009888	2.40965465386559e-24	1.59638692333531	611.417668298956	825	3551	tissue development	1.4520721155253	1.76356599979788e-21
GO:0048523	4.77679177562445e-24	1.48094545774958	1102.13587574813	1357	6401	negative regulation of cellular process	0.73505489653978	3.29036657015072e-21
GO:0051252	1.13947040708687e-23	1.52991850382793	785.665677400208	1015	4563	regulation of RNA metabolic process	1.08193379472396	7.41288803721515e-21
GO:0000122	2.16536476802297e-23	2.0301541841791	198.181283078597	330	1151	negative regulation of transcription by RNA polymerase II	5.5283925661288	1.33454849650258e-20
GO:0000904	2.98105201162849e-23	1.87762996423381	261.888559133403	410	1521	cell morphogenesis involved in differentiation	3.93333566751864	1.74540595280848e-20
GO:0007417	3.60623154269339e-23	1.76342408671117	339.198199535045	504	1970	central nervous system development	2.88226339251205	2.01090339833046e-20
GO:0048513	5.24818040609328e-23	1.47635158323198	1027.58114458129	1272	5968	animal organ development	0.792620068425706	2.79346329797056e-20
