GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	enrichment	padj
GO:0023052	2.04962823824841e-66	1.64162466742473	3608.38611069892	4205	8461	signaling	1.30364154331391	2.79425817720406e-62
GO:0007154	1.23016199416412e-63	1.62361363256904	3618.19498441905	4202	8484	cell communication	1.29565778865217	8.38539923321974e-60
GO:0032501	5.59830446350274e-56	1.56855670754991	4538.52322303012	5090	10642	multicellular organismal process	0.997486105431063	2.54405615836443e-52
GO:0030154	2.9047366986518e-52	1.59536670028884	2630.05757530791	3123	6167	cell differentiation	1.82246698290479	9.90006885318e-49
GO:0007165	7.50949958339257e-52	1.5568448780238	3261.66374833061	3778	7648	signal transduction	1.43351346538488	2.04754015640782e-48
GO:0048869	8.16171262428197e-51	1.58194568700338	2665.45481525449	3153	6250	cellular developmental process	1.7914286592	1.8544771367806e-47
GO:0050896	7.5801394752909e-50	1.53192660803017	4811.89226888262	5328	11283	response to stimulus	0.928860771145047	1.4762863066663e-46
GO:0048856	6.11931212801071e-48	1.51492647182795	3863.41682742247	4371	9059	anatomical structure development	1.18210449531149	1.04280727801463e-44
GO:0032502	3.36506382809366e-45	1.49420390638335	4056.18251966167	4550	9511	developmental process	1.11633518968198	5.0973239076001e-42
GO:0048731	2.52925159926723e-44	1.5012546728972	3329.47291883069	3807	7807	system development	1.38627726159513	3.44812870528101e-41
GO:0007275	2.63125817973304e-43	1.48616372696783	3634.82742246624	4113	8523	multicellular organism development	1.25663547087507	3.26108570584551e-40
GO:0065007	2.03373398851415e-41	1.549960982821	6310.94405698175	6727	14798	biological regulation	0.681790528086654	2.31049128878445e-38
GO:0050793	1.78258215325213e-40	1.60394506446601	1692.24395310877	2065	3968	regulation of developmental process	2.91079962786973	1.8693801919451e-37
GO:0009653	7.06493565355043e-40	1.54111264938037	2125.1138151061	2526	4983	anatomical structure morphogenesis	2.25780875929394	6.87973341177522e-37
GO:0051239	3.73307267745732e-39	1.53887727651663	2085.45184745511	2480	4890	regulation of multicellular organismal process	2.30181038051865	3.39286532078505e-36
GO:0048468	1.13712483602872e-38	1.59695995019714	1627.42009200178	1986	3816	cell development	3.02690014239943	9.68901430598724e-36
GO:0051716	1.4740715009437e-38	1.44711111241026	3996.04985902953	4450	9370	cellular response to stimulus	1.12490646025087	1.18211863366855e-35
GO:0050794	3.6474772608101e-38	1.47976469722167	5736.4852351981	6162	13451	regulation of cellular process	0.755871777854391	2.76255874981245e-35
GO:0007399	1.32796559789982e-36	1.5534214997838	1772.42083395162	2132	4156	nervous system development	2.73950252009919	9.52850262956226e-34
GO:0050789	2.12745128803763e-35	1.47199045269356	5995.35420685562	6394	14058	regulation of biological process	0.718060662894841	1.45017717049085e-32
GO:0006928	7.45614329452693e-35	1.59428935717732	1426.5514171242	1749	3345	movement of cell or subcellular component	3.46923042892477	4.84045721591836e-32
GO:0048522	9.8821285274159e-35	1.4336917562724	3183.61923133996	3600	7465	positive regulation of cellular process	1.43376659732469	6.1237753733755e-32
GO:2000026	1.15451398403717e-34	1.59973207135518	1390.72770440718	1709	3261	regulation of multicellular organismal development	3.56677773367446	6.84325614972987e-32
GO:0022008	2.41008033491593e-34	1.62681266348468	1260.65350942276	1565	2956	neurogenesis	3.97503598103717	1.3690260502462e-31
GO:0048518	3.15485031648193e-34	1.42269486279432	3442.91467576792	3862	8073	positive regulation of biological process	1.31515804570916	1.72040297458393e-31
GO:0051179	1.68618083154948e-33	1.41072856090412	3819.06365929663	4239	8955	localization	1.17318855584455	8.84142433712078e-31
GO:0048699	2.59797311945548e-33	1.63413657345139	1186.02077459564	1478	2781	generation of neurons	4.24138833904127	1.31178398287173e-30
GO:0007166	3.01933552770355e-33	1.5223161582522	1753.65603205223	2094	4112	cell surface receptor signaling pathway	2.74856522241063	1.47009290175652e-30
GO:0032879	4.53118061997772e-33	1.51915410504647	1763.89137854281	2104	4136	regulation of localization	2.72973354683507	2.13012363421229e-30
GO:0003008	2.0792780801866e-32	1.5871492401142	1327.60973438196	1629	3113	system process	3.73076956018661	9.44893268906129e-30
GO:0045595	4.07872207154664e-32	1.61733635926237	1191.13844784093	1478	2793	regulation of cell differentiation	4.20502076120176	1.79371670972243e-29
GO:0065008	5.48602235408474e-32	1.44091481881811	2517.04229114112	2893	5902	regulation of biological quality	1.84325578254837	2.33721696103866e-29
GO:0030182	7.58625415480857e-31	1.63207342162184	1083.24083691942	1353	2540	neuron differentiation	4.65442401884804	3.1340425118941e-28
GO:0007267	1.03375990880154e-30	1.58665923733624	1240.18281644161	1525	2908	cell-cell signaling	4.00236434519203	4.14507318726217e-28
GO:0023051	1.17260094023632e-29	1.44091819192279	2205.29069594895	2552	5171	regulation of signaling	2.11820103644677	4.5674481766405e-27
GO:0010646	4.47959726056679e-29	1.43738038119618	2179.27585695207	2521	5110	regulation of cell communication	2.14272593931549	1.6963985959252e-26
