GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	enrichment	padj
GO:0048598	2.34512229376929e-11	2.72054239874458	28.7367067319583	68	1417	embryonic morphogenesis	0.751631190768016	1.42606886684111e-07
GO:0006357	1.90218765905569e-10	2.18262519239718	55.607656922392	103	2742	regulation of transcription by RNA polymerase II	0.30404502774732	5.61642652652888e-07
GO:0048562	4.11541864930186e-10	3.163332657313	15.9806103774052	45	788	embryonic organ morphogenesis	1.60840591100003	5.61642652652888e-07
GO:0031328	4.49209145494145e-10	2.18634292492727	51.8355839145274	97	2556	positive regulation of cellular biosynthetic process	0.329522912120611	5.61642652652888e-07
GO:0009891	4.61801227308739e-10	2.17745910477188	52.6265024484345	98	2595	positive regulation of biosynthetic process	0.322988405893949	5.61642652652888e-07
GO:0051241	1.13384074119479e-09	2.35576046469225	36.382252559727	75	1794	negative regulation of multicellular organismal process	0.517192201429514	1.07465630453607e-06
GO:0051254	1.28130416978679e-09	2.2086398341407	46.0152347034674	88	2269	positive regulation of RNA metabolic process	0.379358013161859	1.07465630453607e-06
GO:0009890	1.46696546427902e-09	2.27005090950154	40.9452441014987	81	2019	negative regulation of biosynthetic process	0.441009518048083	1.07465630453607e-06
GO:0006366	1.99201982437336e-09	2.06950468089884	58.7713310580205	104	2898	transcription by RNA polymerase II	0.274835075807261	1.07465630453607e-06
GO:1903507	2.60626938266017e-09	2.371811556481	33.5024978978088	70	1652	negative regulation of nucleic acid-templated transcription	0.569263758361719	1.07465630453607e-06
GO:1902679	2.6729326352154e-09	2.37018319646241	33.5227778602166	70	1653	negative regulation of RNA biosynthetic process	0.568575202321468	1.07465630453607e-06
GO:1903508	2.91423856717379e-09	2.2019188410082	43.7844388386012	84	2159	positive regulation of nucleic acid-templated transcription	0.399953574993655	1.07465630453607e-06
GO:1902680	2.97866953990479e-09	2.20073406858399	43.8047188010091	84	2160	positive regulation of RNA biosynthetic process	0.399583333333333	1.07465630453607e-06
GO:0048523	3.00630259044897e-09	1.81766796237091	129.730919523174	186	6397	negative regulation of cellular process	0.100877851601583	1.07465630453607e-06
GO:0010557	3.12325895798237e-09	2.13766352828576	49.1383489142801	91	2423	positive regulation of macromolecule biosynthetic process	0.34400927008315	1.07465630453607e-06
GO:0050793	3.13513034824297e-09	1.93178180600015	80.4708908344463	130	3968	regulation of developmental process	0.183246465677029	1.07465630453607e-06
GO:0010558	3.24431387534668e-09	2.26876712957499	38.7144482366325	77	1909	negative regulation of macromolecule biosynthetic process	0.468936945312395	1.07465630453607e-06
GO:0031327	3.30506994379867e-09	2.24548613812187	40.1948854924074	79	1982	negative regulation of cellular biosynthetic process	0.446329274265565	1.07465630453607e-06
GO:0051093	3.35774869037745e-09	2.44890564030535	29.5073453034575	64	1455	negative regulation of developmental process	0.670949091295568	1.07465630453607e-06
GO:0051253	3.7264610859058e-09	2.30871362627344	35.9360933867537	73	1772	negative regulation of RNA metabolic process	0.515977788421852	1.13303049316966e-06
GO:0030154	5.23392306545975e-09	1.80652282844714	125.066528169362	180	6167	cell differentiation	0.1050413246631	1.51559457909813e-06
GO:0048731	6.73869055191877e-09	1.7747069355765	158.285106593461	215	7805	system development	0.07833001808578	1.85104669838298e-06
GO:0048732	7.0565836116946e-09	2.89774010125565	16.8932086857595	44	833	gland development	1.40733748481385	1.85104669838298e-06
GO:0045935	7.30556171044098e-09	2.09479787562755	49.9901073354108	91	2465	positive regulation of nucleobase-containing compound metabolic process	0.33238630893359	1.85104669838298e-06
GO:2000113	9.15398951185403e-09	2.24153162958186	37.4368106049364	74	1846	negative regulation of cellular macromolecule biosynthetic process	0.481952134508862	2.00351601091994e-06
GO:0045934	9.34860641739244e-09	2.22877592127856	38.1871692140278	75	1883	negative regulation of nucleobase-containing compound metabolic process	0.469457417162081	2.00351601091994e-06
GO:0045893	9.47145970556759e-09	2.17534865269004	41.8984023346688	80	2066	positive regulation of transcription, DNA-templated	0.415972800769195	2.00351601091994e-06
GO:0051960	9.50768942808842e-09	2.33012544816509	32.4276598901914	67	1599	regulation of nervous system development	0.58158534825354	2.00351601091994e-06
GO:2000026	9.55467263882226e-09	1.9630801082975	66.1329574120789	111	3261	regulation of multicellular organismal development	0.231663152977101	2.00351601091994e-06
GO:0060284	9.98847306644839e-09	2.32683280054432	32.4682198150072	67	1601	regulation of cell development	0.580133200634675	2.02466349056909e-06
GO:0022008	1.2001832403762e-08	1.99374337088453	59.9475688776772	103	2956	neurogenesis	0.261615786611392	2.35429493055732e-06
GO:0045596	1.30313671807738e-08	2.61657381615599	21.7198397388337	51	1071	negative regulation of cell differentiation	0.986794717887155	2.47636699457143e-06
GO:0048869	1.5587638543667e-08	1.77111954731036	126.749765049216	180	6250	cellular developmental process	0.102269952	2.872376666183e-06
GO:0007399	1.62037773154807e-08	1.86234749774733	84.2835237671267	132	4156	nervous system development	0.169612726385128	2.8980932310423e-06
GO:0000122	2.01651165857554e-08	2.52962350696198	23.3422367314636	53	1151	negative regulation of transcription by RNA polymerase II	0.887893351529777	3.41507223864939e-06
GO:0009653	2.02639343092746e-08	1.80682915057915	101.055052678439	151	4983	anatomical structure morphogenesis	0.134967982048054	3.41507223864939e-06
GO:0031325	2.11708217560351e-08	1.83280409576204	90.6514319631993	139	4470	positive regulation of cellular metabolic process	0.154395747939282	3.41507223864939e-06
GO:0048856	2.13406915094026e-08	1.74105435546538	183.716179452936	239	9059	anatomical structure development	0.0646357754242615	3.41507223864939e-06
GO:0045892	2.5208091936346e-08	2.27899794356912	32.5290597022308	66	1604	negative regulation of transcription, DNA-templated	0.569338810082027	3.91329521273585e-06
GO:0009889	2.57411295032781e-08	1.79247978199719	104.056487114804	154	5131	regulation of biosynthetic process	0.129823189063188	3.91329521273585e-06
GO:2000112	3.48187993415593e-08	1.80238136324418	95.7011426027601	144	4719	regulation of cellular macromolecule biosynthetic process	0.143515272221277	5.15646444128463e-06
GO:0048699	3.5614455933885e-08	1.97708227194164	56.3985754562992	97	2781	generation of neurons	0.278359045255077	5.15646444128463e-06
GO:0007423	3.77799374726934e-08	2.37701341687907	27.2157095513677	58	1342	sensory organ development	0.714757207806486	5.34278604119648e-06
GO:0031326	3.87052759519319e-08	1.78380752432812	102.008210911609	151	5030	regulation of cellular biosynthetic process	0.132457501511804	5.3492450696295e-06
GO:0051173	4.2587591274764e-08	1.82519516301852	85.6017213236385	132	4221	positive regulation of nitrogen compound metabolic process	0.164429148803652	5.75500316759644e-06
GO:0045595	4.40477920135719e-08	1.96690280714062	56.6419350051937	97	2793	regulation of cell differentiation	0.27597226917224	5.82292659205502e-06
GO:0042127	4.52799321942084e-08	2.04594140825767	47.2523124103477	85	2330	regulation of cell population proliferation	0.347490283482842	5.85845250368045e-06
GO:0021983	4.85220982781837e-08	8.07465365239295	1.88603650393233	13	93	pituitary gland development	33.3590010405827	6.1471433256174e-06
GO:0010721	5.72394333058031e-08	3.17756897301024	11.4378987980413	33	564	negative regulation of cell development	2.30245586238117	7.10353048842018e-06
GO:0030182	6.33490310765331e-08	1.99251275510204	51.5111045160014	90	2540	neuron differentiation	0.309606919213838	7.61582199804878e-06
GO:0007275	6.38722121197973e-08	1.70425637289841	172.825839639907	226	8522	multicellular organism development	0.069065468334343	7.61582199804878e-06
GO:0032502	7.11903063785539e-08	1.70674581759309	192.882722461295	246	9511	developmental process	0.0603557047608278	8.1938225473105e-06
GO:0045944	7.14146678190193e-08	2.22228775792982	32.7115793639017	65	1613	positive regulation of transcription by RNA polymerase II	0.554472745274465	8.1938225473105e-06
GO:0050768	7.3526710886806e-08	3.35024238227147	9.85606173022704	30	486	negative regulation of neurogenesis	2.81893004115226	8.27992460930865e-06
GO:0009888	7.64162912165645e-08	1.85736765257197	72.0141465103626	115	3551	tissue development	0.202410052467164	8.44886303432597e-06
GO:0010556	8.59008146117695e-08	1.76711429135492	97.9116585052184	145	4828	regulation of macromolecule biosynthetic process	0.138060378941126	9.32790810096733e-06
GO:0008283	1.01941799771826e-07	1.94367112681821	55.2223376366424	94	2723	cell population proliferation	0.281363755843268	1.0875580428289e-05
GO:0090596	1.18046613377935e-07	2.86425743735316	14.1959736855122	37	700	sensory organ morphogenesis	1.67587346938776	1.23765768267452e-05
GO:0048519	1.24051425116311e-07	1.69250792420054	142.284216253648	193	7016	negative regulation of biological process	0.0870189282292047	1.27857070530896e-05
