GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	enrichment	padj
GO:0000790	6.16298390469055e-18	1.78772941990377	230.991199807646	352	1341	nuclear chromatin	4.34430881491825	8.09199786685869e-15
GO:0000785	4.36412130233848e-15	1.65048018949182	265.7862947824	382	1543	chromatin	3.5609599768822	2.86504563498521e-12
GO:0000228	2.34423931219926e-13	1.59153413821815	272.676412599182	382	1583	nuclear chromosome	3.38327356080018	1.02599540563921e-10
GO:0005694	3.38623484955583e-09	1.39911485758035	361.731185381101	460	2100	chromosome	2.31502040816327	1.1115315893667e-06
GO:0031981	1.69413894984001e-08	1.25103998569847	973.401394566001	1109	5651	nuclear lumen	0.77075528841681	4.44880888227988e-06
GO:0005667	4.18750040818286e-08	1.73649558044849	96.6339023803799	147	561	transcription regulator complex	10.3663816523206	9.1636467265735e-06
GO:0005634	5.00463021080935e-08	1.21868914033207	1503.94046645828	1648	8731	nucleus	0.479805047755185	9.38725638113239e-06
GO:0030054	1.32030203808299e-06	1.25363901018923	592.033373407069	689	3437	cell junction	1.29448117573152	0.000216694572000371
GO:0005911	1.50904387813125e-06	1.49731353432545	147.104015388315	200	854	cell-cell junction	6.08625067871814	0.000220152734665148
GO:1990907	5.88228631811296e-06	7.8336018492575	3.61731185381101	13	21	beta-catenin-TCF complex	654.244897959184	0.000772344193568232
GO:0043233	9.58968419414888e-06	1.17929600688221	1208.87117095456	1320	7018	organelle lumen	0.594816195881437	0.000968558103609037
GO:0031974	9.58968419414888e-06	1.17929600688221	1208.87117095456	1320	7018	membrane-enclosed lumen	0.594816195881437	0.000968558103609037
GO:0070013	9.58968419414888e-06	1.17929600688221	1208.87117095456	1320	7018	intracellular organelle lumen	0.594816195881437	0.000968558103609037
GO:0005654	3.13064806809196e-05	1.18761569860658	826.814138013946	920	4800	nucleoplasm	0.88621875	0.00293610065243196
GO:0033268	3.39518456230817e-05	3.49440780873253	8.6126472709786	21	50	node of Ranvier	186.4296	0.00297191822020709
GO:0098978	3.72285555969251e-05	1.47236911784698	115.064967540274	155	668	glutamatergic synapse	7.70928950482269	0.00305506834367267
GO:0043228	4.00397693126727e-05	1.17094060809895	1048.1591728781	1147	6085	non-membrane-bounded organelle	0.687508124089774	0.00309248335926702
GO:0042641	5.18285097971212e-05	2.29632477426637	20.3258475595095	38	118	actomyosin	60.5696638896869	0.00378060185353445
