GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	enrichment	padj
GO:0071944	6.90147031140958e-80	1.74627544402181	3024.03986535225	3665	7129	cell periphery	1.60048766454305	1.09112245623385e-76
GO:0005886	2.25259087827224e-75	1.72356436303448	2943.86823755711	3562	6940	plasma membrane	1.64138536155935	1.7806730892742e-72
GO:0030054	4.42552852082105e-48	1.7247567755636	1457.93589805242	1845	3437	cell junction	3.46635380148716	2.33225353047269e-45
GO:0045202	5.38983675752283e-37	1.7610509653515	961.635345034864	1245	2267	synapse	5.37652776483284	2.1303329784109e-34
GO:0031226	2.00067084090667e-33	1.66347937662181	1084.22582351527	1367	2556	intrinsic component of plasma membrane	4.64389506050387	6.32612119894689e-31
GO:0042995	1.01459027356431e-32	1.55484766575628	1488.4774705458	1807	3509	cell projection	3.25706929078108	2.67344537084196e-30
GO:0098590	2.92774887791351e-32	1.73163570670951	873.404135609522	1126	2059	plasma membrane region	5.89469418544393	6.61252996568751e-30
GO:0098794	1.9513282841126e-31	2.07346739013726	461.941283962491	648	1089	postsynapse	12.1270405026979	3.85631252147752e-29
GO:0005887	2.2611924629491e-30	1.63580532114605	1040.9585958163	1305	2454	integral component of plasma membrane	4.80946730351923	3.9091565668632e-28
GO:0120025	2.47258479877495e-30	1.53842185833706	1429.93945660014	1731	3371	plasma membrane bounded cell projection	3.38076625264737	3.9091565668632e-28
GO:0016020	4.07543123361829e-28	1.36432080733572	4954.52176003847	5341	11680	membrane	0.868905355718709	5.85750616395502e-26
GO:0031982	5.65695726804795e-27	1.41892187910263	2114.1555181534	2441	4984	vesicle	2.18095795792121	7.45304120065317e-25
GO:0043005	1.07551652760808e-25	1.5849251052621	986.238278432315	1222	2325	neuron projection	5.01719375650364	1.3079935616526e-23
GO:0005576	9.27635582004082e-25	1.39924726353571	2080.64462611205	2391	4905	extracellular region	2.20565272283478	1.04756561082032e-22
GO:0099572	1.93434346639105e-23	2.26266631860238	265.11781678288	387	625	postsynaptic specialization	21.98803968	2.03879801357617e-21
GO:0097060	2.41108805941498e-22	2.10664700812851	301.598028372205	428	711	synaptic membrane	18.7905784329434	2.35048603966941e-20
GO:0005615	2.52740434373055e-22	1.41268760253878	1648.39653762924	1918	3886	extracellular space	2.81889300546798	2.35048603966941e-20
GO:0045211	2.50235608575448e-21	2.33764767853112	221.002212070209	327	521	postsynaptic membrane	26.7367052140244	2.19790276198769e-19
GO:0014069	1.04110572356445e-20	2.19894407619215	247.726088001924	358	584	postsynaptic density	23.2966199099268	8.66309552081785e-19
GO:0032279	3.90609651361529e-20	2.15323377654898	253.240538591007	363	597	asymmetric synapse	22.6044291810813	3.08776929401289e-18
GO:0098978	1.98169730587636e-19	2.03516705038845	283.357922577543	397	668	glutamatergic synapse	19.7457286026749	1.49193497170978e-17
GO:0031252	3.12406127687764e-19	1.99719281907153	295.659389276268	411	697	cell leading edge	18.7763791942924	2.24506403579252e-17
GO:0098984	3.54728487794227e-19	2.05556887503663	271.48064438567	382	640	neuron to neuron synapse	20.698505859375	2.43837277914206e-17
GO:1902495	1.5056875566442e-18	2.15983987159367	229.061793700409	329	540	transmembrane transporter complex	25.0405555555556	9.91871677939364e-17
GO:0030425	1.64339416415605e-18	1.7715857103851	417.82567924982	551	985	dendrite	12.6041835656678	9.99310066742583e-17
GO:0097447	1.64339416415605e-18	1.7715857103851	417.82567924982	551	985	dendritic tree	12.6041835656678	9.99310066742583e-17
GO:0098797	7.07990248770341e-18	1.83845192238197	352.500649194518	473	831	plasma membrane protein complex	15.2017881114051	4.14567623446633e-16
GO:1990351	1.08565848911965e-17	2.10567762993291	232.031113248377	330	547	transporter complex	24.477940168912	6.13009311177918e-16
GO:0070161	1.34370351885481e-17	1.60190042753352	592.591344073095	745	1397	anchoring junction	8.47225545690761	7.32550090796364e-16
GO:0043235	3.15268864508815e-17	2.00839280870625	256.634046645828	358	605	receptor complex	21.7074024998292	1.66146691596146e-15
GO:0034702	3.62780461785971e-17	2.12975532570883	217.608704015388	311	513	ion channel complex	26.2277623884272	1.85018035510845e-15
GO:0031410	6.28911691262988e-17	1.3819939420052	1323.89232988699	1536	3121	cytoplasmic vesicle	3.49976803374644	3.1072168246462e-15
GO:0097708	7.06471948388344e-17	1.38107459115749	1325.16489540755	1537	3124	intracellular vesicle	3.49532367643177	3.38464288000598e-15
GO:0098805	9.47921730630561e-17	1.43821733376517	991.328540514547	1178	2337	whole membrane	4.78700021916779	4.40783604743211e-15
GO:0036477	1.78166403718565e-16	1.56665113702645	607.437941812936	756	1432	somatodendritic compartment	8.18222355731719	8.04803097940145e-15
GO:0044309	2.86404632304507e-16	2.62074148743521	128.104929069488	198	302	neuron spine	48.1822288496119	1.25779367687063e-14
GO:0043197	4.1549787579561e-16	2.6190696496412	126.83236354893	196	299	dendritic spine	48.6574423104887	1.77541119360232e-14
GO:0031253	1.07345373026606e-15	2.04040709222239	220.578023563357	310	520	cell projection membrane	25.4443047337278	4.46613249355432e-14
GO:0031224	1.29705074731286e-15	1.26296737913491	3033.37201250301	3302	7151	intrinsic component of membrane	1.43310857478159	5.2580441833375e-14
GO:0043230	4.88639830764736e-15	1.37400529393519	1177.97148352969	1367	2777	extracellular organelle	3.93416288357643	1.93134893109762e-13
GO:1903561	6.94530367680739e-15	1.37162702036344	1177.12310651599	1365	2775	extracellular vesicle	3.93407158509861	2.67817685683719e-13
GO:0030659	1.67739111940904e-14	1.6207182079448	446.246309208944	566	1052	cytoplasmic vesicle membrane	11.3506447975249	6.31417942806117e-13
GO:0012506	1.9530943086733e-14	1.60836087756727	458.971964414523	580	1082	vesicle membrane	10.9953498860534	7.18102814421509e-13
