GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	enrichment	padj
GO:0000790	1.90263044749814e-06	2.1346598681756	27.6686868686869	54	1344	nuclear chromatin	2.98947704081633e-05	0.00110162302910142
GO:0005667	6.01768248858173e-06	2.70916954039233	11.5492063492063	29	561	transcription regulator complex	9.21451063005011e-05	0.00174211908044441
GO:0000785	1.29290240353876e-05	1.94736422896388	31.8272246272246	57	1546	chromatin	2.38482148983564e-05	0.0024953016388298
GO:0000228	2.59182531651751e-05	1.89507993581834	32.6095238095238	57	1584	nuclear chromosome	2.27177073767983e-05	0.00375166714565909
GO:0031981	3.52734766978019e-05	1.51988012041074	116.336123136123	154	5651	nuclear lumen	4.82247634724097e-06	0.00408466860160546
GO:0043233	0.00038629539131738	1.40755321637427	144.478306878307	178	7018	organelle lumen	3.61404265918498e-06	0.0279581289465954
GO:0031974	0.00038629539131738	1.40755321637427	144.478306878307	178	7018	membrane-enclosed lumen	3.61404265918498e-06	0.0279581289465954
GO:0070013	0.00038629539131738	1.40755321637427	144.478306878307	178	7018	intracellular organelle lumen	3.61404265918498e-06	0.0279581289465954
GO:0005694	0.000880210968081552	1.5851851051064	43.1705627705628	64	2097	chromosome	1.455402488147e-05	0.0566269056132465
GO:0005654	0.00181904826799959	1.38428548737227	98.8167388167388	125	4800	nucleoplasm	5.42534722222222e-06	0.105322894717176
GO:0043296	0.00587478850501599	2.4390756302521	5.14670514670515	12	250	apical junction complex	0.000192	0.307602112703976
GO:0098802	0.00661819033642307	2.30510613884108	5.88783068783069	13	286	plasma membrane signaling receptor complex	0.000158931977113795	0.307602112703976
GO:0009925	0.00690643776364714	3.79508605637316	1.68811928811929	6	82	basal plasma membrane	0.000892325996430696	0.307602112703976
GO:0043235	0.00750055350623225	1.83836787805558	12.4550264550265	22	605	receptor complex	6.01051840721262e-05	0.310201462864891
GO:0005634	0.00960053721862	1.26402059005847	179.743530543531	204	8731	nucleus	2.67609909390302e-06	0.370580736638732
GO:0000118	0.010717033332475	3.4322951929587	1.85281385281385	6	90	histone deacetylase complex	0.000740740740740741	0.383957891185126
GO:0005923	0.011273375043432	2.43632497221014	4.28205868205868	10	208	bicellular tight junction	0.000231139053254438	0.383957891185126
