GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	enrichment	padj
GO:0000981	2.62901289489247e-27	2.04246508964363	233.43234548645	388	1354	DNA-binding transcription factor activity, RNA polymerase II-specific	4.69710186350853	6.55675815986181e-24
GO:0140110	2.35725944170184e-26	1.80880267312777	356.872197309417	538	2070	transcription regulator activity	2.78661625708885	2.9395025238022e-23
GO:0003700	6.79420548409543e-24	1.86640106314477	276.877656463248	431	1606	DNA-binding transcription factor activity	3.7087005609413	5.64824949244466e-21
GO:0000976	4.18350785912492e-22	1.9324352995418	220.329791382336	354	1278	transcription regulatory region sequence-specific DNA binding	4.81035508827614	2.60841715016439e-19
GO:0001067	5.58223250597114e-22	1.92802136620776	220.674595437707	354	1280	regulatory region nucleic acid binding	4.79533447265625	2.7844175739784e-19
GO:1990837	1.1531148077373e-21	1.90251902887139	227.915480600507	362	1322	sequence-specific double-stranded DNA binding	4.59707132410665	4.79311388416138e-19
GO:0043565	9.6044427884017e-21	1.78456389327317	279.291284850848	422	1620	sequence-specific DNA binding	3.56876543209877	3.42192575918198e-18
GO:0000977	1.32895152160132e-19	1.89647651249674	204.296402807565	325	1185	RNA polymerase II transcription regulatory region sequence-specific DNA binding	5.13667681461304	4.14300636859211e-17
GO:0003690	1.65232387495162e-18	1.7775971033023	246.362497562878	373	1429	double-stranded DNA binding	4.05396463636137	4.5787730490326e-16
GO:0000987	2.37282339478442e-16	1.92405361614376	155.679031000195	252	903	cis-regulatory region sequence-specific DNA binding	6.85899714131191	5.91782154659235e-14
GO:0000978	6.28374190219003e-15	1.89086533603812	148.610547865081	238	862	RNA polymerase II cis-regulatory region sequence-specific DNA binding	7.10882801018513	1.42469566400563e-12
GO:0001228	7.6503382105372e-15	2.07725995573485	107.061659192825	184	621	DNA-binding transcription activator activity, RNA polymerase II-specific	10.5893719806763	1.58999529142332e-12
GO:0001216	1.26480066843637e-14	2.06272266355774	107.578865275882	184	624	DNA-binding transcription activator activity	10.4877958579882	2.42647143621563e-12
GO:0008134	1.6448930634583e-14	1.84403511227056	157.747855332423	248	915	transcription factor binding	6.57423273313625	2.93025950018928e-12
GO:0003712	7.64033499399385e-13	1.88464418579205	125.33627412751	201	727	transcription coregulator activity	8.44039589123776	1.27033303166804e-10
GO:0003677	4.19273572186125e-11	1.3885984122721	504.620735036069	631	2927	DNA binding	1.63463011634081	6.53542680645122e-09
GO:0003714	5.91965183193045e-10	2.25837218860277	51.7206083057126	95	300	transcription corepressor activity	23.427	8.68447745225562e-08
GO:0003682	7.67623435808297e-10	1.72784083466254	126.54308832131	191	734	chromatin binding	7.8682260615195	1.06358491605883e-07
GO:0001227	1.00820143087327e-08	2.05532005269044	58.0994833300838	100	337	DNA-binding transcription repressor activity, RNA polymerase II-specific	19.5423046782132	1.32339703610418e-06
GO:0001217	1.19248151517336e-08	2.04656200565766	58.2718853577695	100	338	DNA-binding transcription repressor activity	19.4268407968909	1.48702444942117e-06
GO:0005515	1.00789713643149e-07	1.25748112600734	2654.30161824917	2775	15396	protein binding	0.259826093850333	1.19262406714772e-05
GO:0140297	1.052034060836e-07	1.74750536819502	88.2698381750829	135	512	DNA-binding transcription factor binding	11.429557800293	1.19262406714772e-05
GO:0046332	1.54928549573087e-07	2.87764718626442	20.3434392669136	44	118	SMAD binding	70.1332950301638	1.67996435928382e-05
GO:0001085	4.48296903246378e-07	3.43565065779046	13.2749561317996	32	77	RNA polymerase II transcription factor binding	119.785461291955	4.65855198623528e-05
GO:0003713	1.93748440728442e-06	1.73163239192289	72.236449600312	110	419	transcription coactivator activity	13.9059358285724	0.000193283444470694
GO:0019199	2.06949899305247e-06	2.60387366567624	20.688243322285	42	120	transmembrane receptor protein kinase activity	64.7325	0.000198512711102802
GO:0004714	5.03146985660566e-06	2.77185870369157	16.550594657828	35	96	transmembrane receptor protein tyrosine kinase activity	84.287109375	0.000464758734162019
GO:0003707	7.70775026754408e-06	2.86152057906694	14.8265743809709	32	86	steroid hormone receptor activity	96.0259599783667	0.000686540327401962
GO:0004879	1.15287919796851e-05	2.97816540915597	13.1025541041139	29	76	nuclear receptor activity	111.431094182825	0.00095842690657782
GO:0098531	1.15287919796851e-05	2.97816540915597	13.1025541041139	29	76	ligand-activated transcription factor activity	111.431094182825	0.00095842690657782
GO:0070491	1.40410453432001e-05	2.64831987328833	16.550594657828	34	96	repressing transcription factor binding	81.87890625	0.00112962474470777
GO:0005488	1.71732989576178e-05	1.29857732594904	3156.50872489764	3225	18309	binding	0.213518766231847	0.00133844398750934
