GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	enrichment	padj
GO:0008092	1.27996085824316e-21	1.67625276758203	623.457301618249	798	1466	cytoskeletal protein binding	8.2408219784883	4.19827161503758e-18
GO:0022836	5.23656043725616e-20	2.21855880315082	233.902807564827	339	550	gated channel activity	24.8719537190083	8.58795911710011e-17
GO:0000981	1.90521428705087e-18	1.63401605169898	575.826184441412	730	1354	DNA-binding transcription factor activity, RNA polymerase II-specific	8.83733082567326	1.80891695047425e-15
GO:0015318	2.49155689110115e-18	1.68609635353779	500.977286020667	645	1178	inorganic molecular entity transmembrane transporter activity	10.3158427999458	1.80891695047425e-15
GO:0015075	2.77498599723895e-18	1.66170409651732	530.321456424254	678	1247	ion transmembrane transporter activity	9.67681344609581	1.80891695047425e-15
GO:0008289	3.55770519685392e-18	1.75354951350891	426.128387599922	559	1002	lipid binding	12.3569686973359	1.80891695047425e-15
GO:0005216	3.86049349186578e-18	1.97836743393009	285.361425229089	395	671	ion channel activity	19.4709722126594	1.80891695047425e-15
GO:0005215	2.9503428188899e-17	1.53827684670465	705.961201013843	869	1660	transporter activity	6.99905138626796	1.20964055574486e-14
GO:0022803	1.40044154008469e-16	1.85338831667363	315.556151296549	425	742	passive transmembrane transporter activity	17.1323406543109	5.10383139053086e-14
GO:0008324	1.6979469886317e-16	1.73449376607338	396.358939364399	518	932	cation transmembrane transporter activity	13.2352916797141	5.56926612271198e-14
GO:0015267	1.92664662588699e-16	1.85021948348575	314.280317800741	423	739	channel activity	17.1904431435524	5.74490993900849e-14
GO:0022890	3.36403980938674e-16	1.755187000689	371.267547280172	488	873	inorganic cation transmembrane transporter activity	14.2110745031353	9.19504214565708e-14
GO:0003779	4.01919324809487e-16	1.87891518022361	292.165870540066	396	687	actin binding	18.6216128601667	1.01407337336547e-13
GO:0022857	1.88408759546168e-15	1.53335102989322	626.859524273738	772	1474	transmembrane transporter activity	7.8860207412426	4.41414808079594e-13
GO:0019899	2.70347548665171e-14	1.34576955140529	1300.0743322285	1491	3057	enzyme binding	3.54097081843405	5.91159973081173e-12
GO:0046873	3.37923099645747e-14	1.82266489022037	278.556979918113	373	655	metal ion transmembrane transporter activity	19.2957566575374	6.9274235427378e-12
GO:0005261	3.78085059486412e-14	1.94657832691676	224.97197309417	310	529	cation channel activity	24.5858898445903	7.29481761832607e-12
GO:0000987	1.65731097407492e-13	1.64693898847073	384.025882238253	491	903	cis-regulatory region sequence-specific DNA binding	13.3641571285085	3.01998888609207e-11
GO:0001228	2.33043268733635e-13	1.81291003772347	264.097533632287	353	621	DNA-binding transcription activator activity, RNA polymerase II-specific	20.3154799411888	4.02306274445433e-11
GO:0001216	3.11145787151066e-13	1.8044810788569	265.373367128095	354	624	DNA-binding transcription activator activity	20.1776072485207	5.10279090927748e-11
GO:0000978	8.60548504562946e-13	1.63952443980773	366.589491128875	468	862	RNA polymerase II cis-regulatory region sequence-specific DNA binding	13.9787038183472	1.32390862279383e-10
GO:0005102	8.87987490898301e-13	1.38737001295377	889.681224410216	1042	2092	signaling receptor binding	5.28420843859335	1.32390862279383e-10
GO:0015079	4.00353462467168e-12	2.47780669639344	102.917235328524	156	242	potassium ion transmembrane transporter activity	59.1193224506523	5.70938850822744e-10
GO:0022832	1.24759510416413e-11	2.15721333863204	134.813072723728	194	317	voltage-gated channel activity	42.8468389574978	1.70504664235765e-09
GO:0022834	1.68066300171542e-11	2.39367146534215	104.193068824332	156	245	ligand-gated channel activity	57.6803665139525	2.12022101754868e-09
GO:0015276	1.68066300171542e-11	2.39367146534215	104.193068824332	156	245	ligand-gated ion channel activity	57.6803665139525	2.12022101754868e-09
GO:0005244	2.51047022704415e-11	2.14701738587343	132.261405732112	190	311	voltage-gated ion channel activity	43.5981844687296	2.95993053821508e-09
GO:0004674	2.52676997164702e-11	1.724929114662	258.994199649054	339	609	protein serine/threonine kinase activity	20.2861996165886	2.95993053821508e-09
GO:0030594	4.29070263479834e-11	2.66329033430233	80.3775102359134	125	189	neurotransmitter receptor activity	77.6643990929705	4.85293263522019e-09
GO:0098960	5.03720557433149e-11	3.23390787949015	57.4125073113667	95	135	postsynaptic neurotransmitter receptor activity	115.688888888889	5.50734476126909e-09
GO:0003700	7.39091649481224e-11	1.39833722692259	682.996198089296	806	1606	DNA-binding transcription factor activity	6.93552819517097	7.8200664848336e-09
GO:0005230	7.79628229028763e-11	3.10357153447397	59.964174302983	98	141	extracellular ligand-gated ion channel activity	109.40153915799	7.99118934754482e-09
GO:0015077	2.51895346971991e-10	1.71867960298874	234.7533632287	307	552	monovalent inorganic cation transmembrane transporter activity	22.3612358223062	2.50368708505494e-08
GO:0000977	4.9058928363635e-10	1.44535526274644	503.954230844219	606	1185	RNA polymerase II transcription regulatory region sequence-specific DNA binding	9.57792661432463	4.73274367743302e-08
GO:0051020	1.04730013692076e-09	1.57534024843995	311.303372977189	391	732	GTPase binding	16.1953439935501	9.81469842600022e-08
GO:0005543	1.51917667449834e-09	1.64566123080586	252.615032170014	324	594	phospholipid binding	20.3801652892562	1.38413874787627e-07
GO:0042562	1.98527588165046e-09	2.50449724845565	74.8488984207448	114	176	hormone binding	81.6798811983471	1.75992024103068e-07
GO:0038023	2.09793802411798e-09	1.34907651103031	725.098703450965	841	1705	signaling receptor activity	6.42070639227389	1.76441967156589e-07
GO:0060089	2.09793802411798e-09	1.34907651103031	725.098703450965	841	1705	molecular transducer activity	6.42070639227389	1.76441967156589e-07
GO:0019904	2.26435469412362e-09	1.45336839492975	447.392279196725	540	1052	protein domain specific binding	10.8292370859778	1.85677084918137e-07
GO:0022824	3.92459360487252e-09	3.10825415186317	48.9069506726457	80	115	transmitter-gated ion channel activity	134.254820415879	3.06492071999568e-07
GO:0022835	3.92459360487252e-09	3.10825415186317	48.9069506726457	80	115	transmitter-gated channel activity	134.254820415879	3.06492071999568e-07
GO:0017048	4.08437335071444e-09	2.39900532194378	78.6763989081692	118	185	Rho GTPase binding	76.519853907962	3.11552199775427e-07
GO:0001067	4.24154963983674e-09	1.39776196824759	544.355624878144	644	1280	regulatory region nucleic acid binding	8.7237158203125	3.16188245878739e-07
GO:0000976	4.35569999326952e-09	1.39774165200397	543.505069214272	643	1278	transcription regulatory region sequence-specific DNA binding	8.73745288633208	3.17482132842756e-07
GO:0098772	4.68992785211289e-09	1.30422850958565	900.313170208618	1025	2117	molecular function regulator	5.0759546233574	3.27298583211448e-07
GO:0044877	4.68994921065185e-09	1.3335526347383	751.891206862936	867	1768	protein-containing complex binding	6.15588017751479	3.27298583211448e-07
GO:1904315	6.05495930197067e-09	3.24497261178085	44.6541723532852	74	105	transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	148.966530612245	4.13755552301329e-07
GO:0099529	1.53756636176822e-08	3.03854236803983	46.7805615129655	76	110	neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential	139.400330578512	1.02922809522444e-06
GO:0031267	1.57649207861128e-08	1.61645345697633	236.454474556444	301	556	small GTPase binding	21.6098869106154	1.034178803569e-06
GO:0004672	1.83750008850506e-08	1.48460113921	349.578377851433	427	822	protein kinase activity	14.0255474452555	1.18176476280325e-06
GO:0005515	1.97450572098946e-08	1.19814957116937	6547.57750048742	6716	15396	protein binding	0.62882596263021	1.24545745477797e-06
GO:0099106	2.02098253165091e-08	2.44037614645873	68.8950087736401	104	162	ion channel regulator activity	87.9506172839506	1.25072126487075e-06
GO:0016773	2.46260802200493e-08	1.43980292003891	405.715051666992	488	954	phosphotransferase activity, alcohol group as acceptor	11.9003203987184	1.4958063541067e-06
GO:0001664	2.84682798131896e-08	1.81728154632118	146.720852017937	197	345	G protein-coupled receptor binding	36.7336105860113	1.69774468704113e-06
GO:0099094	2.97451763414685e-08	2.20411562794454	84.6302885552739	123	199	ligand-gated cation channel activity	68.9341683290826	1.74221747142887e-06
GO:0004879	3.43087456608548e-08	3.80191486907371	32.3211152271398	56	76	nuclear receptor activity	215.17728531856	1.9402187201311e-06
GO:0098531	3.43087456608548e-08	3.80191486907371	32.3211152271398	56	76	ligand-activated transcription factor activity	215.17728531856	1.9402187201311e-06
GO:0016301	5.91226569906454e-08	1.39363936900558	464.828670306103	550	1093	kinase activity	10.2178129308274	3.28681889710707e-06
GO:0015081	7.01613314080281e-08	1.98346449240401	105.46890232014	147	248	sodium ion transmembrane transporter activity	53.0456230489074	3.8354861169722e-06
GO:0017016	7.69988263096552e-08	1.60350730393981	219.868639110938	279	517	Ras GTPase binding	23.1664078955737	4.14026475894539e-06
GO:0043168	9.14011309328454e-08	1.21047435959204	1579.90714564243	1723	3715	anion binding	2.77078752067298	4.73604246121887e-06
GO:0017022	9.23674889686421e-08	2.79146159687263	48.0563950087736	76	113	myosin binding	132.096796930065	4.73604246121887e-06
GO:0043178	9.24105846091486e-08	2.52124585070249	58.2630629752388	89	137	alcohol binding	105.240875912409	4.73604246121887e-06
GO:0140110	1.32858417739056e-07	1.27209224796782	880.325112107623	991	2070	transcription regulator activity	5.13296786389414	6.70424015667853e-06
GO:1990837	1.60280725087889e-07	1.34054587708059	562.217293819458	652	1322	sequence-specific double-stranded DNA binding	8.27980802021418	7.96546633770114e-06
GO:0005267	1.73748137554587e-07	2.16592635235472	78.2511210762332	113	184	potassium channel activity	74.0761460302457	8.50587897282158e-06
GO:0051015	1.89708571790947e-07	1.79499611101169	133.962517059856	179	315	actin filament binding	40.0375510204082	9.15064875697508e-06
GO:0050839	2.15116132017056e-07	1.4196478799875	376.370881263404	450	885	cell adhesion molecule binding	12.7515081873025	1.02258103335644e-05
GO:0022843	2.72461489407674e-07	1.92859334873128	103.767790992396	143	244	voltage-gated cation channel activity	53.3079481322225	1.27667669322453e-05
GO:0017046	2.94122671916239e-07	2.94251347190146	40.4013940339247	65	95	peptide hormone binding	159.845983379501	1.35876389279615e-05
GO:0030165	7.11203786296623e-07	2.27396354369597	62.5158412945993	92	147	PDZ domain binding	94.4906289046231	3.23992835979573e-05
GO:0016791	8.50467618129475e-07	1.68313992313057	150.123074673426	195	353	phosphatase activity	34.7312794420949	3.82127916091052e-05
GO:0003707	8.93794921993552e-07	2.96636493405476	36.5738935465003	59	86	steroid hormone receptor activity	177.047863710114	3.96168560018763e-05
GO:0031690	9.35409403981507e-07	6.00256334417825	16.1605576135699	31	38	adrenergic receptor binding	476.463988919668	4.09085712674579e-05
GO:0005319	1.11463805084735e-06	2.06888773747277	76.1247319165529	108	179	lipid transporter activity	74.8089010954714	4.8105431668149e-05
GO:0016247	1.80968748153605e-06	1.96496798843453	84.2050107233379	117	198	channel regulator activity	66.2355371900826	7.70879862264705e-05
GO:0005231	2.21650087327541e-06	3.3556361519147	28.0683369077793	47	66	excitatory extracellular ligand-gated ion channel activity	239.46694214876	9.20738120883717e-05
GO:0004888	2.21763144968944e-06	1.29203479049133	597.090076038214	680	1404	transmembrane signaling receptor activity	7.65614727153189	9.20738120883717e-05
GO:0017124	2.3208772798145e-06	2.02085589592842	76.1247319165529	107	179	SH3 domain binding	74.1162260853282	9.51559684723946e-05
GO:0097367	2.53708342550018e-06	1.20308062112398	1230.75404562293	1344	2894	carbohydrate derivative binding	3.56153975840203	0.000102736217723958
GO:0042277	2.96114741604348e-06	1.57831485522058	175.214466757653	221	412	peptide binding	28.8957135451032	0.000118445896641739
GO:0015108	4.19185246589167e-06	2.06000630215577	68.469730941704	97	161	chloride transmembrane transporter activity	83.0530457929864	0.000165653928772586
GO:0008134	5.87476914773298e-06	1.34904617995972	389.129216221486	454	915	transcription factor binding	12.0350873421123	0.000227040302645228
GO:0045296	5.88366637952572e-06	1.4697472860213	231.351140573211	282	544	cadherin binding	21.1488565095156	0.000227040302645228
GO:0005253	6.32737961328961e-06	2.20041878759833	55.7113959836225	81	131	anion channel activity	104.755783462502	0.000241323315483604
GO:0043565	6.53953180399948e-06	1.25601780695982	688.950087736401	773	1620	sequence-specific DNA binding	6.5370987654321	0.000246547865714003
GO:0005249	7.27270219706182e-06	2.12418524871355	59.964174302983	86	141	voltage-gated potassium channel activity	96.0054323223178	0.00027107344552685
GO:0003690	8.62538138186047e-06	1.26886944316042	607.722021836615	686	1429	double-stranded DNA binding	7.4558169987772	0.000317879223960701
GO:0008066	9.38278400064629e-06	3.52493667971448	22.9650029245467	39	54	glutamate receptor activity	296.833333333333	0.000341950350245776
GO:0005096	1.0768944815402e-05	1.58806214756272	150.123074673426	190	353	GTPase activator activity	33.8407338153745	0.000388155373566137
GO:0005518	1.21174021443027e-05	2.21381000251319	51.458617664262	75	121	collagen binding	113.691004712793	0.000432011728622967
GO:0031683	1.25849947172618e-05	5.22563479289163	14.4594462858257	27	34	G-protein beta/gamma-subunit complex binding	518.371972318339	0.000443857878200202
GO:0022839	1.31656839910579e-05	3.2699352426369	24.6661142522909	41	58	ion gated channel activity	270.497621878716	0.000459398335007128
