GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	enrichment	padj
GO:0098772	1.05025436901448e-11	2.08851312301959	84.4257372654155	143	4114	molecular function regulator	8.44904187865096e-06	9.74636054445435e-09
GO:0140110	2.29402892406472e-11	2.41491137959352	42.4796490372898	88	2070	transcription regulator activity	2.05372354080609e-05	1.06442942076603e-08
GO:0000981	1.18749881268942e-10	2.66369060590476	27.7862052156958	65	1354	DNA-binding transcription factor activity, RNA polymerase II-specific	3.54548806643263e-05	3.67332966058593e-08
GO:0003700	5.56446358386975e-10	2.45265518845975	32.9576407506702	71	1606	DNA-binding transcription factor activity	2.75275314085256e-05	8.90333967956593e-08
GO:0000976	6.04549551785199e-10	2.62826851091025	26.2265659273702	61	1278	transcription regulatory region sequence-specific DNA binding	3.73480668395699e-05	8.90333967956593e-08
GO:0001067	6.42527513635698e-10	2.62367833378908	26.2676090665367	61	1280	regulatory region nucleic acid binding	3.72314453125e-05	8.90333967956593e-08
GO:1990837	7.37782641126528e-10	2.59245580352684	27.0269071411163	62	1317	sequence-specific double-stranded DNA binding	3.57453982123842e-05	8.90333967956593e-08
GO:0043565	7.67529282721201e-10	2.43205651491366	33.203899585669	71	1618	sequence-specific DNA binding	2.71207261937321e-05	8.90333967956593e-08
GO:0008134	2.58023996313862e-09	2.85380854754771	18.7772361686571	48	915	transcription factor binding	5.73322583534892e-05	2.41406411660027e-07
GO:0003690	2.60136219461236e-09	2.46363783958191	29.2842797952718	64	1427	double-stranded DNA binding	3.14291060039905e-05	2.41406411660027e-07
GO:0000977	1.24363277274022e-08	2.52193046085401	24.3180599561297	55	1185	RNA polymerase II transcription regulatory region sequence-specific DNA binding	3.91675123288647e-05	1.04917383009357e-06
GO:0000987	1.4004280238956e-08	2.75348735900428	18.5309773336583	46	903	cis-regulatory region sequence-specific DNA binding	5.64134072594244e-05	1.08299767181259e-06
GO:0000978	2.10218094414082e-07	2.6047622112105	17.6895929807458	42	862	RNA polymerase II cis-regulatory region sequence-specific DNA binding	5.65242435172076e-05	1.5006337816636e-05
GO:0001228	2.31948870477787e-07	2.91957969617333	12.7438947111869	34	621	DNA-binding transcription activator activity, RNA polymerase II-specific	8.81648994790492e-05	1.53748965573847e-05
GO:0001216	2.5942268911221e-07	2.90428765383436	12.8054594199366	34	624	DNA-binding transcription activator activity	8.7319197896121e-05	1.60496170330754e-05
GO:0003677	4.06690933087582e-07	1.85164270541615	60.0666341701194	98	2927	DNA binding	1.14388043227942e-05	2.35880741190797e-05
GO:0003712	2.97505950284233e-06	2.5422669142532	14.9191810870095	35	727	transcription coregulator activity	6.62215318364744e-05	0.000162403248155158
GO:0140297	8.30232727618416e-06	2.77064733895023	10.5070436266147	27	512	DNA-binding transcription factor binding	0.000102996826171875	0.000428031095127717
