m.z	class	FattyAcid	nfur.D1m.1	nfur.D1m.2	nfur.D1m.3	nfur.D1m.4	nfur.NonD.2	nfur.NonD.3	nfur.NonD.4	pvalue	padj	FC
679.4583	PG	(15:0/14:0)	0.00782902431134365	0.00931271624541413	0.0142113689445222	0.0133243491524278	0.00253620878098634	0.00244366959709797	0.0022991267626916	0.0107645214845053	0.0164521587227723	2.20269643696883
865.5047	PG	(22:6/22:6)	0.00399570917398018	0.00426754052453618	0.00590068590860595	0.00423917374356292	0.00454073048844719	0.00459060450071898	0.00463827465937768	0.981704449063045	0.983987482665517	0.00342438089350849
867.5178	PG	(22:5/22:6)	0.000438165384850113	0.000490356409605814	0.00100692884086542	0.000484153664799497	0.000815013805274168	0.000901597927922248	0.000952307644359524	0.122033587983078	0.145294133758857	-0.556522094872636
791.5844	PG	(18:0/19:0)	0.459873952984089	0.482506399667077	0.519209056526197	0.422726937173784	0.121572449129661	0.126616377977811	0.131644940596361	0.000359286830615952	0.00151150353516796	1.89556361753449
775.5514	PG	(18:0/18:1)	0.00977608240486075	0.00974570567860397	0.00959794782237954	0.0100947517933563	0.0094325165759714	0.0115273937124324	0.0112882392947673	0.288135050571728	0.313601532314179	-0.132867126469044
867.543	PI	(16:0e/22:6)	0.0103677480412354	0.0100156760287462	0.0115759715504738	0.00989600384354834	0.0244463617346935	0.0202075471794445	0.0219278663464967	0.00653700730360237	0.0110056646400493	-1.08475109015701
881.5194	PI	(16:0/22:6)	0.0280123657126303	0.0306979669239583	0.0196053149080667	0.0315058274540054	0.173376671908287	0.175641122927269	0.188495838186386	4.7804051099539e-05	0.000490560619616698	-2.70617865250642
885.549	PI	(18:0/20:4)	0.656715223471664	0.710615106297529	0.783798637272303	0.701451818149459	0.281229464743996	0.296513063712951	0.309326715644327	0.000236174417752137	0.00125668116112557	1.27011161503199
861.5501	PI	(18:1/18:1)	0.00922057376061422	0.0110835907669938	0.00837289145331301	0.0136295134168023	0.0285958514901407	0.0229630508917989	0.0262109201393839	0.00176403426915351	0.00409989211579611	-1.29336624211689
955.5359	PI	(22:5/22:6)	3.89480094463937e-05	6.57417604081068e-05	3.63724133902309e-05	0.000149806744378138	0.00150546448964579	0.00168192222263262	0.00181666341185553	0.0016343784196024	0.00387042362004744	-4.51969264754024
889.5779	PI	(20:1/18:1)	0.00337261559143478	0.00348866424591687	0.00355966686648661	0.0029618541983711	0.00172459758980282	0.00143333407308308	0.00176574715804824	0.000169033269978721	0.00107064561984417	1.027534030841
