"","FattyAcid","D1m_PreD.padj","D1m_PreD.FC","D1m_NonD.padj","D1m_NonD.FC","D1m_Dexit.padj","D1m_Dexit.FC","D1m_D6d.padj","D1m_D6d.FC","D6d_PreD.padj","D6d_PreD.FC","D6d_NonD.padj","D6d_NonD.FC","D6d_Dexit.padj","D6d_Dexit.FC","NonD_PreD.padj","NonD_PreD.FC","NonD_Dexit.padj","NonD_Dexit.FC","PreDY_Dexit.padj","PreDY_Dexit.FC","NfurY_NfurO.padj","NfurY_NfurO.FC","Nfur_Ast.padj","Nfur_Ast.FC","D6d.mean.FC","D1m.mean.FC"
"Cer(d18:1/24:0)","Cer(d18:1/24:0)",0.0701135496437427,-0.377295474920774,0.284395825321818,0.210902707703784,0.113671374460289,0.330587719786393,0.0550911345130969,-0.445392213877033,0.611958796041667,0.0680967389562581,0.023107475332726,0.656294921580817,0.00492106724783094,0.775979933663426,0.0641836573380523,-0.588198182624558,0.657214091608613,0.119685012082609,0.0246315672720038,0.707883194707168,0.106526341636865,-0.59647929564958,0.0157120669152975,0.687406883356867,0.362195830268538,-0.083196383608495
"Cer(d18:1/24:1)","Cer(d18:1/24:1)",0.0258125957358432,-0.899192161809782,0.0179388923414468,-1.93232282354209,0.000104556028035962,-1.42175767678609,0.0286493145559126,-0.433674466181103,0.0819070069684457,-0.46551769562868,0.0302764772558606,-1.49864835736099,0.000195217507951477,-0.988083210604986,0.0652332812466158,1.03313066173231,0.150752023048097,0.510565146756,0.041445519474407,-0.522565514976307,0.943254094139524,0.0136059624852828,0.0035355795428691,-1.02969896563259,-0.982083026494835,-1.41575749267594
"Cer(d18:1/26:0)","Cer(d18:1/26:0)",0.0216562973186958,-0.618588023149428,0.256964215252088,0.274410441909036,0.121156374678404,0.365383367903349,0.00635651860915528,-0.858911332365241,0.148126572405287,0.240323309215813,0.00477561172565614,1.13332177427428,0.000867844086713477,1.22429470026859,0.0540664618054278,-0.892998465058464,0.823213434608285,0.0909729259943134,0.0185730759031171,0.983971391052777,0.308080478858005,-0.34542217363472,0.0093663101729339,1.21256474298635,0.686822541745047,-0.172088790620196
"Cer(d19:0/18:0)","Cer(d19:0/18:0)",0.934254002072171,0.0339321939863308,0.00117158287336665,1.71421533692752,0.000521507542167925,2.07832868612625,0.568400202323689,0.273242363332101,0.672987578428334,-0.23931016934577,0.0983476351671826,1.44097297359542,0.0777814589708989,1.80508632279415,0.0969406487066927,-1.68028314294119,0.414550997274111,0.364113349198732,0.0614360141154093,2.04439649213992,0.908860737302196,-0.0688852622689052,0.113004260135893,-1.00268196256242,0.600831402124825,0.874073765456925
"Cer(d22:0/16:0)","Cer(d22:0/16:0)",0.345068689767054,0.251105368330283,0.000731285101799557,1.75626254554982,0.000167679915137171,1.97059540215034,0.942407911015461,-0.017024484192983,0.465105195124909,0.268129852523266,0.0206346314540288,1.77328702974281,0.01472707084512,1.98761988634333,0.0641836573380523,-1.50515717721954,0.640113343825375,0.214332856600521,0.0410536797080168,1.71949003382006,0.339994548647189,-0.978156562564927,0.123454270296822,-0.909820613011719,1.02070844113304,1.00368395694005
"Cer(d22:0/18:0)","Cer(d22:0/18:0)",0.886004721593739,-0.0619594052457452,0.00430174893089898,1.52654843197931,0.00346494475115955,1.90041492433062,0.941361376164245,-0.0246664094041904,0.933358333916921,-0.0372929958415549,0.0424562331406168,1.5512148413835,0.0328008919131796,1.92508133373481,0.0854437434242231,-1.58850783722506,0.443391349526801,0.373866492351306,0.0614360141154093,1.96237432957636,0.720424050844387,-0.298599456950986,0.265798119630968,-0.977935682804257,0.756960922770973,0.732294513366782
"Cer(d22:0/20:3)","Cer(d22:0/20:3)",0.964716048300612,0.0161412412936587,0.0109143157843533,1.34479457732416,0.00626496254956996,1.83233217935826,0.411504463366702,0.491848302375422,0.419603296605058,-0.475707061081764,0.169304853264997,0.85294627494874,0.0944514407811838,1.34048387698284,0.115147245088706,-1.3286533360305,0.443391349526801,0.4875376020341,0.0898504907896619,1.8161909380646,0.84233401649255,-0.231249278244076,0.1332177926721,-2.15670215294932,0.188619606933488,0.680467909308909
"Cer(t17:0/25:0)","Cer(t17:0/25:0)",0.732118739307255,0.152719181013981,0.00823931511336208,1.36564253100068,0.00607783412079729,1.94600498211992,0.0527072861303007,-0.557811933243748,0.0858395048399458,0.710531114257729,0.00104628913614927,1.92345446424443,0.000718858429660942,2.50381691536366,0.125461976737314,-1.2129233499867,0.206342622624984,0.580362451119236,0.097447244995488,1.79328580110593,0.513779470700796,-0.25333677386853,0.100315110298269,1.11681727387953,1.31699278925108,0.75918085600733
"Cer(t18:0/14:0+O)","Cer(t18:0/14:0+O)",0.890380072220153,-0.0551442843233747,0.0032318830579317,0.943546965237088,0.000123832538843547,1.3571086913456,0.0290074559656814,-0.332434408085221,0.413730471308047,0.277290123761846,0.000726745210875062,1.27598137332231,0.000205478473468489,1.68954309943083,0.122759667835239,-0.998691249560463,0.100462407766254,0.413561726108517,0.0926014365005097,1.41225297566898,0.0913773476911412,-1.20519441262796,0.399781450932292,-0.257756880190248,0.776635748542078,0.444201340456857
"Cer(t18:0/22:0)","Cer(t18:0/22:0)",0.278155466370388,0.339856228044036,0.0115561999935294,2.07931922717007,0.00909964970550656,2.29135307457859,0.892831392786268,-0.0465166260510766,0.25826558569368,0.386372854095113,0.0197204780621052,2.12583585322114,0.015232544983746,2.33786970062966,0.0287954368663604,-1.73946299912603,0.567875931336317,0.212033847408519,0.0065696701731336,1.95149684653455,0.189678801547196,-0.958953368948391,0.628191268347345,-0.226815554446062,1.25610435365813,1.20958772760705
"Cer(t18:0/26:0)","Cer(t18:0/26:0)",0.718333018562208,-0.300922568017567,0.00217834989640065,1.65016042361632,0.000499800433555234,1.99594378711865,0.0094621242399085,-0.596531644310357,0.657341591759874,0.29560907629279,0.00128837158116883,2.24669206792668,9.43025969229341e-05,2.592475431429,0.191661405082534,-1.95108299163389,0.550585544560626,0.345783363502329,0.166576184856901,2.29686635513621,0.716082638576879,-0.244922852723147,0.420456719100674,0.649468249214518,1.27115057210974,0.674618927799377
"ChE(20:5)","ChE(20:5)",0.267547982222366,-1.53856941056526,0.170368536487408,-0.917012143253038,0.0685786020892994,-1.3836286365124,0.486766606797863,-1.24249586497033,0.791506410227575,-0.296073545594926,0.690761722671801,0.325483721717292,0.844069559758804,-0.141132771542072,0.512640120771004,-0.621557267312218,0.443391349526801,-0.466616493259364,0.842205464030747,0.154940774052854,0.466557533051857,-2.13490250174903,0.122247518713544,3.90625668838879,0.014705088061183,-1.22779077690915
"ChE(22:6)","ChE(22:6)",0.964707622486708,-0.0415145125051943,0.150530359663762,-0.815865079462318,0.0828896193613432,-1.3392157453751,0.297558162726237,-0.97255526577741,0.186541522600996,0.931040753272216,0.665019056613409,0.156690186315092,0.46405399451366,-0.366660479597694,0.158831143325427,0.774350566957124,0.404872014486239,-0.523350665912786,0.128473454075596,-1.29770123286991,0.39743624511578,-2.8453637435238,0.462801847800119,0.48949830620998,0.543865469793654,-0.428689795983756
"DG(14:0/22:6)","DG(14:0/22:6)",0.143935181881475,1.08190542361317,0.00527081416511423,-2.51535691347991,0.00394306758230941,-1.9743761062592,0.0222207117048832,-1.24699732117143,0.0030546145726184,2.3289027447846,0.0180382647042473,-1.26835959230847,0.0402441958306014,-0.727378785087772,0.0465764717741743,3.59726233709307,0.0960774207097505,0.540980807220703,0.0179745380550947,-3.05628152987237,0.345969466614036,-1.70312964422061,0.0946267035191644,3.49840176729697,0.530271576238065,-0.71672574493337
"DG(16:0/16:0)","DG(16:0/16:0)",0.777831202334519,0.0878064547245417,0.00675751082689301,1.5808186609762,0.00211204223721884,1.58925471560902,0.486766606797863,0.221219668556401,0.678701259055358,-0.13341321383186,0.0179484085743594,1.3595989924198,0.00737539440420852,1.36803504705262,0.0737959965186697,-1.49301220625166,0.982937521068875,0.00843605463282113,0.043888275679699,1.50144826088448,0.297357218971954,-1.51321448725755,0.0643837771603574,-0.938067860473795,0.61309288929397,0.834312557850371
"DG(16:0/16:1)","DG(16:0/16:1)",0.351179250618529,-0.325023167772166,0.00289121471323829,-0.577048283719927,0.116185969287385,-0.354750392285988,0.147715512580521,-0.366386210549461,0.89582175235401,0.0413630427772954,0.148004528366972,-0.210662073170466,0.950424841595924,0.0116358182634737,0.359428600230098,0.252025115947761,0.299185283142064,0.222297891433939,0.917840469060206,-0.029727224513822,0.0835289803457326,-1.05307786820074,0.201373903994176,-0.340368864916135,-0.0846495151965853,-0.451035725746047
"DG(16:0/18:1)","DG(16:0/18:1)",0.10499668878703,-0.501102264898577,0.00568992163125705,-0.50446504485302,0.14885885969053,-0.255010956675765,0.0386307726911666,-0.491347695640937,0.967236567984813,-0.00975456925764025,0.894256041225166,-0.0131173492120837,0.143264675299552,0.236336738965172,0.985683296246736,0.0033627799544434,0.1741689020746,0.249454088177256,0.317384531892368,0.246091308222812,0.0766709191625509,-0.858803659923263,0.122272371086508,-0.394349940523334,-0.011435959234862,-0.502783654875798
"DG(18:0/16:0)","DG(18:0/16:0)",0.769651689053465,0.0817243974320948,0.00148439184100187,1.47728068757939,0.000401798703853992,1.86570359808084,0.564575411137657,-0.256201818702869,0.459094324204517,0.337926216134963,0.0476463863368606,1.73348250628225,0.036007944615212,2.12190541678371,0.0641836573380523,-1.39555629014729,0.370371159612017,0.388422910501452,0.0370105733541429,1.78397920064874,0.305659854146477,-1.3695858874743,0.0746289001504704,-1.16442339618043,1.03570436120861,0.779502542505742
"DG(18:0/18:0)","DG(18:0/18:0)",0.865422772707418,-0.0538618936997752,0.0016432080148487,1.37929843753447,0.000617275373812732,1.80002902174391,0.486766606797863,-0.303636540362846,0.51188914089998,0.249774646663071,0.0285780125515847,1.68293497789731,0.0209951629641683,2.10366556210675,0.0641836573380523,-1.43316033123424,0.279843490687595,0.420730584209437,0.0410536797080168,1.85389091544368,0.317911955311126,-1.15277396463509,0.0938660497776641,-1.09158369283558,0.96635481228019,0.662718271917347
"DG(18:0/18:1)","DG(18:0/18:1)",0.914028327994616,-0.0350272631216278,0.00528927357208419,0.676113780310132,0.00768520555314189,0.663528177072708,0.827848357122478,-0.0311528101767691,0.987754254134856,-0.0038744529448586,0.00637644566762961,0.707266590486901,0.0091794921472675,0.694680987249477,0.119640849242815,-0.711141043431759,0.96612554105815,-0.0125856032374232,0.11515739084306,0.698555440194336,0.288674051470829,-0.857051811039231,0.059539666290632,-0.909763564260562,0.351696068771021,0.320543258594252
"DG(18:0/19:0)","DG(18:0/19:0)",0.70562742510068,-0.114402958361138,0.00142624193349873,1.26841221904494,0.000215625667111895,1.66747088318117,0.326790238394565,-0.324121021641829,0.514610267032605,0.20971806328069,0.0119454804960183,1.59253324068677,0.00925604730975437,1.991591904823,0.0727156662970902,-1.38281517740608,0.264005939881566,0.399058664136228,0.0440616039351626,1.78187384154231,0.345900540363108,-0.970253847036362,0.117574761237439,-0.834178837997604,0.90112565198373,0.577004630341901
"DG(18:0/20:0)","DG(18:0/20:0)",0.565171933475572,-0.182298621146889,0.00196675936419696,1.32777754027377,0.00082252418206544,1.72420722135527,0.206223032553132,-0.388982776802287,0.516735978285154,0.206684155655398,0.00776894260526945,1.71676031707606,0.0058520519630204,2.11318999815756,0.0759057329739488,-1.51007616142066,0.277061290173382,0.396429681081502,0.046612525487605,1.90650584250216,0.316836204287511,-1.00637522704952,0.206011667543123,-0.633697168782277,0.961722236365729,0.572739459563441
"DG(18:0/20:4)","DG(18:0/20:4)",0.0242902445835653,1.5985118525621,0.568333142351815,-0.135381408506832,0.00861182055946592,-0.838437882198997,0.689111660400083,-0.111148362649904,0.00199035930082044,1.70966021521201,0.831570274544414,-0.0242330458569272,0.000951084040079371,-0.727289519549093,0.0287954368663604,1.73389326106894,0.0185188358809234,-0.703056473692166,0.000377596698736349,-2.4369497347611,0.0468576134431428,-1.14769880600456,0.982325739155219,0.0081736463088675,0.842713584677541,0.731565222027634
"DG(18:0/22:0)","DG(18:0/22:0)",0.535588432264634,-0.200914242574632,0.00320878762794653,1.26586822627261,0.00124393693007827,1.64799069217857,0.202312022374599,-0.42512923184509,0.495998203601184,0.224214989270457,0.00985083454133778,1.6909974581177,0.00627048963945626,2.07311992402366,0.0760237397103474,-1.46678246884724,0.294822289471025,0.382122465905957,0.0447513467428125,1.8489049347532,0.339994548647189,-0.883886910813478,0.288260335811106,-0.537316249821547,0.957606223694079,0.532476991848989
"DG(18:0/22:6)","DG(18:0/22:6)",0.964716048300612,0.00786399244743516,0.00430174893089898,-0.816698860725169,0.00083933119984896,-0.987058627572028,0.0212172799974619,-0.723579204861145,0.00210441486402716,0.73144319730858,0.153532371010654,-0.0931196558640234,0.0404003183610417,-0.263479422710883,0.0210851345790048,0.824562853172604,0.170225100431843,-0.17035976684686,0.00534787038381629,-0.994922620019464,0.0468576134431428,-1.28911468231814,0.105509066147216,-0.323598724508817,0.319161770722278,-0.404417434138867
"DG(18:1/18:1)","DG(18:1/18:1)",0.515359614794047,-0.151922800141764,0.112023327858221,-0.37894538524843,0.174219413426145,-0.310337616995072,0.0558680640951121,-0.492983394931979,0.0798708703306009,0.341060594790215,0.46691487550719,0.114038009683549,0.282345494691719,0.182645777936907,0.319112411599195,0.227022585106666,0.823213434608285,0.0686077682533584,0.488352194740554,-0.158414816853307,0.0466552535573925,-0.838493172686053,0.127094031991982,0.356342676335461,0.227549302236882,-0.265434092695097
"DG(18:1/18:2)","DG(18:1/18:2)",0.349597999173463,-0.29541430111665,0.18306099638886,-0.378635749805183,0.161817760273789,-0.371185345239025,0.0550911345130969,-0.564845405308468,0.294380926933768,0.269431104191819,0.370992855361524,0.186209655503286,0.331191626282745,0.193660060069443,0.789388954539109,0.0832214486885332,0.985672048795315,0.00745040456615773,0.786595483683059,-0.0757710441223755,0.0804459620444216,-0.771029096545492,0.227468951856263,0.338475190017875,0.227820379847552,-0.337025025460917
"DG(18:1/22:6)","DG(18:1/22:6)",0.2188323724762,0.251138437047562,0.00323368383376162,-0.923342407518608,0.00517796064959623,-0.721690211468554,0.0133547614115482,-0.707316246155077,0.00139839821052219,0.958454683202639,0.112341134314469,-0.216026161363531,0.896486804706072,-0.014373965313477,0.0576157801410734,1.17448084456617,0.24593844246483,0.201652196050054,0.0233433799546244,-0.972828648516116,0.0798660009916094,-1.22140223805111,0.113331283176397,0.21885308711562,0.371214260919554,-0.336101985235523
"Hex1Cer(d15:0/22:6)","Hex1Cer(d15:0/22:6)",0.964707622486708,-0.0115600076199385,0.0126315246779467,0.97713019897255,0.00805041924796874,1.24631394762514,0.82324885958507,-0.0519952152450886,0.873692624148449,0.04043520762515,0.00520871935693914,1.02912541421764,0.00302162764547442,1.29830916287023,0.0685113891179776,-0.988690206592488,0.27901557140732,0.269183748652587,0.0410536797080168,1.25787395524508,0.263480663334566,-1.26587435707532,0.0494355129241745,-0.881054676980643,0.534780310921395,0.482785095676306
"Hex1Cer(d15:1/22:6)","Hex1Cer(d15:1/22:6)",0.581691465041825,-0.202360767934659,0.0829195230583525,0.850749015333779,0.0471608583315429,1.19207813512017,0.617364218897171,-0.164367631728239,0.876240655565203,-0.0379931362064201,0.00242722111311995,1.01511664706202,0.000205478473468489,1.35644576684841,0.0691127206239786,-1.05310978326844,0.189965974720554,0.341329119786392,0.0410536797080168,1.39443890305483,0.288674051470829,-1.28520098874746,0.0682334054499356,-0.837611878388726,0.4885617554278,0.32419412369956
"Hex1Cer(d18:1/14:0)","Hex1Cer(d18:1/14:0)",0.0304416965953924,-1.51687023659161,0.03382927929355,-5.20072543317236,0.0017058116828901,-5.10088719828043,0.00498801912958285,-1.50559190950652,0.969318666526065,-0.011278327085085,0.0515265208371113,-3.69513352366584,0.0033420241044178,-3.5952952887739,0.10064932384843,3.68385519658075,0.826254947530627,0.0998382348919328,0.0103169394003321,-3.58401696168882,0.667131638679969,0.235439943312963,0.0112892144488205,-0.948299398805048,-1.85320592537546,-3.35879783488198
