class	nfur.NonD.2	nfur.NonD.3	nfur.NonD.4	nfur.Dexit.1	nfur.Dexit.2	nfur.Dexit.3	nfur.Dexit.4	pvalue	padj	FC
PG_LongChainFA	0.267082348973237	0.281174882574683	0.29046461330764	0.246751155935974	0.32578227624829	0.175123935491212	0.307969652287502	0.680717631637207	0.814557752216673	0.0832016528765754
PG_MUFA	0.0094325165759714	0.0115273937124324	0.0112882392947673	0.0116739604925857	0.0133358882797606	0.0110973713419183	0.0127152773270635	0.153628975299206	0.34340594478646	-0.183292216356007
PG_PUFA	0.0107114885874427	0.0109844048572825	0.0111811646074744	0.00888865092738747	0.00934906659990255	0.00885078623061032	0.00920133201979797	0.000254177866990551	0.00907926006904031	0.272553178746495
PG_PUFA_5	0.000815013805274168	0.000901597927922248	0.000952307644359524	0.000796383336453776	0.000813690329697135	0.000898228729148422	0.000835060563174566	0.320047092873315	0.472345191819586	0.0899932409107658
PG_PUFA_6	0.00989647478216855	0.0100828069293602	0.0102288569631149	0.0080922675909337	0.00853537627020541	0.0079525575014619	0.00836627145662341	0.000103863358901674	0.00907926006904031	0.289850770424365
PG_SFA	0.257649832397266	0.26964748886225	0.279176374012873	0.235077195443388	0.312446387968529	0.164026564149294	0.295254374960439	0.648753284936131	0.782623010399142	0.0949532800514296
PG_VeryLongChainFA	0.0107114885874427	0.0109844048572825	0.0111811646074744	0.00888865092738747	0.00934906659990255	0.00885078623061032	0.00920133201979797	0.000254177866990551	0.00907926006904031	0.272553178746495
PE_EtherLinked	1.63511397233456	1.82140886762825	1.83891593168147	1.50288939017909	1.57709903840699	1.52039834032288	1.5644763538443	0.0663782316354566	0.219336765404117	0.195718864759689
PE_LongChainFA	7.21939280258825	7.5449476039938	7.68393017138548	6.43315094933143	6.72480297820794	6.22761878382048	6.81317666548872	0.00535528129025915	0.0407001378059695	0.192143857898242
PE_MUFA	2.0285942123017	1.96676785548388	2.04606829616719	1.65246083524612	1.67149970108348	1.52511023959506	1.71457780105222	0.000757677642208818	0.0167498894436719	0.295429662663881
PE_MediumChainFA	0.00161353755060193	0.00159191499316415	0.00197686084424134	0.00198819735887964	0.00273080189004839	0.00175381271288312	0.00229505832354934	0.121475100045448	0.311495310569454	-0.343592693803742
PE_PUFA	6.3734886215862	6.73250248759699	6.86804987261157	5.62432570173246	5.79618762989396	5.50326711838056	5.88638753057021	0.00848522375048821	0.0500976730207608	0.223486664540883
PE_PUFA_2	0.334523345863383	0.350003247341579	0.360606043524453	0.346088777580175	0.330995459844527	0.328859095127891	0.332406970211761	0.202204377397689	0.404408754795379	0.0582677645839386
PE_PUFA_3	0.10382407033759	0.0557604853073823	0.0615803964269423	0.0774759161017779	0.066392811869188	0.0698084721926727	0.0682153782385213	0.851039774249059	0.904601718082916	0.0650147841240369
PE_PUFA_4	0.16229935404946	0.161156953877355	0.158535280237851	0.199501337840213	0.2122091276419	0.194992595609768	0.216165704471084	0.00220056917740074	0.0304078649968102	-0.356616894469251
