class	nfur.D1m.1	nfur.D1m.2	nfur.D1m.3	nfur.D1m.4	nfur.NonD.2	nfur.NonD.3	nfur.NonD.4	pvalue	padj	FC
PG_LongChainFA	0.954958119400587	1.00312964318219	1.0860367465862	0.892292076239136	0.267082348973237	0.281174882574683	0.29046461330764	0.000322705999428436	0.00167139042244893	1.81558107060426
PG_MUFA	0.00977608240486075	0.00974570567860397	0.00959794782237954	0.0100947517933563	0.0094325165759714	0.0115273937124324	0.0112882392947673	0.288135050571728	0.317366142658715	-0.132867126469044
PG_PUFA	0.00886774911766059	0.00951579386828399	0.0138152294989427	0.00944665481672484	0.0107114885874427	0.0109844048572825	0.0111811646074744	0.666134623474802	0.684138261947094	-0.0739606116384592
PG_PUFA_5	0.000438165384850113	0.000490356409605814	0.00100692884086542	0.000484153664799497	0.000815013805274168	0.000901597927922248	0.000952307644359524	0.122033587983078	0.152041847323179	-0.556522094872636
PG_PUFA_6	0.00842958373281047	0.00902543745867817	0.0128083006580773	0.00896250115192534	0.00989647478216855	0.0100828069293602	0.0102288569631149	0.811918721091932	0.811918721091932	-0.0381710751367613
PG_SFA	0.945182036995726	0.993383937503586	1.07643879876382	0.88219732444578	0.257649832397266	0.26964748886225	0.279176374012873	0.00033842899769699	0.00167139042244893	1.85770186526836
PG_VeryLongChainFA	0.00886774911766059	0.00951579386828399	0.0138152294989427	0.00944665481672484	0.0107114885874427	0.0109844048572825	0.0111811646074744	0.666134623474802	0.684138261947094	-0.0739606116384592
PE_EtherLinked	1.67906804834392	1.91216597846673	1.68752647627796	1.92578548123932	1.63511397233456	1.82140886762825	1.83891593168147	0.718774757663172	0.733246732649679	0.029119789721556
PE_LongChainFA	5.5602579565545	6.22159454342816	5.43572010247127	6.11584888529632	7.21939280258825	7.5449476039938	7.68393017138548	0.00108125767878864	0.00298820303956134	-0.359243930938391
PE_MUFA	1.03293270573048	1.12531265778166	1.03269786255488	1.09057594091422	2.0285942123017	1.96676785548388	2.04606829616719	1.9692098486975e-06	7.4829974250505e-05	-0.911804876568661
PE_MediumChainFA	0.00616317543109596	0.00664403879854025	0.00676125404926491	0.0064475389397505	0.00161353755060193	0.00159191499316415	0.00197686084424134	1.86451288007045e-06	7.4829974250505e-05	1.91269389675011
PE_PUFA	4.26619961442736	4.80059413081807	4.25298568125137	4.6884114886425	6.3734886215862	6.73250248759699	6.86804987261157	0.00018641453588528	0.00134928616450298	-0.564510478825788
PE_PUFA_2	0.248311770547086	0.261723627566829	0.287023574504363	0.255431169237258	0.334523345863383	0.350003247341579	0.360606043524453	0.000682481174084429	0.00230526974357407	-0.404916823819353
PE_PUFA_3	0.0309280849480243	0.0316965619329077	0.05442977698659	0.0346315615855703	0.10382407033759	0.0557604853073823	0.0615803964269423	0.128991988783537	0.154384112559824	-0.959072481118898
PE_PUFA_4	0.211812496034162	0.232028897836017	0.23051071349694	0.230193163832321	0.16229935404946	0.161156953877355	0.158535280237851	0.000539574939780699	0.0019527474011111	0.493147241794244
PE_PUFA_5	0.806282162520325	0.92281978704141	0.734486823276764	0.91485391448457	0.645908533813003	0.704931235859992	0.701644012509659	0.0313120374846209	0.0457637470929074	0.303950059327618
PE_PUFA_6	2.96886510037776	3.35232525644091	2.94653479298671	3.25330167950278	5.12693331752276	5.46065056521068	5.58568413991267	0.000185937686890982	0.00134928616450298	-0.784295842928698
PE_SFA	2.07547407744432	2.32173944822426	1.97970371313505	2.24509489972536	2.92444166854525	3.13845668388189	3.1882349006338	0.000555387888822182	0.00196323160699934	-0.516643010576369
PE_VeryLongChainFA	3.32418271916419	3.75765871584099	3.31784663752308	3.65800397035615	5.51458888143399	5.85781916265958	5.99970163774519	0.00018627251255239	0.00134928616450298	-0.720450710170726
LPC_LongChainFA	0.0638703771041914	0.073521533603699	0.0722873623657008	0.0719293745229711	0.031168740593044	0.0279797335908048	0.0300766969140921	7.23976720454017e-05	0.000687777884431316	1.24313146954422
LPC_MUFA	0.0277409853333141	0.0317765252371398	0.0303540070607419	0.0282572207291481	0.011235339326785	0.0111827161119121	0.0111893542802331	0.000291295463071398	0.00167139042244893	1.39847123026248
LPC_PUFA	0.00580686468566912	0.00646175693985591	0.00449931377934358	0.00774795436771599	0.00279864906021689	0.00359459292718718	0.00395814142102063	0.0213655628402445	0.0328036924415875	0.828856034769567
LPC_PUFA_2	0.00142830027483689	0.00134021141970134	0.00151693105859516	0.00154528784948169	0.000537882205783135	0.000531532852216808	0.000609844858172436	3.24967136968789e-05	0.000379961575532738	1.38081361997518
LPC_PUFA_5	0.000411378608724453	0.000460599866402972	0.000309904016458322	0.000514830662785279	0.000263611961161777	0.000357521796626686	0.000368319568742156	0.145935418694989	0.170160332080514	0.363001624113809
LPC_PUFA_6	0.00396718580210778	0.0046609456537516	0.0026724787042901	0.00568783585544902	0.00199715489327198	0.00270553827834369	0.00297997699410604	0.0707630939024235	0.093530350201464	0.729836669649821
