"","FattyAcid","D1m_PreD.pvalue","D1m_PreD.FC","D1m_NonD.pvalue","D1m_NonD.FC","D1m_Dexit.pvalue","D1m_Dexit.FC","D1m_D6d.pvalue","D1m_D6d.FC","D6d_PreD.pvalue","D6d_PreD.FC","D6d_NonD.pvalue","D6d_NonD.FC","D6d_Dexit.pvalue","D6d_Dexit.FC","NonD_PreD.pvalue","NonD_PreD.FC","NonD_Dexit.pvalue","NonD_Dexit.FC","PreDY_Dexit.pvalue","PreDY_Dexit.FC","NfurY_NfurO.pvalue","NfurY_NfurO.FC","Nfur_Ast.pvalue","Nfur_Ast.FC","D6d.mean.FC","D1m.mean.FC"
"ALL_DLinked","ALL_DLinked",0.326413981960253,0.218895010280308,5.14643584364547e-05,1.40727270247199,7.56448660749545e-06,1.62389232945778,0.835146450506228,0.0337904244779339,0.47434660241415,0.185104585802374,0.00584769034905767,1.37348227799406,0.00487146822960346,1.59010190497984,0.0229932520769592,-1.18837769219168,0.276983416506585,0.216619626985788,0.0176851162301727,1.40499731917747,0.386593956025525,-0.556274834711441,0.215920294356132,-0.785287634023215,0.779293431898217,0.813083856376149
"ALL_EtherLinked","ALL_EtherLinked",0.000619063369678086,0.709213933505268,0.283179616123956,0.0913451730582421,0.00184199484320234,0.240463041804855,0.435530988267194,-0.0549276438237422,0.000299931482217966,0.76414157732901,0.148587659160336,0.146272816881984,0.0129714558181492,0.295390685628597,0.00300838662887778,0.617868760447026,0.150110622285226,0.149117868746612,0.00742634926550343,-0.468750891700413,0.0221167663664421,-0.359115732896612,5.56142366722986e-05,-1.06303381503947,0.455207197105497,0.400279553281755
"ALL_LongChainFA","ALL_LongChainFA",0.256992423672041,0.1910847337197,0.00104131498639414,1.31690042123098,0.000152460369024665,1.37284579918328,0.618726325795379,0.0753817483695258,0.545944058771252,0.115702985350174,0.00575219721169533,1.24151867286146,0.00190602630144011,1.29746405081375,0.00923167455408735,-1.12581568751128,0.779552301603637,0.0559453779522931,0.00379191822807277,1.18176106546358,0.158268726786581,-0.983948812852109,0.0378696058127965,-0.957345576637176,0.678610829105817,0.75399257747534
"ALL_MediumChainFA","ALL_MediumChainFA",0.0847331735926792,-0.145369501415042,0.00274371913948164,-0.395251599635755,0.00366207352144624,-0.199332485130263,0.562004085466766,0.0865040088824432,0.162765044007438,-0.231873510297486,0.017862443618218,-0.481755608518198,0.100043448094763,-0.285836494012706,0.0130404676330874,0.249882098220713,0.0357746482497935,0.195919114505492,0.39991614689949,-0.0539629837152205,0.0158305467330031,0.357574267341098,8.35736310410505e-07,-1.09295082032347,-0.356814559407842,-0.270310550525399
"ALL_MUFA","ALL_MUFA",0.108467593033812,0.262706680165616,0.00191938750858296,1.01536466271394,0.000309452138416542,1.04988034813534,0.6849697498395,0.0567447526688541,0.253361131594229,0.205961927496762,0.00733545212149804,0.958619910045084,0.00287607117220729,0.993135595466485,0.0157778204010664,-0.752657982548322,0.794215216712349,0.0345156854214007,0.00805298596475934,0.787173667969723,0.0282304279248918,-1.20707846401226,0.0744077389920548,-0.581674864548359,0.582290918770923,0.639035671439778
"ALL_PUFA","ALL_PUFA",0.184892414496869,0.253014489706013,0.00435135519725591,1.22975996747578,0.00139459490564927,1.29979261822944,0.398301861665855,0.170539061019014,0.694368531446071,0.0824754286869993,0.0148926403737583,1.05922090645676,0.00811555818619646,1.12925355721043,0.00959066976360115,-0.976745477769764,0.70028534178784,0.0700326507536621,0.00404942415009501,1.04677812852343,0.140621831374429,-0.869661504229541,0.0441976959121334,-0.993545303526527,0.57084816757188,0.741387228590896
"ALL_SFA","ALL_SFA",0.352166187506763,0.153778184985459,0.000263841819920779,1.33967125630465,8.74427566436896e-05,1.4024941514177,0.870391298238949,0.0211375891352772,0.481768830501875,0.132640595850182,0.00355259080170737,1.31853366716938,0.000878072616370956,1.38135656228242,0.00978519769717393,-1.18589307131919,0.761755963029451,0.062822895113046,0.00423116230813556,1.24871596643224,0.178455318443278,-1.00895341017786,0.0339819519115888,-0.950226578593023,0.725587131509781,0.746724720645054
"ALL_ShortChainFA","ALL_ShortChainFA",0.435541410518602,0.221076760765293,0.080750811218005,-1.03993535608194,0.010338711195248,-0.791368052215857,0.00398674468223882,-1.12921479756153,0.002444420553912,1.35029155832682,0.763778309570367,0.0892794414795858,0.122729165903426,0.337846745345671,0.0621425374958379,1.26101211684724,0.46032120676579,0.248567303866085,0.00472010067616537,-1.01244481298115,0.0058734425063852,-0.901394345480123,0.558929146428071,-0.246430559821896,0.719785499903203,-0.409429297658323
"ALL_TLinked","ALL_TLinked",0.156563302835375,0.336579685427935,0.00347337270934887,1.98150656135061,0.00266116206265282,2.24438252188152,0.555661049078222,-0.118803306440943,0.061220503616976,0.455382991868878,0.00234820267165161,2.10030986779155,0.00180435634478799,2.36318582832246,0.00522076114910327,-1.64492687592268,0.288714654567987,0.262875960530907,0.00367183915216469,1.90780283645358,0.0750333745797513,-0.82455481445376,0.972581451252696,-0.0123720976956171,1.27784642983021,1.15904312338927
"ALL_VeryLongChainFA","ALL_VeryLongChainFA",0.113276721984274,0.285408952994637,0.00722241022947851,0.478937742278346,0.00154663007337162,0.63808579137866,0.586619319935369,-0.0619180998504735,0.0741177042181292,0.347327052845111,0.0132076414715778,0.54085584212882,0.00509881920097374,0.700003891229134,0.292905983341399,-0.193528789283709,0.0260206435626355,0.159148049100314,0.112864833237815,0.352676838384023,0.0898989596039308,-0.969719487612989,0.125347308866891,-0.385544511720588,0.444091447486965,0.382173347636491
"Cer_DLinked","Cer_DLinked",0.973414776924834,-0.00859807415751705,0.0005305887089223,1.53520006844783,0.000250570706923749,1.87372697659608,0.900489254621267,-0.0289233106524617,0.94757000843621,0.0203252364949446,0.0115671431761532,1.56412337910029,0.00964446554555102,1.90265028724855,0.0189990155555502,-1.54379814260535,0.323183552297611,0.338526908148251,0.0153552882073928,1.8823250507536,0.530286174592201,-0.441744105982382,0.200207412530206,-0.957234183687465,0.792224307797617,0.763300997145156
"Cer_LongChainFA","Cer_LongChainFA",0.984189558961113,0.00499941225011446,0.00050403884305947,1.55525760228589,0.000268917442154475,1.89137988634174,0.869132692112528,-0.0359679735069064,0.889772715144013,0.0409673857570208,0.00860022469819566,1.5912255757928,0.00729865962925111,1.92734785984864,0.0175895248972631,-1.55025819003578,0.31926505231231,0.336122284055844,0.0142243061435554,1.88638047409162,0.500817596548387,-0.461983431405824,0.2052660668761,-0.923849463913226,0.81609648077491,0.780128507268002
"Cer_MUFA","Cer_MUFA",0.0088379567526028,-0.563942234632153,0.0174113712004578,-0.364782430500734,0.498455378394374,-0.0941952045416195,0.000848776248559844,-0.624976676410485,0.585532240974273,0.0610344417783315,0.0138196732393079,0.260194245909751,0.00156729791439475,0.530781471868865,0.150975250290392,-0.199159804131419,0.0433431118838216,0.270587225959114,0.0162625863347194,0.469747030090534,0.0681296107764993,-0.393104501001296,0.09083323883731,0.307664428104334,0.160614343844041,-0.464362332566443
"Cer_PUFA","Cer_PUFA",0.961159867866046,0.0161412412936587,0.00643210257360957,1.34479457732416,0.00348861023641947,1.83233217935826,0.189043813797232,0.491848302375422,0.303868149332698,-0.475707061081764,0.144164457420543,0.85294627494874,0.0687468651583242,1.34048387698284,0.0439662159155045,-1.3286533360305,0.304355664620347,0.4875376020341,0.0296607888317787,1.8161909380646,0.81888156127698,-0.231249278244076,0.098908801983926,-2.15670215294932,0.188619606933488,0.680467909308909
