"","FattyAcid","D1m_PreD.pvalue","D1m_PreD.FC","D1m_NonD.pvalue","D1m_NonD.FC","D1m_Dexit.pvalue","D1m_Dexit.FC","D1m_D6d.pvalue","D1m_D6d.FC","D6d_PreD.pvalue","D6d_PreD.FC","D6d_NonD.pvalue","D6d_NonD.FC","D6d_Dexit.pvalue","D6d_Dexit.FC","NonD_PreD.pvalue","NonD_PreD.FC","NonD_Dexit.pvalue","NonD_Dexit.FC","PreDY_Dexit.pvalue","PreDY_Dexit.FC","NfurY_NfurO.pvalue","NfurY_NfurO.FC","Nfur_Ast.pvalue","Nfur_Ast.FC","D6d.mean.FC","D1m.mean.FC"
"ALL_ShortChainFA","ALL_ShortChainFA",0.435541410518602,0.221076760765293,0.080750811218005,-1.03993535608194,0.010338711195248,-0.791368052215857,0.00398674468223882,-1.12921479756153,0.002444420553912,1.35029155832682,0.763778309570367,0.0892794414795858,0.122729165903426,0.337846745345671,0.0621425374958379,1.26101211684724,0.46032120676579,0.248567303866085,0.00472010067616537,-1.01244481298115,0.0058734425063852,-0.901394345480123,0.558929146428071,-0.246430559821896,0.719785499903203,-0.409429297658323
"ALL_VeryLongChainFA","ALL_VeryLongChainFA",0.113276721984274,0.285408952994637,0.00722241022947851,0.478937742278346,0.00154663007337162,0.63808579137866,0.586619319935369,-0.0619180998504735,0.0741177042181292,0.347327052845111,0.0132076414715778,0.54085584212882,0.00509881920097374,0.700003891229134,0.292905983341399,-0.193528789283709,0.0260206435626355,0.159148049100314,0.112864833237815,0.352676838384023,0.0898989596039308,-0.969719487612989,0.125347308866891,-0.385544511720588,0.444091447486965,0.382173347636491
"Cer_MUFA","Cer_MUFA",0.0088379567526028,-0.563942234632153,0.0174113712004578,-0.364782430500734,0.498455378394374,-0.0941952045416195,0.000848776248559844,-0.624976676410485,0.585532240974273,0.0610344417783315,0.0138196732393079,0.260194245909751,0.00156729791439475,0.530781471868865,0.150975250290392,-0.199159804131419,0.0433431118838216,0.270587225959114,0.0162625863347194,0.469747030090534,0.0681296107764993,-0.393104501001296,0.09083323883731,0.307664428104334,0.160614343844041,-0.464362332566443
"LIPID_CLASS_LPE","LIPID_CLASS_LPE",0.0140675081711958,0.462371944599153,0.000631937839517146,0.581182870254847,3.12199087328141e-05,1.1204776190366,0.308654999471962,-0.345514741177275,0.0869720442884955,0.807886685776428,0.071451456129906,0.926697611432122,0.0338798082191734,1.46599236021387,0.411140822931374,-0.118810925655694,0.00294420794759181,0.539294748781749,0.0116141736578646,0.658105674437442,0.0158199658847906,-0.793284894618096,0.00261652791275741,-0.642286960317286,0.867292148604275,0.521777407427
"LIPID_CLASS_PS","LIPID_CLASS_PS",0.0351034461441238,0.738284877311405,0.0464533227169253,0.675900544217282,0.0356114561232972,0.798218215099436,0.207307137448572,0.304859041895733,0.0192016924225397,0.433425835415672,0.0123690034974344,0.371041502321549,0.00135156465882116,0.493359173203703,0.690555967868578,0.0623843330941231,0.275662702891603,0.122317670882154,0.685314957933377,0.0599333377880312,0.0244837011195176,-0.416510476346977,0.322199327259378,-0.170077340084377,0.40223366886861,0.707092710764343
"LIPID_CLASS_SM","LIPID_CLASS_SM",2.62640623144266e-05,1.11160902131821,1.13198428208815e-05,1.31364702319564,1.37533558237141e-05,1.29496583244433,0.0111032252669862,0.234128304196092,0.000167051948445025,0.877480717122119,0.000125290470234527,1.07951871899955,0.000169692879706173,1.06083752824824,0.183502743254334,-0.20203800187743,0.819425486616663,-0.0186811907513121,0.209943123963671,0.183356811126118,0.0305785167850979,-0.648875328496838,0.00526052242041146,0.878236064193232,0.978499718060835,1.21262802225693
"LPC_MUFA","LPC_MUFA",0.00366222783320883,0.87769266900617,0.000291295463071398,1.39847123026248,8.2802884977664e-06,1.40603246703896,0.572002945863047,0.0401561800782909,0.00444348506623309,0.837536488927879,0.000381174048895738,1.35831505018419,1.27098063128456e-05,1.36587628696067,0.101631816362508,-0.520778561256315,0.953196487829827,0.00756123677647167,0.0945360044918263,0.528339798032786,0.0331265239490818,-1.62468867377533,0.0632567710009148,0.654898899157284,1.09792576955603,1.13808194963433
"LPC_PUFA","LPC_PUFA",0.053571804388847,0.63302723606066,0.0213655628402445,0.828856034769567,0.00697140194998025,1.31626445543926,0.333174226287424,0.214140477420752,0.122926943451288,0.418886758639908,0.0180129325156469,0.614715557348816,0.00178684322738869,1.10212397801851,0.504464989295318,-0.195828798708907,0.0894761232730657,0.487408420669692,0.0850126643506859,0.6832372193786,0.0505201511954296,-1.71670800445188,0.00534051064993121,-0.91682107841584,0.516801157994362,0.730941635415113
"LPC_PUFA_2","LPC_PUFA_2",0.753794598635927,0.0916363124622037,3.24967136968789e-05,1.38081361997518,4.21620875356121e-05,1.65631463824242,0.302792142776172,0.120092415670478,0.927157151876398,-0.0284561032082741,0.00195724835938724,1.26072120430471,0.00163172822745341,1.53622222257194,0.0514256330915924,-1.28917730751298,0.0358083584544117,0.275501018267235,0.0389597578240973,1.56467832578021,0.0923460922284487,-1.44801398981029,0.929503529438233,-0.027067007856105,0.616132550548218,0.736224966218692
"LPC_PUFA_6","LPC_PUFA_6",0.0447616728290935,0.898653352617722,0.0707630939024235,0.729836669649821,0.022394181572629,1.25703797789306,0.396466951991257,0.248037258461435,0.0388990162842698,0.650616094156288,0.0728111663732809,0.481799411188386,0.0066626565814284,1.00900071943163,0.567422616794044,0.168816682967902,0.11102511131407,0.52720130824324,0.309551480653915,0.358384625275338,0.0395986194401718,-1.89572788636393,0.00639044804384654,-1.22506273321466,0.566207752672337,0.814245011133771
