Compound	m.z	Retention.time..min.	Mode	Intensity	M27_KV_E	M12_EX_E	M9_EX_E	Y8_KV_E	M21_DEV_E	AY10_KV_E	AO13_KV_E	AO10_KV_E	M7_EX_E	AY3_KV_E	AY1_KV_E	M29_KV_E	AY2_KV_E	M8_EX_E	M18_D6_E	O9_KV_E	MA_M2_E	AO8_KV_E	M24_DEV_E	M4_D6_E	M5_D6_E	Y9_KV_E	O13_KV_E	O11_KV_E	M28_KV_E	O8_KV_E	M10_DEV_E	Y6_KV_E	M19_D6_E	M13_DEV_E	Y7_KV_E	AO3_KV_E	QC1	QC2	QC3	LipidIon	FattyAcid	Class	IonFormula	RT_LS	mz_LS	mscore	tscore
23.12_829.8011m/z	829.8011317	23.1190833	Accucore_C18_pos	89817300.19	80057934.22	75232361.84	102430703.3	91594234.11	109073671.3	53995983.73	60521686.63	85449479.46	101378667.8	86208239.37	75716488.54	73025289.2	72634967.4	90100691.78	118599824.3	112557681.2	78258922.5	79141708.33	79696917.68	76653756.51	88126666.47	92359288.98	104215474.8	91936581.43	116712744.6	89533908.59	89401689.38	93001070.83	109484531.6	96001283.27	101840808.3	105009538	122164231.4	115875890.5	119320705.8	15:0-18:1(d7)-15:0_TG+NH4		TG					
17.50_753.6148m/z	753.6147608	17.4956167	Accucore_C18_pos	83965359.36	76550747.46	87014025.72	92246380.93	77548924.09	94461547.58	62292677.25	62862465.27	94022935.04	95410630.84	85886321.42	76819095.95	76618165.94	82765058.58	91486016.46	92778995.02	75979563.54	77147828.73	83158643.63	84892016.25	78278835.51	79709509.23	82737287.47	87513541.14	80492751.51	100754531.2	79568085.67	93250903.4	84506100.11	90319307.29	93571844.4	83424618.61	88130660.81	111423350.8	105797596.3	106935193.1	15:0-18:1(d7)_PC+H		PC					
17.05_738.6482m/z	738.6481704	17.0465333	Accucore_C18_pos	53963793.94	49167177.73	68049423.96	72293055.66	53634701.7	70458174.55	35555733.71	43802181.28	67761949.84	71853125.43	48697493.77	41622397.28	45468701.38	47611125.99	69469956.25	58428471.63	49259689.2	42591733.27	58665899.65	65270556.79	47115372.93	50537229.15	54292886.18	40037036.3	43895644.78	60633625.21	41975177.07	72692319.69	57146259.93	54699984.41	70390771.47	50676170.62	66086620.59	81527191.35	75916053.91	78816396.01	d18:1-18:1(d9)_SM+H		SM					
14.06_675.6775m/z	675.677503	14.0588333	Accucore_C18_pos	21082572.38	20016403.67	15628464.31	17660506.66	14637489.34	38941997.83	9154681.004	62960726.81	36973062.45	14393753.32	48167105.05	22148741.09	45489402.77	19761229.01	17658316.3	57103524.84	14251340.66	53017761.47	25480617.88	9967393.3	7844709.121	19639664.42	17988937.9	41956352.33	13307599.9	28994733.91	31897324.52	17478497.59	23891301.15	27397282.42	22792301.17	18582443.35	29418804.15	41944138.43	39629772.33	42774941.68	18:1(d7)_ChE+NH4		ChE					
5.52_529.4004m/z	529.4003895	5.5201167	Accucore_C18_pos	13408978.98	12827721.56	12655533.7	13558638.82	13244224.07	13036536.1	10291486.51	9332784.325	14062336.87	13003773.61	14843040.16	13989548.21	12352667.2	12962688.38	13177386.16	14669811.77	13259319.13	12598730.19	12408610.93	12151270.58	13116243.24	12867662.47	13620913	15580292.96	13573149.53	17128897.06	14016340.21	13562156.18	14273305.65	15178016.82	13920303.71	14396770.6	13970200.64	21405535.28	20753071.16	21648768.21	18:1(d7)_Lyso_PC+H		LPC					
16.90_740.5473m/z	740.5473249	16.9000167	Accucore_C18_neg	13358587.19	10613727	14915357.84	16280860.01	12458586.14	17257106.81	9478534.582	9585310.649	15606782.77	16584459.33	13556837.36	11023457.35	11312869.3	12337633.85	15723508.84	14862583.62	13168130.07	11800438.44	13193704.2	15289027.81	12556760.19	13285237.82	13432114.68	12717263.27	12432280.73	16044007.13	12009729.02	15516359.92	13532628.85	13431936.56	15952481.31	12637155.29	14231108.76	18595475.26	17676058.85	18326612.3	15:0-18:1(d7)_PG-H		PG					
16.72_828.5635m/z	828.5635157	16.7200833	Accucore_C18_neg	13081364.98	9772152.459	12675901.98	14281461.41	11692528.01	15908636.92	9213210.921	8780945.867	14024982.49	15350825.06	13744047.26	10906082.99	11066284.83	12377056.56	14437223.18	14212998.04	12561458.15	11952357.94	12307926.64	13902639.3	12200588.41	13105461.42	13086711.85	13108726.58	12667529.52	15830787.87	12361947.63	13648684.06	13923152.4	13076018.11	13712106.54	12745145.1	13090417.83	17414285.9	16315883.37	16927422.82	15:0-18:1(d7)_PI-H		PI					
16.84_753.5421m/z	753.5421263	16.83525	Accucore_C18_neg	7255368.84	3235042.302	6496772.063	7864078.455	5913685.427	8619728.344	4825665.964	4611284.426	8453242.983	8692662.878	8584196.162	5116635.174	5631896.842	7528771.214	8501500.028	8598085.972	6402644.212	5634028.547	6778054.605	8376775.74	6224234.406	7028263.986	8056103.995	7314365.54	7196372.14	8789619.749	6905539.645	6921065.065	8110228.426	8142283.319	7760407.376	6920198.749	7767872.533	9458908.199	9109812.283	9406352.386	15:0-18:1(d7)_PS-H		PS					
17.36_531.5492m/z	531.5491830	17.3555833	Accucore_C18_pos	4588771.391	4283416.003	5113612.505	5619149.046	4349617.28	5936016.713	3327785.247	3453106.89	5222539.493	6106184.061	4550650.333	3885470.227	4177167.643	4344521.03	5584603.848	5211295.191	4151381.21	4150493.564	4626892.448	5062298.63	4224957.624	4374569.597	4395750.48	4263619.569	4205970.191	5317238.531	3935287.765	5626616.133	4777093.925	5129433.905	6016987.876	4628860.939	5323608.217	6399653.202	6109831.905	6575261.055	d18:1-15:0(d7)_Cer+H		Cer					
18.94_605.5874m/z	605.5873679	18.9398167	Accucore_C18_pos	3698318.666	3636684.076	3680505.608	4219960.999	3530490.083	3828448.961	2533932.881	2505898.734	3816209.539	3933043.973	3868841.362	3315099.48	3630209.6	3302004.601	4156339.175	4081263.403	3085192.772	3481842.855	3280477.477	3716131.723	3595268.957	3639936.823	3626689.383	3787226.972	3449209.74	4734276.318	3448209.985	3992770.881	3747170.26	4035801.744	4292444.119	3871035.853	4009822.544	4981481.398	4711488.239	5170823.212	15:0-18:1(d7)_DG+NH4		DG					
