Compound	m.z	Retention.time..min.	Mode	Intensity	M27_KV_E	M12_EX_E	M9_EX_E	Y8_KV_E	M21_DEV_E	AY10_KV_E	AO13_KV_E	AO10_KV_E	M7_EX_E	AY3_KV_E	AY1_KV_E	M29_KV_E	AY2_KV_E	M8_EX_E	M18_D6_E	O9_KV_E	MA_M2_E	AO8_KV_E	M24_DEV_E	M4_D6_E	M5_D6_E	Y9_KV_E	O13_KV_E	O11_KV_E	M28_KV_E	O8_KV_E	M10_DEV_E	Y6_KV_E	M19_D6_E	M13_DEV_E	Y7_KV_E	AO3_KV_E	QC1	QC2	QC3	LipidIon	FattyAcid	Class	IonFormula	RT_LS	mz_LS	mscore	tscore	Reason for filtering out
17.22_636.4983m/z	636.4983	17.22	Accucore_C18_pos	29937.94	36078.59	11386.84	31923.45	30857.41	0.00	22288.41	20021.09	27405.22	20528.95	36886.39	28813.10	31484.68	38615.62	28882.12	41420.03	28227.42	32935.24	23534.07	19566.57	34375.93	29570.16	26246.48	32047.20	39771.61	49470.29	31423.94	26581.04	27510.93	40023.46	22619.78	33978.15	30305.73	49954.77	41532.96	39777.28	LPC(26:0)+H	(26:0)	LPC	C34 H71 O7 N1 P1	17.53	636.4963	29.10442954	1.886622801	Duplicate lipid with low intensity
22.47_792.7081m/z	792.7081	22.47	Accucore_C18_pos	847.96	1644.56	0.00	1644.19	1540.00	1161.78	133.43	0.00	125.12	993.14	119.61	0.00	799.82	126.64	1460.53	2161.66	33607.86	291.52	354.02	530.95	430.17	1732.41	1085.43	896.11	1177.82	0.00	2080.68	0.00	417.61	4860.01	1363.16	2176.35	588.68	2274.71	1254.26	1155.64	TG(16:1/14:0/16:1)+NH4	(16:1/14:0/16:1)	TG	C49 H94 O6 N1	21.95	792.7076	54.52738764	0.081852174	Duplicate lipid with low intensity
21.54_840.7107m/z	840.7107	21.54	Accucore_C18_pos	1012226.74	1398507.83	640697.40	940808.35	2199763.47	3682898.60	37192.12	69787.89	371374.24	1587533.75	30962.68	35286.17	1306337.86	49874.46	1049632.43	3435810.30	24264042.09	410013.74	389336.63	638695.10	269885.30	1724747.37	832887.87	1041163.89	2022490.67	1926752.12	1063327.99	1118375.93	568186.68	4682176.36	908289.83	1594075.87	983289.59	2392320.76	2301964.73	2386005.09	TG(14:0/14:0/22:6)+NH4	(14:0/14:0/22:6)	TG	C53 H94 O6 N1	21.41	840.7076	58.91765499	0.219492634	Duplicate lipid with low intensity
23.50_950.8203m/z	950.8203	23.50	Accucore_C18_pos	6781468.51	11512275.85	5198561.43	7616045.47	12110475.07	15805160.30	411581.75	901561.00	3841375.88	13119922.12	495213.68	486541.13	8389602.22	724746.64	6986111.71	26435021.54	136496326.40	6576825.30	4501053.80	3514191.33	4996360.48	13882052.98	3684732.91	4619208.40	7977933.57	15691875.80	8425093.10	5212188.00	6437218.02	29008796.04	5155732.11	7303127.74	7354418.01	14903275.86	13939858.31	15397484.73	TG(18:1/18:1/22:5)+NH4| TG(16:0/20:1/22:6)+NH4	(18:1/18:1/22:5)| (16:0/20:1/22:6)	TG| TG	C61 H108 O6 N1| C61 H108 O6 N1	22.9905982672972| 23.5006689406569	950.81711547| 950.81711547	58.3911963318226| 48.3494685020486	0.439939578039247| 0.0366906008425817	Duplicate lipid with low intensity
21.19_684.6162m/z	684.6162	21.19	Accucore_C18_pos	90903.38	87211.63	90852.74	110010.90	90954.01	77510.80	67808.93	59042.23	86809.40	140408.00	88201.00	82113.27	87458.93	73058.48	98389.28	115368.39	53992.59	86667.46	76772.29	86055.89	106431.14	101244.13	98340.21	105747.21	93062.40	119458.79	107537.65	85851.35	105694.40	136582.83	90244.46	134563.92	118928.25	125779.53	125013.66	122394.52	TG(12:0/12:0/14:0)+NH4	(12:0/12:0/14:0)	TG	C41 H82 O6 N1	20.71	684.6137	23.06242716	1.554736176	Duplicate lipid with low intensity
22.29_998.8136m/z	998.8136	22.29	Accucore_C18_pos	2781782.15	3826919.81	2434091.19	3777284.59	3836331.55	9023073.34	117741.34	248930.70	1011290.26	5356898.82	101560.08	97528.60	3541332.66	175682.19	3230353.54	8757056.77	44543705.84	1691464.60	1014016.04	2491911.38	1432739.05	4779514.31	1306950.01	2082363.32	4021743.22	5306339.94	3071652.93	3189145.54	1761056.63	9676055.48	3403280.52	1830989.24	1766220.78	5490517.30	5147410.04	5383418.89	TG(18:1/22:5/22:5)+NH4| TG(18:0/22:5/22:6)+NH4	(18:1/22:5/22:5)| (18:0/22:5/22:6)	TG| TG	C65 H108 O6 N1| C65 H108 O6 N1	22.2878009313106| 22.7005561975733	998.81711547| 998.81711547	35.0340399852035| 21.2951528958578	0.73951437181134| 0.243400641200782	Duplicate lipid with low intensity
21.97_842.7264m/z	842.7264	21.97	Accucore_C18_pos	2583595.78	3692008.75	1918899.47	2649819.10	7623129.17	9061872.02	60613.00	120145.70	767204.47	4632307.54	64773.28	54713.21	3228949.70	137468.06	2517372.46	8386471.99	52332068.27	1260456.71	817095.94	1566780.54	770656.05	4468706.10	3015995.85	2259702.07	4076809.92	4918846.54	3082028.11	3047065.08	2325174.17	13400453.15	2349067.89	5573310.59	1968347.82	6222481.48	5863631.90	6031601.25	TG(18:4/14:0/18:1)+NH4	(18:4/14:0/18:1)	TG	C53 H96 O6 N1	21.77	842.7232	54.10793024	0.077785716	Duplicate lipid with low intensity
22.20_766.6925m/z	766.6925	22.20	Accucore_C18_pos	2607.18	3739.34	2417.23	3506.86	9216.63	4540.43	925.00	731.06	809.51	2651.99	781.87	654.60	3163.73	1416.55	1434.03	3868.33	26107.45	1652.90	2151.38	1717.47	1258.82	4855.78	2713.14	2939.80	5435.55	3411.68	3898.92	2174.58	1837.12	9836.96	2562.36	6395.04	2230.63	5656.25	4993.10	4376.23	TG(16:1/14:0/14:0)+NH4	(16:1/14:0/14:0)	TG	C47 H92 O6 N1	21.88	766.6919	51.51870668	0.377264258	Duplicate lipid with low intensity
21.24_940.7423m/z	940.7423	21.24	Accucore_C18_pos	1800582.17	2378496.28	1911402.56	2857280.33	1689761.79	6596691.87	70277.15	148957.76	646579.79	4401642.16	49632.20	52969.81	2251424.38	80868.10	2793688.37	5074754.86	28587423.91	756483.37	658621.21	2027036.96	775135.06	2385250.26	786368.65	1424956.89	2314293.05	3495537.18	1115755.27	2771058.81	411647.09	5269048.59	2943926.77	1016361.78	1657596.92	3561688.72	3510598.63	3592421.43	TG(18:3/18:3/22:6)+NH4| TG(14:0/22:6/22:6)+NH4	(18:3/18:3/22:6)| (14:0/22:6/22:6)	TG| TG	C61 H98 O6 N1| C61 H98 O6 N1	20.766| 21.1835261035147	940.73886547| 940.73886547	6.27229846464775| 25.1793364750466	0.430755137166464| 0.226065725857835	Duplicate lipid with low intensity
21.77_816.7101m/z	816.7101	21.77	Accucore_C18_pos	1120627.67	1501191.41	797609.39	1081874.75	3523284.07	3905560.15	32184.24	49311.27	295821.56	1916718.57	30544.76	26725.70	1338065.64	55944.18	1008815.99	3590529.21	20729981.18	587395.52	336157.00	697713.19	299246.13	1916732.14	1275525.63	901082.41	1719045.46	1985445.67	1430531.32	1159380.59	1317438.37	6070414.07	866991.38	2963478.29	785203.18	2539881.83	2399330.62	2519840.67	TG(16:1/14:0/18:3)+NH4	(16:1/14:0/18:3)	TG	C51 H94 O6 N1	21.74	816.7076	40.98586881	0.129942734	Duplicate lipid with low intensity
