Compound	m.z	Retention.time..min.	Mode	Intensity	M27_KV_E	M12_EX_E	M9_EX_E	Y8_KV_E	M21_DEV_E	AY10_KV_E	AO13_KV_E	AO10_KV_E	M7_EX_E	AY3_KV_E	AY1_KV_E	M29_KV_E	AY2_KV_E	M8_EX_E	M18_D6_E	O9_KV_E	MA_M2_E	AO8_KV_E	M24_DEV_E	M4_D6_E	M5_D6_E	Y9_KV_E	O13_KV_E	O11_KV_E	M28_KV_E	O8_KV_E	M10_DEV_E	Y6_KV_E	M19_D6_E	M13_DEV_E	Y7_KV_E	AO3_KV_E	QC1	QC2	QC3	LipidIon	FattyAcid	Class	IonFormula	RT_LS	mz_LS	mscore	tscore
17.98_760.5864m/z	760.5864	17.98	Accucore_C18_pos	436212651.50	438303290.70	1103498796.00	984151229.10	407330531.10	1900755692.00	170802344.50	398013602.70	625838329.10	1671228757.00	171526006.20	151768854.30	419129575.70	213627219.10	990243765.00	546967885.70	362256328.60	301227723.80	523124618.80	1045990139.00	391047868.90	434122012.30	402581111.50	117089510.30	250742986.20	485459013.10	184926350.40	1182847992.00	485492052.20	499601100.00	1160059581.00	321237308.60	627043627.70	791536474.00	743913831.80	759377303.00	PC(16:0/18:1)+H	(16:0/18:1)	PC	C42 H83 O8 N1 P1	17.98	760.5851	18.12117465	0.368306118
17.04_732.5555m/z	732.5555	17.04	Accucore_C18_pos	144173966.60	97307711.60	469829564.30	411279707.00	162086194.80	859382968.20	58625543.01	145046600.70	217789393.80	685272881.20	54027766.07	49208654.15	92656232.42	69072159.53	416128800.80	147195355.20	143301332.50	67943484.29	190487635.70	483893305.10	107222020.20	126994896.30	159821136.80	53858019.68	105907513.80	114277223.20	70566472.15	520634290.10	164044318.60	126429418.50	521837642.80	110017920.90	246886899.90	290744023.90	274196506.20	284217275.70	PC(16:0/16:1)+H	(16:0/16:1)	PC	C40 H79 O8 N1 P1	17.03	732.5538	13.05428065	0.356879131
16.84_806.5711m/z	806.5711	16.84	Accucore_C18_pos	129090987.05	98829792.77	555979096.40	459453577.60	127957852.30	978590030.80	122777413.70	293026913.20	573347488.80	812697682.20	109540886.80	83663637.45	88933042.90	139238857.50	480626438.50	147249844.60	110325282.70	55200816.73	388174828.60	539681977.30	92205366.11	115824856.70	130224121.80	33527268.65	79337777.84	106478567.80	56160646.60	660832499.00	153746220.70	125894815.60	677440189.90	80999463.21	478056502.00	377233055.30	361237810.90	367091901.80	PC(18:1/20:5)+H| PC(16:0/22:6)+H	(18:1/20:5)| (16:0/22:6)	PC| PC	C46 H81 O8 N1 P1| C46 H81 O8 N1 P1	16.4579068974461| 16.825189814392	806.56943347| 806.56943347	19.8829895933128| 19.8829895933128	0.197492574292122| 0.170222810842797
18.01_786.6016m/z	786.6016	18.01	Accucore_C18_pos	112164382.35	132714307.20	335458027.50	298283310.10	112523697.90	581234751.80	19952341.36	49426890.90	80873655.93	451151315.90	20953940.02	18542825.51	125475650.10	28066524.62	299778560.20	146642830.60	103331176.50	101265703.40	72038047.74	316631935.90	111805066.80	124875095.40	110006992.40	28820045.03	69058218.81	147577536.50	50758037.64	290940837.80	169009352.10	136691688.60	301209084.60	86833804.50	79647859.90	199014997.80	187132254.00	190685414.40	PC(18:1/18:1)+H	(18:1/18:1)	PC	C44 H85 O8 N1 P1	18.01	786.6007	19.88298959	0.519147598
18.89_788.6186m/z	788.6186	18.89	Accucore_C18_pos	101787683.70	162363038.70	266409702.40	253675675.30	61536578.77	397909599.20	17294836.00	40226076.39	66069841.77	423128359.60	18019621.20	15504257.24	157643383.60	20899325.86	247810574.20	152665495.90	80210023.10	117764272.10	55342788.92	173076257.00	114002099.40	120151046.00	64416766.68	25199013.21	52985446.84	182064119.00	34193164.70	202544897.60	89573267.99	124340010.30	199998738.20	52990288.00	68943883.27	157591730.10	149947441.50	156978507.00	PC(18:0/18:1)+H	(18:0/18:1)	PC	C44 H87 O8 N1 P1	18.88	788.6164	23.18033447	0.226701487
16.86_832.5856m/z	832.5856	16.86	Accucore_C18_pos	96142102.37	82936838.52	342530232.40	283169441.80	96284493.13	608690663.30	42048677.57	104058037.60	180429038.20	477261861.60	37257156.60	31722903.88	77271690.48	51362390.62	292169591.40	109777460.70	91658712.42	53307878.25	138247777.70	334598120.60	76852578.16	95999711.61	98399788.39	26055209.94	61783603.89	91553043.56	42163239.53	345834351.40	127612489.30	95804081.04	361848887.20	61691829.41	163373499.40	204542546.80	196094259.50	199239651.20	PC(18:1/22:6)+H	(18:1/22:6)	PC	C48 H83 O8 N1 P1	16.85	832.5851	19.88298959	0.127037904
17.51_808.5861m/z	808.5861	17.51	Accucore_C18_pos	82456677.54	91648412.12	191816368.60	165909768.80	58058244.94	272585562.20	31066747.79	62692654.63	124907119.80	247727416.10	31300252.98	26986520.11	89575292.51	41467694.03	159464301.30	91498902.69	47051369.62	63874862.09	92469541.65	139011129.10	59753818.19	61087227.00	57639765.19	14900136.38	34933524.98	101545610.20	27306949.69	149742333.90	83367952.47	81545402.60	148378315.00	50065516.67	105023841.40	119000915.10	112463149.10	113752635.10	PC(16:0/22:5)+H| PC(16:0/22:5)+H	(16:0/22:5)| (16:0/22:5)	PC| PC	C46 H83 O8 N1 P1| C46 H83 O8 N1 P1	17.1461186445592| 17.5016666377046	808.58508347| 808.58508347	19.8829895933128| 16.4686351228954	0.13666038083283| 0.278963700630309
17.16_808.5860m/z	808.5860	17.16	Accucore_C18_pos	81046732.52	56379427.26	272604907.00	239641309.60	87147654.32	509849143.80	66401546.64	166452605.80	303485282.10	385381993.30	56919365.46	51657025.63	50453581.85	82431637.39	237734596.70	80861618.76	62381417.72	34627916.01	220224539.50	260605690.10	52481374.81	59531319.25	81231846.27	14964465.22	45453451.02	61167064.14	31037959.81	310542325.10	104430321.40	68414423.16	314937797.50	61088908.57	275155324.80	197502749.80	185826236.80	193595191.70	PC(16:0/22:5)+H| PC(16:0/22:5)+H	(16:0/22:5)| (16:0/22:5)	PC| PC	C46 H83 O8 N1 P1| C46 H83 O8 N1 P1	17.1461186445592| 17.5016666377046	808.58508347| 808.58508347	19.8829895933128| 16.4686351228954	0.13666038083283| 0.278963700630309
20.75_642.6054m/z	642.6054	20.75	Accucore_C18_pos	74147781.15	69040302.37	69432786.27	74944891.63	75835613.29	55003537.30	42859212.28	44333481.12	71810275.76	69635243.25	97971414.36	73616575.63	60129554.86	68320414.86	70290009.74	96849161.19	64015893.37	60295158.40	76792892.23	96763747.37	105486288.40	66284213.61	86171403.42	74678986.67	61118367.86	80645612.32	64532077.21	74953287.29	77331009.26	79599318.37	77503347.99	80077639.68	90693241.09	94386052.04	88791328.37	97857028.61	DG(18:0/18:0)+NH4| DG(18:0/18:0)+NH4	(18:0/18:0)| (18:0/18:0)	DG| DG	C39 H80 O5 N1| C39 H80 O5 N1	20.7586286778091| 21.2048982317692	642.60310047| 642.60310047	34.5426384323343| 8.62038037681095	2.03022269227148| 2.76842635893814
22.15_894.7556m/z	894.7556	22.15	Accucore_C18_pos	69999946.62	80712940.31	55767714.33	75466928.48	134083195.50	193551688.30	3656787.52	4756972.01	24919877.96	120082980.60	3361023.87	3048109.68	72538071.92	5715736.91	80227588.25	187878504.40	1132762205.00	41414202.41	28455499.00	52218848.31	27687230.86	127251164.50	52790116.03	65842016.11	117107206.80	110359169.80	93225119.98	67461821.32	98587578.09	254458371.00	63054914.66	117405469.80	49622842.27	142267456.80	136801087.50	139760705.40	TG(16:1/16:1/22:5)+NH4	(16:1/16:1/22:5)	TG	C57 H100 O6 N1	22.15	894.7545	37.99208031	0.252380244
