Compound	m.z	Retention.time..min.	Mode	Intensity	M27_KV_E	M12_EX_E	M9_EX_E	Y8_KV_E	M21_DEV_E	AY10_KV_E	AO13_KV_E	AO10_KV_E	M7_EX_E	AY3_KV_E	AY1_KV_E	M29_KV_E	AY2_KV_E	M8_EX_E	M18_D6_E	O9_KV_E	MA_M2_E	AO8_KV_E	M24_DEV_E	M4_D6_E	M5_D6_E	Y9_KV_E	O13_KV_E	O11_KV_E	M28_KV_E	O8_KV_E	M10_DEV_E	Y6_KV_E	M19_D6_E	M13_DEV_E	Y7_KV_E	AO3_KV_E	QC1	QC2	QC3	LipidIon	FattyAcid	Class	IonFormula	RT_LS	mz_LS	mscore	tscore
3.44_568.3426m/z	568.3426	3.44	Accucore_C18_pos	59710.56	0.00403454263159108	0.00429900747686366	0.00344496610759339	0.00165207251737474	0.0106897821423591	0.00380569566524166	0.00579023368784428	0.00945911896647659	0.0111359287575293	0.00226856266890273	0.00170897415278288	0.00422951527423972	0.00301156243640256	0.00503360049516831	0.00321023175609567	0.00322878308307223	0.00197490348033241	0.00498790674066207	0.00538352608225765	0.00256350598908228	0.00322007098776504	0.00208526221406744	0.00226826972963415	0.00432774829969769	0.00461945510109803	0.00542266707722843	0.0072514733494243	0.004867027232756	0.00411878209395738	0.00793169300039647	0.00171350757648385	0.00899411972224903	0.00492891378421068	0.00552240897823819	0.00562134400994633	LPC(22:6)+H	(22:6)	LPC	C30 H51 O7 N1 P1	3.44	568.3398	10.49556311	8.260997705
5.18_496.3416m/z	496.3416	5.18	Accucore_C18_pos	382861.02	0.0237636198738944	0.0325513276931182	0.0300253833518666	0.0216504192306375	0.0793165018505184	0.0156256756342967	0.0223662015997568	0.0298677199303931	0.0553014221077323	0.00848701056131886	0.00738587838927788	0.0229430493440315	0.0101458230302687	0.0296569216424936	0.0335488894619948	0.0246485417234241	0.0186565916846577	0.0245238457001085	0.0408204062722797	0.025270295581984	0.0265835545342836	0.0142754428869783	0.0126320408804431	0.025007048500408	0.0227250548903702	0.0266287638647435	0.0381617190681843	0.0265562936431618	0.0304721829725842	0.0412577127959804	0.0139284796063917	0.03040490025489	0.0214650628302344	0.0218682075197973	0.022015736400182	LPC(16:0)+H	(16:0)	LPC	C24 H51 O7 N1 P1	5.18	496.3398	29.37936596	7.432685513
12.23_552.4041m/z	552.4041	12.23	Accucore_C18_pos	159344.21	0.0137226589286835	0.013943039517962	0.0161192174746639	0.00545546926857452	0.0307785212821986	0.00635055677685575	0.00798111758572113	0.0153490417912311	0.0195214885704243	0.00379978484811969	0.00232810143051789	0.0157892890694894	0.00450186388728107	0.0138812771879791	0.0231812380439289	0.00944008917598169	0.0122399321974844	0.009698624550234	0.0130643978302391	0.0151732747295406	0.0179140431012564	0.0053915866139076	0.0028838999443307	0.00807433949340717	0.0128615260590515	0.00482895446214344	0.00816303560662874	0.00613424523701698	0.0230170755667933	0.0093071944333318	0.0033306541329484	0.0110287400782814	0.00620791595546589	0.00621742098821002	0.0061047525068402	LPC(20:0)+H	(20:0)	LPC	C28 H59 O7 N1 P1	12.17	552.4024	24.85240919	1.501049963
14.52_580.4357m/z	580.4357	14.52	Accucore_C18_pos	24365.55	0.00215790484463868	0.00173267077626288	0.00197360771647135	0.00106497342731834	0.00602922691250784	0.00084727868918909	0.00103174678259802	0.00204416115655178	0.0032993751803712	0.000434707730387223	0.00031808698416859	0.00204512783279711	0.000449266157549951	0.00177691461839956	0.00402088291416434	0.00161880451700087	0.0017387803429101	0.00135983339272932	0.00290814409631886	0.00268796525459984	0.00329999394987239	0.00113759205421839	0.000319951268746875	0.00109352471710374	0.00182513707044253	0.000680028328165131	0.001468676679109	0.00130582520665071	0.00347610054236321	0.00164987758733319	0.000778670606865126	0.00132299626013102	0.00152856847876032	0.00150448466924642	0.00149582486106723	LPC(22:0)+H	(22:0)	LPC	C30 H63 O7 N1 P1	14.51	580.4337	16.6602228	0.01345987
2.50_468.3107m/z	468.3107	2.50	Accucore_C18_pos	8153.21	0.000458056754078781	0.0012199377652481	0.00102407405229487	0.000540446783606856	0.00244786290278443	0.000442919892628805	0.000667600298370765	0.000817096248384782	0.00163668059274988	0.000281873144241361	0.000264911742993307	0.000448419916955263	0.000373976513041811	0.000895820852228861	0.000495064150369804	0.000426309069461246	0.000459758175041925	0.000733477957471909	0.00122928521767803	0.000674087857187376	0.000654293040373789	0.00037218063135709	0.000401656645100722	0.000534158699421622	0.000486832250248809	0.000344151014296763	0.00120005753391936	0.000419556208410628	0.000496034599861512	0.00100047243868647	0.000351210958379791	0.000757068232056544	0.000552325884185971	0.000450448756616705	0.0003799990013381	LPC(14:0)+H	(14:0)	LPC	C22 H47 O7 N1 P1	2.49	468.3085	14.56986413	9.4757566
4.01_520.3413m/z	520.3413	4.01	Accucore_C18_pos	18722.41	0.00145255065857541	0.00133945012528393	0.00122046872253803	0.00107825129841676	0.00254597529170345	0.000810320918352931	0.000851373858358181	0.0011948473255427	0.00218130313943538	0.000531788401494159	0.000692012297658038	0.00121615764083728	0.000732773296830576	0.00121198413752792	0.0011016751852979	0.0012653744838254	0.00112097897065926	0.00100236048742	0.00144991402207752	0.00126112615459547	0.00121188976135772	0.000848094852378838	0.000867200721750742	0.00183132940848107	0.00125502704725811	0.00279982974956627	0.00142463196438429	0.00285864646918704	0.00131100701336553	0.00162320118660687	0.00130826088178414	0.00123187418301818	0.00119806471384816	0.00121668496702635	0.00124556810985414	LPC(18:2)+H	(18:2)	LPC	C26 H51 O7 N1 P1	4.03	520.3398	3.849258343	8.383179867
17.54_636.4989m/z	636.4989	17.54	Accucore_C18_pos	473457.52	0.031694817360847	0.0372636385220167	0.0416462244769789	0.0290967661346732	0.041707201524184	0.0291332245938104	0.0310712245136984	0.0346866848667664	0.0442808490496321	0.0292312198998995	0.0286502656971794	0.0315097207022626	0.029641122052492	0.0462053102494797	0.036365415839279	0.0284616297413154	0.031482056677015	0.0339352169534096	0.042518517903006	0.0317142056066353	0.0323711056356299	0.0292045900814431	0.0296381541467498	0.0290890334794683	0.0315227076214328	0.0255035685453015	0.0375109056958228	0.0294950932687411	0.032635930186036	0.0364929082858351	0.0292888935522804	0.0305222046474488	0.0291277512495824	0.0273067861874955	0.026537971469186	LPC(26:0)+H	(26:0)	LPC	C34 H71 O7 N1 P1	17.53	636.4963	29.10442954	1.886622801
16.56_664.5293m/z	664.5293	16.56	Accucore_C18_pos	60811.75	0.00416086598468388	0.01214201990549	0.00894703503872817	0.00414297465899035	0.0187816289481989	0.00309774196069951	0.00965096992102622	0.0145909466610581	0.0191280242458789	0.0013635431071959	0.00140056297071798	0.00389534884417513	0.00262912512442886	0.00954559536107577	0.00383461632514185	0.00298916881865562	0.00239435683954432	0.0117170570759446	0.00692629804808445	0.00367215631173366	0.00298641288498143	0.00388553312101766	0.000612246221845112	0.0020258794422933	0.00346745335627582	0.000783238137453857	0.0106132084964679	0.00123660086407524	0.00369016588690274	0.00914678502370118	0.00303520490907871	0.0121798853491627	0.00499925549631011	0.00494750388549239	0.0046922655744024	LPC(28:0)+H	(28:0)	LPC	C36 H75 O7 N1 P1	16.56	664.5276	9.158615832	0.15242846
15.89_662.5143m/z	662.5143	15.89	Accucore_C18_pos	26909.11	0.00265407188180346	0.00503279788192575	0.00481219389100889	0.000820839751920627	0.00783340992704343	0.00179210250939735	0.00623106326846356	0.00849245288347299	0.011753484802478	0.000713264444876366	0.000588735881700071	0.00251594424886635	0.00105179478209442	0.00484052471601849	0.00170878491783129	0.00106552230634787	0.00148942595142598	0.00676945370226061	0.00283157328062725	0.00144304078947533	0.00113499417893886	0.00084704482731811	0.000138339272922118	0.000711999368948233	0.00185949234725566	0.000282704660462861	0.0039295213086095	2.36976989279284e-05	0.00150419332583135	0.00291684934078209	0.000398531251168231	0.00787188470186495	0.00241063683411892	0.00236940448576961	0.00234964201226486	LPC(28:1)+H	(28:1)	LPC	C36 H73 O7 N1 P1	15.88	662.5119	7.067759751	0.157088771
8.72_550.3883m/z	550.3883	8.72	Accucore_C18_pos	56117.03	0.00459538523846787	0.00521310055063107	0.00540516734555217	0.00197485871288192	0.00866101786041156	0.00165519202531608	0.00193005151225328	0.00356372601960004	0.0104128993060807	0.0006644653786344	0.000521049800220818	0.00554523772809163	0.00086873929002064	0.00522355457783746	0.00575607453755352	0.00250259439226575	0.00550355390220481	0.00247558726543133	0.00435954862096405	0.00404110115451015	0.00501327229016134	0.00137419922585219	0.000613602332417246	0.00241388251323567	0.0042586753335302	0.00210310861168801	0.00367006521230019	0.00204725671239304	0.00577096751431851	0.00368404457031778	0.000963217028685586	0.00293072217465303	0.00150359920828852	0.00148771483323917	0.0014166773648504	LPC(20:1)+H	(20:1)	LPC	C28 H57 O7 N1 P1	8.71	550.3867	7.315958908	4.621718165
3.79_570.3581m/z	570.3581	3.79	Accucore_C18_pos	6628.03	0.000418363196838831	0.000583823114468891	0.000472529793370512	0.00027906847396006	0.00168962855861689	0.000475616830983924	0.000674459741144827	0.00115424893103133	0.00134196733374229	0.000244696872126498	0.000353718670947702	0.000417965433408584	0.000425485565826739	0.000575355272126289	0.000351489595152454	0.000363722612957427	0.00022901230969214	0.000699776820224631	0.000710591788994629	0.000275744924352287	0.000303768536757399	0.00029093469725561	0.000188330855365379	0.000409901695085798	0.000418126892520422	0.000498305991104364	0.000958241766833863	0.000516494481430796	0.000410741170861346	0.000980342382199361	0.00025122422941156	0.00109154033595898	0.000508672278341642	0.00054797746378469	0.00055975223081757	LPC(22:5)+H	(22:5)	LPC	C30 H53 O7 N1 P1	3.81	570.3554	4.7769692	8.427248029
5.57_522.3578m/z	522.3578	5.57	Accucore_C18_pos	282122.58	0.020962528290176	0.0200302674631572	0.0168765587930898	0.0136281625594696	0.04696810724898	0.0046080786535472	0.00624902388923469	0.00858346209565665	0.0398138603245031	0.00254858842206353	0.00262381491160393	0.0207740177522147	0.00303873956892883	0.0177701322672629	0.0193347227453894	0.0214760630925398	0.0154379693958666	0.00689566925602687	0.0230948326393041	0.0192669552078237	0.0193872136436292	0.00904076869883832	0.00942459774517616	0.0241876090272469	0.0168313276558392	0.030882475811423	0.0223726997737612	0.0295435143925472	0.0206897152456839	0.0231813907169415	0.0112369195769501	0.00951842667307604	0.0158691197700336	0.0159996963842146	0.0162005928049982	LPC(18:1)+H	(18:1)	LPC	C26 H53 O7 N1 P1	5.54	522.3554	29.54225732	7.104176387
16.59_774.5135m/z	774.5135	16.59	Accucore_C18_neg	862359.74	0.0867902217621705	0.223662753499935	0.184800933949101	0.16950980776865	0.357200761169757	0.147789648248296	0.157240703660928	0.145821640453031	0.244603896783844	0.170968468233659	0.132727469487826	0.137020100320642	0.1638757558736	0.191383655491117	0.157134805204321	0.171846190053936	0.143784100588958	0.16137217847429	0.265783813607219	0.155103237527762	0.167117409104967	0.207669112078445	0.177106726029289	0.177145118216555	0.152306416418692	0.182951341653664	0.21919449239954	0.193408103840035	0.154179435849461	0.2044466606301	0.167091014418569	0.153728752537914	0.151459108033711	0.153403233636098	0.14656503614669	Hex1Cer(d15:1/22:6)+HCOO	(d15:1/22:6)	Hex1Cer	C44 H72 O10 N1	16.64	774.5162	4.206769976	1.651116243
19.21_816.6596m/z	816.6596	19.21	Accucore_C18_neg	102013.90	0.0232235172185773	0.0540091548645804	0.0539740668057019	0.00864947819041219	0.0984173337687164	0.00248390745990948	0.00696197895571081	0.0087534966391876	0.0886683653147743	0.00254680620392989	0.00228375452174067	0.0229079000600695	0.00432187193256606	0.0496835488159768	0.0229339205743719	0.00934982311585883	0.0227224932518893	0.00931809727253034	0.0542530964634143	0.021724003544704	0.0251615852849809	0.00958309862938353	0.00283546235876656	0.00589668113984025	0.0224724760800843	0.00410218384626823	0.0559173125308351	0.018798405266859	0.0216778095320832	0.0536431149192497	0.00831684129364164	0.00781843296940722	0.0249724391862445	0.0255653983658982	0.0248005485312248	Hex1Cer(d19:0/20:0)+HCOO	(d19:0/20:0)	Hex1Cer	C46 H90 O10 N1	19.21	816.6570	3.531478802	0.328370095
16.10_716.5337m/z	716.5337	16.10	Accucore_C18_neg	10673.02	0.000359381297292128	0.0718780663260288	0.0478894079685531	0.00221967729077994	0.087696720219797	0.00236010977784108	0.00806968150354593	0.0103999799279258	0.118698944620628	0.00126966465827995	0.00135463138114531	0.000549025080150464	0.00225962828404124	0.0535321706493227	0.00179288037955246	0.00186749917866492	0.000580358953184007	0.0100292078369054	0.0444613427517215	0.00166131488754549	0.00176158806692315	0.00241738409592348	7.30370275678787e-05	0.00118889057052758	0.000668383951421419	0.000733098307488068	0.077417705936116	0.00235712154225647	0.00145585367475361	0.0676551984297201	0.000973378539423865	0.00971159425949169	0.0189113720665641	0.0192042520685354	0.0196335679937502	Hex1Cer(d18:1/14:0)+HCOO	(d18:1/14:0)	Hex1Cer	C39 H74 O10 N1	16.11	716.5318	3.023958746	0.282700356
17.52_776.5328m/z	776.5328	17.52	Accucore_C18_neg	1832549.66	0.290823544836068	0.521945329136745	0.426882042576808	0.36970152339472	0.701742341017563	0.332091017019885	0.368404670554522	0.345188643420757	0.538407005972498	0.325199443949455	0.330888767198885	0.306675753329348	0.316380638350829	0.420873538494901	0.335844270043002	0.393385624467862	0.32583708328815	0.365263851752277	0.570576292236636	0.364319847767543	0.372343991559085	0.401724739480663	0.349413577757223	0.374619197223883	0.315589130394797	0.358377841423243	0.48047129443298	0.395247630262995	0.302635965225484	0.433350796849769	0.349990941777998	0.339635964124142	0.349582155545684	0.371108458146689	0.346327999109383	Hex1Cer(d15:0/22:6)+HCOO	(d15:0/22:6)	Hex1Cer	C44 H74 O10 N1	17.50	776.5318	4.578088021	2.299841055
22.48_908.7704m/z	908.7704	22.48	Accucore_C18_pos	11099242.45	0.0965673628544446	0.0815312135653137	0.0794767030580371	0.135579781924769	0.185753888458323	0.00747308473566725	0.00894484020099425	0.0300679378486175	0.129400436420018	0.0041760194203117	0.00501708145907105	0.0888210372743036	0.00905861886020479	0.0884741238465106	0.154176896123783	0.875868167831446	0.0609338993953054	0.0386308776233615	0.0710198660822286	0.0411312878187345	0.142985894464641	0.0515534825482586	0.0550865925470024	0.10687130952635	0.0909009886106303	0.0974548218212664	0.0714632950709013	0.111348579436566	0.224222715180342	0.0643587331163391	0.102603523921559	0.0461568698454801	0.11076251885951	0.112483547614247	0.112349771370528	TG(16:0/17:1/22:6)+NH4	(16:0/17:1/22:6)	TG	C58 H102 O6 N1	22.48	908.7702	41.23412946	0.107909945
24.56_904.8366m/z	904.8366	24.56	Accucore_C18_pos	5157675.88	0.0486281289584841	0.0375032824065862	0.0385336499432197	0.0744769179641541	0.0540671511035863	0.00679600295523683	0.00918620173953338	0.021115565665261	0.0595476689268548	0.00621327412454265	0.00579628409429141	0.0400071121389	0.00765857768389389	0.0339772428637395	0.0662178903531478	0.461571237066316	0.0309891790012826	0.0254424338454257	0.0184933019632937	0.0194616924534596	0.0595705738578812	0.0206992519118893	0.0208320321465349	0.042949439685295	0.0392600173126252	0.0511257030915688	0.0267895502535749	0.0388975796032778	0.1020129453794	0.0235987839352973	0.037488191823395	0.029226325932412	0.047550684548407	0.048450825547701	0.0499982717668437	TG(16:0/18:1/20:1)+NH4	(16:0/18:1/20:1)	TG	C57 H110 O6 N1	24.58	904.8328	58.08725634	0.172725805
23.88_850.7894m/z	850.7894	23.88	Accucore_C18_pos	25795640.97	0.188917842814156	0.169638657102673	0.168406670610061	0.279836046081438	0.304299249956575	0.0236083395308483	0.0302405827284526	0.0735671798766508	0.250252139417046	0.0204253164136972	0.0178695446723631	0.170240971704361	0.0260763640571277	0.169628435587579	0.284445849419357	1.36534172857498	0.0953760867918926	0.0824216532198276	0.134818335792381	0.0927242881602646	0.267969069619115	0.0950246359074991	0.0824994897590775	0.173990773348249	0.153772483242588	0.215820667078062	0.179211735361057	0.198670495347027	0.384046744080878	0.154149723713376	0.166867043194904	0.0971358144609683	0.191715191440234	0.195104345489366	0.198767816948331	TG(16:0/16:0/18:1)+NH4	(16:0/16:0/18:1)	TG	C53 H104 O6 N1	23.89	850.7858	57.16104747	0.447213089
22.79_884.7721m/z	884.7721	22.79	Accucore_C18_pos	4108994.97	0.0340610994521362	0.033604706865069	0.031237507340243	0.0659399265345306	0.0799568367476414	0.00295981739307039	0.00361431273945314	0.011079846727951	0.058434723836448	0.00196501238208735	0.00210004092986957	0.0300397163918387	0.00392352093765791	0.0326162679924321	0.0603308325811744	0.335072142586036	0.0284491768437011	0.0163218428494592	0.027455806032372	0.01365484640617	0.0541204330135829	0.0231297379526449	0.018726467096612	0.0361597539727011	0.0344692458890218	0.0404077987275994	0.0250361343294786	0.0812341693635959	0.100030467231775	0.0227911751205073	0.0695466820779348	0.0176571984061105	0.046289256017044	0.0470742031363289	0.0471417374787268	TG(15:0/16:0/22:5)+NH4	(15:0/16:0/22:5)	TG	C56 H102 O6 N1	22.65	884.7702	27.3364659	0.071831657
21.93_792.7098m/z	792.7098	21.93	Accucore_C18_pos	1921337.77	0.020891802631377	0.0140213787497915	0.0149458572447388	0.0294610350839255	0.0262696745809454	0.00427172556302272	0.0033033519905392	0.00447032717359985	0.0166400525712965	0.00226360370454228	0.0028286819493333	0.0163981973412027	0.00297452057505845	0.0130286498872429	0.0226927738340671	0.17573470134351	0.0076107124117381	0.00554484256733759	0.0081765007527202	0.00491273810632976	0.0237793463629239	0.0111057941862471	0.0122344583052267	0.0244552408152338	0.0143764545812934	0.0173732228436828	0.0112069465683289	0.00988136000584156	0.0404792132078684	0.00963372686590963	0.0197120890074475	0.00748047192056021	0.0207936348838683	0.0208191721797383	0.0206613007111461	TG(16:1/14:0/16:1)+NH4	(16:1/14:0/16:1)	TG	C49 H94 O6 N1	21.95	792.7076	54.52738764	0.081852174
21.85_968.7727m/z	968.7727	21.85	Accucore_C18_pos	24520560.20	0.281997216410314	0.185396234049695	0.210046112423793	0.203807552612768	0.41926454229106	0.0139001673634292	0.0228680989289211	0.0796579501761192	0.297193492694525	0.00710206742968308	0.00811868981054572	0.261516213761191	0.0132828762610555	0.216125602914877	0.380019867268893	2.07322213382626	0.112985858508338	0.0849978784581033	0.160242984559048	0.11605163213416	0.296704112967908	0.0804438927329646	0.112233829191363	0.216134225057404	0.254805949861966	0.161905734829263	0.211227336026432	0.0825530290875254	0.448949849065254	0.204715265479597	0.111440009330719	0.13120847993827	0.248105050747284	0.249119681759857	0.249084774713091	TG(16:0/22:6/22:6)+NH4	(16:0/22:6/22:6)	TG	C63 H102 O6 N1	21.70	968.7702	37.04674963	0.195846469
22.53_768.7104m/z	768.7104	22.53	Accucore_C18_pos	2124629.41	0.0217294603757764	0.0151764287930801	0.0146605014123729	0.0278317591928167	0.0175044027128112	0.00784930673213239	0.00617021228577086	0.00863611868982121	0.0148851972899963	0.00468926645938066	0.00545844263210466	0.0173643830499202	0.00666877583812339	0.0129050037844227	0.0212533229579161	0.0626731282893557	0.0102820775586324	0.00953482026763321	0.0106286578033189	0.00924235720277553	0.0205247865947107	0.0142075992863495	0.00957022298189443	0.017490416789364	0.0134352512638967	0.0162331686942832	0.014135861118109	0.0116461195310303	0.0299323914557442	0.0123783692584383	0.0191700412220707	0.0114351541171432	0.0165015548012526	0.0166337676257168	0.0162019585908282	TG(16:0/14:0/14:0)+NH4	(16:0/14:0/14:0)	TG	C47 H94 O6 N1	22.51	768.7076	52.13224184	0.477577531
21.66_854.7240m/z	854.7240	21.66	Accucore_C18_pos	1393584.70	0.0119144376293651	0.00893141599128612	0.00889126749166819	0.022328324712491	0.02540518908526	0.00112880648873401	0.000737506277260204	0.00279092208995418	0.0158104690659587	0.000340823531656821	0.000458999751178899	0.0115260890004117	0.000916204535943662	0.00954805502604322	0.0184722172240183	0.125597538923003	0.0067961549330046	0.00389900746283271	0.0073298596207391	0.00344270560263505	0.0177252218218393	0.0083896517389582	0.00725698609780742	0.0143853398443684	0.0108517577025603	0.0114556025527356	0.00864146872120326	0.0165448873767554	0.0341207534124391	0.00651004183811053	0.0220846098960116	0.00497718814266186	0.0145775632686541	0.0150918491625314	0.0147317842885237	TG(15:0/14:0/22:6)+NH4	(15:0/14:0/22:6)	TG	C54 H96 O6 N1	21.66	854.7232	9.688782092	0.091420607
21.04_864.7069m/z	864.7069	21.04	Accucore_C18_pos	2512542.09	0.0198405378939092	0.017020243178371	0.0143429568485644	0.0456416205061491	0.0422351025787834	0.000463978119655604	0.0009621581096376	0.00354214124079815	0.0296765544042787	0.000211500535601299	0.000160060230389548	0.0216638696064212	0.000738906357656051	0.0160419375727905	0.0319181922379964	0.18499993567387	0.0130632001379779	0.00478520180308572	0.0128500207989474	0.00572577033380931	0.0282209608149269	0.0171284587557032	0.00967155219063493	0.0213225876110325	0.0177021716615513	0.0205296906339382	0.0134630515144299	0.0323036083368504	0.0658758703023944	0.00919407002630997	0.0441103491202357	0.00623685078587814	0.024004857834353	0.024231291388436	0.0242417151944135	TG(18:4/16:1/18:3)+NH4	(18:4/16:1/18:3)	TG	C55 H94 O6 N1	21.00	864.7076	7.061600893	0.026859736
22.45_934.7884m/z	934.7884	22.45	Accucore_C18_pos	3501728.40	0.0311274795294112	0.0259379899324453	0.024980142474527	0.0410102902971913	0.0600043428720639	0.00118495982071443	0.002100412805366	0.00890883261794887	0.0429305006827087	0.000749330361831747	0.000804352837464536	0.028759046119601	0.00184148585437377	0.0277546579010295	0.0514433514822669	0.279922168826626	0.020055131408179	0.0116744168011568	0.0220830937611237	0.0135402238201411	0.0446229947701323	0.0145819774737724	0.0168448627823169	0.0325526085552646	0.0305206991919201	0.0297960284345049	0.0219444095252062	0.0321158292000712	0.0721148266482605	0.0202926764835109	0.028582387339516	0.0142796984498684	0.0354758779745411	0.0358870820794253	0.0366426089108836	TG(18:1/17:1/22:6)+NH4	(18:1/17:1/22:6)	TG	C60 H104 O6 N1	22.46	934.7858	31.78677694	0.290084009
21.84_880.7388m/z	880.7388	21.84	Accucore_C18_pos	2682133.74	0.021188101313464	0.0179290581474585	0.0167342555715909	0.0331430449907389	0.0432745007639621	0.00793557525949717	0.00485018287402609	0.00794734151795382	0.0284245351229601	0.00485980837634174	0.00510327037678021	0.0213566388861353	0.00666299851330284	0.0196439621942268	0.0317869889036589	0.21007801524966	0.0148788137505982	0.00893867001518641	0.0166595900826563	0.0112452977811668	0.0324521730159119	0.0146221896304598	0.014889347331362	0.0262300013279926	0.0200667433057692	0.021214854375431	0.016480811821545	0.0287140759430759	0.0529179831354368	0.0138310684083838	0.0316058727589655	0.0103043110845798	0.0261303706888463	0.0266680200675567	0.0263823328658185	TG(18:3/17:1/18:3)+NH4	(18:3/17:1/18:3)	TG	C56 H98 O6 N1	21.83	880.7389	4.219452206	0.352862132
21.35_840.7106m/z	840.7106	21.35	Accucore_C18_pos	2822865.06	0.0240066502805148	0.015952002987123	0.0150954811554047	0.0497035314682867	0.0460499626439181	0.00225015308559876	0.00158844405291816	0.00532460226177251	0.0286017743646065	0.00111631363200638	0.00128720960360585	0.025721444819694	0.00231003734986188	0.0186455126060742	0.0392060005977597	0.259402941582631	0.0132226460823045	0.00673071659988515	0.0132695349404384	0.00696091798097841	0.0358037565085264	0.0202201252697431	0.0153005096648084	0.0321472101967409	0.0215790603008405	0.0255113396496477	0.016332367973425	0.0277411501800447	0.0731483112359591	0.0112759506261546	0.0425166303201857	0.00916829039282127	0.0286473757751649	0.0302115303528131	0.0291472320707644	TG(14:0/14:0/22:6)+NH4	(14:0/14:0/22:6)	TG	C53 H94 O6 N1	21.41	840.7076	58.91765499	0.219492634
20.69_684.6166m/z	684.6166	20.69	Accucore_C18_pos	468730.70	0.00324153035084397	0.00429761149447385	0.00332900857276453	0.00403930213943027	0.00216203024239819	0.00458570420418934	0.00353350887769203	0.00265889054720755	0.00337497601640411	0.00383301416679889	0.00433589080701444	0.00273756922280015	0.00308176812095602	0.00326825141053318	0.00207635246049854	0.00103759314473156	0.00496193726408641	0.0035650876226164	0.00264509761903755	0.00399365552241479	0.00294385149911821	0.00256256836766307	0.00254843943387187	0.00205650488477163	0.00238312261058764	0.00343145857740778	0.00235273579122158	0.00244617839955682	0.00264568027251806	0.00380105797308682	0.00314757852133033	0.00332380362819994	0.00297323719584258	0.00256504882005632	0.00255430071048071	TG(12:0/12:0/14:0)+NH4	(12:0/12:0/14:0)	TG	C41 H82 O6 N1	20.71	684.6137	23.06242716	1.554736176
20.84_888.7069m/z	888.7069	20.84	Accucore_C18_pos	2885360.47	0.0255223289297609	0.018222144309593	0.0163933344446733	0.047748303806413	0.0448454587408758	0.000384427458601281	0.000557315687618007	0.00425309620019539	0.0290721514492026	5.7862791729115e-05	6.68111780874195e-05	0.026863883431221	0.000611667388178658	0.017910973737476	0.0379015674663187	0.239190377157485	0.00984388048787664	0.00554732623876885	0.0126624833905371	0.00398394226589744	0.0280936936817281	0.0184999828048698	0.013710293763398	0.0275058127033515	0.0217665699260747	0.0204429290648038	0.0186555465111055	0.021963282153318	0.0692925967141828	0.0124860346088163	0.0364772652005748	0.00965754499748394	0.0282960814780684	0.0284721543779635	0.02882542190762	TG(18:4/14:0/22:6)+NH4	(18:4/14:0/22:6)	TG	C57 H94 O6 N1	20.84	888.7076	18.89336756	0.371691307
21.80_944.7667m/z	944.7667	21.80	Accucore_C18_pos	40152040.35	0.332559784535994	0.277620284574067	0.282760915290914	0.476673319252454	0.678686833180795	0.0172315773642078	0.0247381243677676	0.102236206830136	0.460322169840153	0.00976211081156662	0.00986337571380459	0.335869301378953	0.0229025648629946	0.286630191369214	0.55239337829272	3.31606416142126	0.183866100737587	0.123939413982574	0.238946534206792	0.114728422858868	0.485090579627821	0.168066692830012	0.165812128801048	0.358000211461637	0.313769754906441	0.352384082219369	0.246633079221573	0.350375617110515	0.881654363309164	0.210875041541515	0.34685239043414	0.156377400477659	0.378963744844549	0.384140172663441	0.381742290131509	TG(18:1/18:3/22:6)+NH4	(18:1/18:3/22:6)	TG	C61 H102 O6 N1	21.81	944.7702	38.19970015	0.423892577
