Compound	m.z	Retention.time..min.	Mode	Intensity	M27_KV_E	M12_EX_E	M9_EX_E	Y8_KV_E	M21_DEV_E	AY10_KV_E	AO13_KV_E	AO10_KV_E	M7_EX_E	AY3_KV_E	AY1_KV_E	M29_KV_E	AY2_KV_E	M8_EX_E	M18_D6_E	O9_KV_E	MA_M2_E	AO8_KV_E	M24_DEV_E	M4_D6_E	M5_D6_E	Y9_KV_E	O13_KV_E	O11_KV_E	M28_KV_E	O8_KV_E	M10_DEV_E	Y6_KV_E	M19_D6_E	M13_DEV_E	Y7_KV_E	AO3_KV_E	QC1	QC2	QC3	LipidIon	FattyAcid	Class	IonFormula	RT_LS	mz_LS	mscore	tscore
5.54_679.4583m/z	679.4583	5.54	Accucore_C18_neg	181554.32	0.00782902431134365	0.00210108208626432	0.00319441008237724	0.0087923647426047	0.00122621718831304	0.0103504059141487	0.00372391329942484	0.00406397707894861	0.00124957473708573	0.0248525164832713	0.0331146552471869	0.00931271624541413	0.0125244520311959	0.00283305409670766	0.0105997773400333	0.00977016298621635	0.0142113689445222	0.00496736059968072	0.00253620878098634	0.0106703632475287	0.00754374621155234	0.00868405002864131	0.0522681385261848	0.0165984320121877	0.0133243491524278	0.0227850291495148	0.00244366959709797	0.00590622824893836	0.00694966944972819	0.0022991267626916	0.0145408466316826	0.00603869088975582	0.0181910989351073	0.0181300034198517	0.018025991775905	PG(15:0/14:0)-H	(15:0/14:0)	PG	C35 H68 O10 N0 P1	5.53	679.4556	9.590993606	10.18632456
14.36_865.5047m/z	865.5047	14.36	Accucore_C18_neg	123332.61	0.00399570917398018	0.00364794212723996	0.00386084297025414	0.00538984943048589	0.00339350571360706	0.0150220314485946	0.0109398454660162	0.0128457455131627	0.00352716438615674	0.0137090645241655	0.0111077871426083	0.00426754052453618	0.0126323532874327	0.00376560544672442	0.00537295881032204	0.00793539034413287	0.00590068590860595	0.0113888312447928	0.00454073048844719	0.00657100538002053	0.00578836318298787	0.00544833343833988	0.00924312844664601	0.0089319446151639	0.00423917374356292	0.00674025675984323	0.00459060450071898	0.00359265153869991	0.00530213305007099	0.00463827465937768	0.00709148982870661	0.00978627549261224	0.00782676631626999	0.008162272473991	0.00812936487994565	PG(22:6/22:6)-H	(22:6/22:6)	PG	C50 H74 O10 N0 P1	14.35	865.5025	11.8377298	0.921248038
15.12_867.5178m/z	867.5178	15.12	Accucore_C18_neg	18395.6	0.000438165384850113	0.000796383336453776	0.000813690329697135	0.000637873725537119	0.000828848255391323	0.00139794381688609	0.00130474001381123	0.00178905908898465	0.000898228729148422	0.00130500036313304	0.00116847735904485	0.000490356409605814	0.00147161737573574	0.000835060563174566	0.000871549234097796	0.00100706671722065	0.00100692884086542	0.00147620789872779	0.000815013805274168	0.0015813596456031	0.00121795959661168	0.000628531674171392	0.00024052017051634	0.000686016045997525	0.000484153664799497	0.000443501020544249	0.000901597927922248	0.000378779450032756	0.000839818605066324	0.000952307644359524	0.000662142616440395	0.00136156173872535	0.0012678640943754	0.00132429328271896	0.00129958599058703	PG(22:5/22:6)-H	(22:5/22:6)	PG	C50 H76 O10 N0 P1	15.11	867.5182	5.918389234	0.792942994
12.39_791.5844m/z	791.5844	12.39	Accucore_C18_neg	8406865.33	0.459873952984089	0.109600535389137	0.146360839762007	0.432465948440561	0.0586414525433552	0.760836057442246	0.27925143839232	0.184589092798676	0.0752150216666022	1.04785583647887	1.00256500480867	0.482506399667077	0.654130137809202	0.13843649471998	0.4307344339872	0.394195204451039	0.519209056526197	0.253940158954649	0.121572449129661	0.402108677441952	0.348334657674571	0.400583611500422	1.71229834152815	0.61732690713669	0.422726937173784	0.78847931392938	0.126616377977811	0.260070945343738	0.450278415929558	0.131644940596361	0.537954412531067	0.24721661775813	0.267774326279844	0.283810365227427	0.2785245566416	PG(18:0/19:0)-H	(18:0/19:0)	PG	C43 H84 O10 N0 P1	12.34	791.5808	8.674761908	6.786620925
18.21_775.5514m/z	775.5514	18.21	Accucore_C18_neg	213423.16	0.00977608240486075	0.0116739604925857	0.0133358882797606	0.00828835495745445	0.0096439444095038	0.0104068081058989	0.00848022826601251	0.00726606571822802	0.0110973713419183	0.00991790188031121	0.00976966622188876	0.00974570567860397	0.00858140626169738	0.0127152773270635	0.0121839437808704	0.0125053274805357	0.00959794782237954	0.00732595199860335	0.0094325165759714	0.0133302523013449	0.0123497624100342	0.00775304029470056	0.0165380222340762	0.0132988093214242	0.0100947517933563	0.010589616784294	0.0115273937124324	0.0060713057403826	0.0110000671309079	0.0112882392947673	0.00806623984851501	0.00736719528497228	0.0146258769726115	0.0151353804188087	0.0149977508936553	PG(18:0/18:1)-H	(18:0/18:1)	PG	C42 H80 O10 N0 P1	18.20	775.5495	15.3548825	0.0493365
16.69_867.5430m/z	867.543	16.69	Accucore_C18_neg	389478.96	0.0103677480412354	0.0165579090154326	0.0173622179764592	0.0177482094086014	0.0187815710391318	0.0298719586667709	0.0258556800153717	0.0248206910100951	0.0157185233320961	0.0325716097627136	0.0325838131810863	0.0100156760287462	0.0377456933752686	0.0176971764726409	0.0158161399281635	0.0143828686991071	0.0115759715504738	0.0292386132113048	0.0244463617346935	0.0147395501905339	0.015011669958765	0.0159632145518665	0.0171701836019547	0.0174551458889446	0.00989600384354834	0.0196063510482774	0.0202075471794445	0.0215884471006718	0.0141282343236342	0.0219278663464967	0.0205056636486934	0.021381028371082	0.0284636188268851	0.0293405520034678	0.0281060603293892	PI(16:0e/22:6)-H	(16:0e/22:6)	PI	C47 H80 O12 N0 P1	16.68	867.5393	35.3842936	0.107986291
16.11_881.5194m/z	881.5194	16.11	Accucore_C18_neg	3051805.74	0.0280123657126303	0.0961491203103998	0.103025520175411	0.161411852268505	0.158702325561333	0.303857715450486	0.332919206150309	0.296215932742616	0.0968398218117548	0.24792361559401	0.23738811625931	0.0306979669239583	0.22623542384615	0.110212463410323	0.0470994689153009	0.110102391695049	0.0196053149080667	0.276552479888509	0.173376671908287	0.044839259795363	0.0475441319228518	0.151771929822295	0.133968306394041	0.132193463515116	0.0315058274540054	0.128198473007993	0.175641122927269	0.0868590375824508	0.0453382462056052	0.188495838186386	0.136282567169923	0.299321265033718	0.209173438802908	0.216377953154001	0.215017863067711	PI(18:1/20:5)-H| PI(16:0/22:6)-H	(16:0/22:6)	PI	C47 H78 O13 N0 P1| C47 H78 O13 N0 P1	15.7492634997131| 16.0944668288011	881.51855653| 881.51855653	70.112949561489| 101.451100469275	0.144056164365466| 0.196858835634533
17.35_885.5490m/z	885.549	17.35	Accucore_C18_neg	10551793.22	0.656715223471664	0.366307136566659	0.388214643991264	0.19743836506754	0.279555424275186	0.352151279595206	0.285848031683356	0.334984010592817	0.345577035083209	0.417770395850403	0.292074632446423	0.710615106297529	0.332907888169869	0.387972408450049	0.494197616833738	0.288091013808429	0.783798637272303	0.272127023911935	0.281229464743996	0.533852619376397	0.50111669606239	0.196435644432426	0.317487674190014	0.274304083292452	0.701451818149459	0.246134489630757	0.296513063712951	0.240227780240608	0.501237896934155	0.309326715644327	0.220715220323513	0.24803356000774	0.499255253354948	0.512582510143305	0.512812414908414	PI(18:0/20:4)-H	(18:0/20:4)	PI	C47 H82 O13 N0 P1	17.34	885.5499	101.9434716	0.393219075
17.24_861.5501m/z	861.5501	17.24	Accucore_C18_neg	355874.45	0.00922057376061422	0.0213558600093644	0.0225560035748276	0.0162471563883421	0.0266927864341835	0.0163198457621746	0.0177007300656439	0.0178287291450932	0.0261627843536161	0.0183248916213858	0.0171610089217686	0.0110835907669938	0.019649872063984	0.0241103158929047	0.0177694392463713	0.0158564268498754	0.00837289145331301	0.0194037425423169	0.0285958514901407	0.012577418432632	0.0130291094017296	0.0189630390414381	0.0166941199403368	0.019601624395095	0.0136295134168023	0.0171414071359121	0.0229630508917989	0.0165300830561012	0.0164307399804277	0.0262109201393839	0.0160989410910882	0.020392962526048	0.0289489083212996	0.0287647852621295	0.0295396675747478	PI(18:1/18:1)-H| PI(18:0/18:2)-H	(18:1/18:1)	PI	C45 H82 O13 N0 P1| C45 H82 O13 N0 P1	17.2200986260993| 17.487	861.549856529999| 861.549856529999	47.7259972706893| 16.272905161796	0.0545473421929258| 0.176400283650494
15.17_955.5359m/z	955.5359	15.17	Accucore_C18_neg	61255.92	3.89480094463937e-05	0.000676992088744143	0.000792926628001269	0.00458165952855167	0.00143230639498591	0.0140057545207697	0.0103525996150803	0.0100489655979161	0.000682283162154348	0.00894746218505595	0.0101721413766519	6.57417604081068e-05	0.00810609840851276	0.00086389217897614	7.94814315671315e-05	0.00137465437797121	3.63724133902309e-05	0.00770607489303583	0.00150546448964579	3.29661242305799e-05	4.40913703478128e-06	0.00437222983241975	0.0018031955690295	0.00177914006568516	0.000149806744378138	0.00175670417791397	0.00168192222263262	0.00172510580423554	1.7495138789699e-05	0.00181666341185553	0.00271423256464947	0.00906153013265155	0.00397000846873658	0.00423747657004734	0.00417666656949495	PI(22:5/22:6)-H	(22:5/22:6)	PI	C53 H80 O13 N0 P1	15.15	955.5342	5.756888182	0.49502489
