"LipidIon"	"FattyAcid"	"Class"	"nfur.PreD.Y.1"	"nfur.PreD.Y.2"	"nfur.PreD.Y.3"	"nfur.PreD.Y.4"	"nfur.NonD.2"	"nfur.NonD.3"	"nfur.NonD.4"	"nfur.D6d.1"	"nfur.D6d.2"	"nfur.D6d.3"	"nfur.D6d.4"	"nfur.D1m.1"	"nfur.D1m.2"	"nfur.D1m.3"	"nfur.D1m.4"	"Ast.PreD.Y.1"	"Ast.PreD.Y.2"	"Ast.PreD.Y.3"	"Ast.PreD.Y.4"	"nfur.Dexit.1"	"nfur.Dexit.2"	"nfur.Dexit.3"	"nfur.Dexit.4"
"PG(15:0/14:0)-H"	"(15:0/14:0)"	"PG"	0.0087923647426047	0.00868405002864131	0.00590622824893836	0.0145408466316826	0.00253620878098634	0.00244366959709797	0.0022991267626916	0.0105997773400333	0.0106703632475287	0.00754374621155234	0.00694966944972819	0.00782902431134365	0.00931271624541413	0.0142113689445222	0.0133243491524278	0.0103504059141487	0.0248525164832713	0.0331146552471869	0.0125244520311959	0.00210108208626432	0.00319441008237724	0.00124957473708573	0.00283305409670766
"PG(22:6/22:6)-H"	"(22:6/22:6)"	"PG"	0.00538984943048589	0.00544833343833988	0.00359265153869991	0.00709148982870661	0.00454073048844719	0.00459060450071898	0.00463827465937768	0.00537295881032204	0.00657100538002053	0.00578836318298787	0.00530213305007099	0.00399570917398018	0.00426754052453618	0.00590068590860595	0.00423917374356292	0.0150220314485946	0.0137090645241655	0.0111077871426083	0.0126323532874327	0.00364794212723996	0.00386084297025414	0.00352716438615674	0.00376560544672442
"PG(22:5/22:6)-H"	"(22:5/22:6)"	"PG"	0.000637873725537119	0.000628531674171392	0.000378779450032756	0.000662142616440395	0.000815013805274168	0.000901597927922248	0.000952307644359524	0.000871549234097796	0.0015813596456031	0.00121795959661168	0.000839818605066324	0.000438165384850113	0.000490356409605814	0.00100692884086542	0.000484153664799497	0.00139794381688609	0.00130500036313304	0.00116847735904485	0.00147161737573574	0.000796383336453776	0.000813690329697135	0.000898228729148422	0.000835060563174566
"PG(18:0/19:0)-H"	"(18:0/19:0)"	"PG"	0.432465948440561	0.400583611500422	0.260070945343738	0.537954412531067	0.121572449129661	0.126616377977811	0.131644940596361	0.4307344339872	0.402108677441952	0.348334657674571	0.450278415929558	0.459873952984089	0.482506399667077	0.519209056526197	0.422726937173784	0.760836057442246	1.04785583647887	1.00256500480867	0.654130137809202	0.109600535389137	0.146360839762007	0.0752150216666022	0.13843649471998
"PG(18:0/18:1)-H"	"(18:0/18:1)"	"PG"	0.00828835495745445	0.00775304029470056	0.0060713057403826	0.00806623984851501	0.0094325165759714	0.0115273937124324	0.0112882392947673	0.0121839437808704	0.0133302523013449	0.0123497624100342	0.0110000671309079	0.00977608240486075	0.00974570567860397	0.00959794782237954	0.0100947517933563	0.0104068081058989	0.00991790188031121	0.00976966622188876	0.00858140626169738	0.0116739604925857	0.0133358882797606	0.0110973713419183	0.0127152773270635
"PI(16:0e/22:6)-H"	"(16:0e/22:6)"	"PI"	0.0177482094086014	0.0159632145518665	0.0215884471006718	0.0205056636486934	0.0244463617346935	0.0202075471794445	0.0219278663464967	0.0158161399281635	0.0147395501905339	0.015011669958765	0.0141282343236342	0.0103677480412354	0.0100156760287462	0.0115759715504738	0.00989600384354834	0.0298719586667709	0.0325716097627136	0.0325838131810863	0.0377456933752686	0.0165579090154326	0.0173622179764592	0.0157185233320961	0.0176971764726409
"PI(18:1/20:5)-H| PI(16:0/22:6)-H"	"(16:0/22:6)"	"PI"	0.161411852268505	0.151771929822295	0.0868590375824508	0.136282567169923	0.173376671908287	0.175641122927269	0.188495838186386	0.0470994689153009	0.044839259795363	0.0475441319228518	0.0453382462056052	0.0280123657126303	0.0306979669239583	0.0196053149080667	0.0315058274540054	0.303857715450486	0.24792361559401	0.23738811625931	0.22623542384615	0.0961491203103998	0.103025520175411	0.0968398218117548	0.110212463410323
"PI(18:0/20:4)-H"	"(18:0/20:4)"	"PI"	0.19743836506754	0.196435644432426	0.240227780240608	0.220715220323513	0.281229464743996	0.296513063712951	0.309326715644327	0.494197616833738	0.533852619376397	0.50111669606239	0.501237896934155	0.656715223471664	0.710615106297529	0.783798637272303	0.701451818149459	0.352151279595206	0.417770395850403	0.292074632446423	0.332907888169869	0.366307136566659	0.388214643991264	0.345577035083209	0.387972408450049
"PI(18:1/18:1)-H| PI(18:0/18:2)-H"	"(18:1/18:1)"	"PI"	0.0162471563883421	0.0189630390414381	0.0165300830561012	0.0160989410910882	0.0285958514901407	0.0229630508917989	0.0262109201393839	0.0177694392463713	0.012577418432632	0.0130291094017296	0.0164307399804277	0.00922057376061422	0.0110835907669938	0.00837289145331301	0.0136295134168023	0.0163198457621746	0.0183248916213858	0.0171610089217686	0.019649872063984	0.0213558600093644	0.0225560035748276	0.0261627843536161	0.0241103158929047
"PI(22:5/22:6)-H"	"(22:5/22:6)"	"PI"	0.00458165952855167	0.00437222983241975	0.00172510580423554	0.00271423256464947	0.00150546448964579	0.00168192222263262	0.00181666341185553	7.94814315671315e-05	3.29661242305799e-05	4.40913703478128e-06	1.7495138789699e-05	3.89480094463937e-05	6.57417604081068e-05	3.63724133902309e-05	0.000149806744378138	0.0140057545207697	0.00894746218505595	0.0101721413766519	0.00810609840851276	0.000676992088744143	0.000792926628001269	0.000682283162154348	0.00086389217897614
"PI(20:1/18:1)-H"	"(20:1/18:1)"	"PI"	0.00238397061895564	0.00215032936932886	0.00148886650167511	0.00263665064433852	0.00172459758980282	0.00143333407308308	0.00176574715804824	0.00262340984577301	0.00310824845452012	0.00245634845652355	0.00288798607216447	0.00337261559143478	0.00348866424591687	0.00355966686648661	0.0029618541983711	0.00255715244697785	0.0022707736222427	0.00273620762112782	0.00232776804772779	0.00163992262259635	0.00210397632142095	0.00226656633446592	0.00230539650419642
"PI(18:1/22:5)-H| PI(18:0/22:6)-H| PI(18:0/22:6)-H"	"(18:0/22:6)"	"PI"	0.319851990449707	0.317677047479839	0.2609426532031	0.299037565624314	0.406298817750592	0.388475527968634	0.38528453792239	0.235830189095357	0.19468913351991	0.192982975987326	0.204415166326058	0.180598219033643	0.212393618343088	0.133162857659396	0.224026553113974	0.677561449828428	0.729453716558739	0.638886410861877	0.676449804139974	0.333755814306909	0.35069083476133	0.382628748629825	0.364162347281487
